,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년07월_계_총인구수,"51,042","13,098","1,927","1,609","1,763","1,561","1,468","1,463","4,214","3,891","2,561","1,782","1,726","1,799","4,588","3,788",831,"2,143",830
2021년07월_계_연령구간인구수,"51,042","13,098","1,927","1,609","1,763","1,561","1,468","1,463","4,214","3,891","2,561","1,782","1,726","1,799","4,588","3,788",831,"2,143",830
2021년07월_계_0~9세,"1,845",754,27,39,27,21,41,36,126,141,91,46,36,40,242,94,21,49,14
2021년07월_계_10~19세,"2,219","1,012",56,37,50,38,49,38,134,128,46,45,60,51,242,124,13,74,22
2021년07월_계_20~29세,"2,985","1,088",85,67,83,57,54,49,215,255,109,78,84,102,363,175,21,71,29
2021년07월_계_30~39세,"3,089","1,124",80,72,61,46,72,69,213,261,133,97,95,80,356,182,27,81,40
2021년07월_계_40~49세,"4,516","1,701",141,98,122,102,68,92,342,337,188,108,122,118,476,266,47,136,52
2021년07월_계_50~59세,"8,339","2,130",308,247,336,273,246,235,638,673,409,293,286,309,755,607,146,327,121
2021년07월_계_60~69세,"12,116","2,552",561,438,505,436,453,430,"1,059",961,657,471,393,433,869,916,192,586,204
2021년07월_계_70~79세,"8,839","1,697",353,326,336,299,273,272,839,636,500,333,337,349,726,779,186,424,174
2021년07월_계_80~89세,"6,247",916,288,251,215,244,183,211,552,426,379,278,285,289,485,582,158,351,154
2021년07월_계_90~99세,820,123,27,34,27,45,28,28,91,70,47,33,27,26,72,60,20,43,19
2021년07월_계_100세 이상,27,1,1,0,1,0,1,3,5,3,2,0,1,2,2,3,0,1,1
2021년07월_남_총인구수,"24,964","6,407",956,791,878,751,750,726,"2,061","1,894","1,251",891,853,867,"2,186","1,841",398,"1,069",394
2021년07월_남_연령구간인구수,"24,964","6,407",956,791,878,751,750,726,"2,061","1,894","1,251",891,853,867,"2,186","1,841",398,"1,069",394
2021년07월_남_0~9세,976,410,17,23,19,11,17,23,73,67,42,19,20,24,119,49,9,24,10
2021년07월_남_10~19세,"1,149",530,33,19,23,24,29,15,72,69,21,26,30,26,111,64,7,37,13
2021년07월_남_20~29세,"1,738",611,56,44,44,28,42,26,123,144,71,44,57,61,209,105,11,44,18
2021년07월_남_30~39세,"1,719",574,54,48,43,27,44,35,121,140,80,60,55,44,199,114,14,44,23
2021년07월_남_40~49세,"2,639",889,95,67,79,72,37,57,201,207,123,77,80,79,252,169,25,97,33
2021년07월_남_50~59세,"4,525","1,121",180,132,183,147,121,123,346,376,227,163,156,185,396,323,88,189,69
2021년07월_남_60~69세,"6,113","1,206",286,223,262,218,259,246,545,458,332,253,195,225,431,455,107,302,110
2021년07월_남_70~79세,"3,873",743,139,149,146,140,127,116,376,283,231,149,148,136,306,347,68,200,69
2021년07월_남_80~89세,"2,050",297,93,80,72,74,68,80,176,132,115,93,107,80,153,195,63,124,48
2021년07월_남_90~99세,179,26,3,6,7,10,6,5,27,18,9,7,5,7,10,18,6,8,1
2021년07월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021년07월_여_총인구수,"26,078","6,691",971,818,885,810,718,737,"2,153","1,997","1,310",891,873,932,"2,402","1,947",433,"1,074",436
2021년07월_여_연령구간인구수,"26,078","6,691",971,818,885,810,718,737,"2,153","1,997","1,310",891,873,932,"2,402","1,947",433,"1,074",436
2021년07월_여_0~9세,869,344,10,16,8,10,24,13,53,74,49,27,16,16,123,45,12,25,4
2021년07월_여_10~19세,"1,070",482,23,18,27,14,20,23,62,59,25,19,30,25,131,60,6,37,9
2021년07월_여_20~29세,"1,247",477,29,23,39,29,12,23,92,111,38,34,27,41,154,70,10,27,11
2021년07월_여_30~39세,"1,370",550,26,24,18,19,28,34,92,121,53,37,40,36,157,68,13,37,17
2021년07월_여_40~49세,"1,877",812,46,31,43,30,31,35,141,130,65,31,42,39,224,97,22,39,19
2021년07월_여_50~59세,"3,814","1,009",128,115,153,126,125,112,292,297,182,130,130,124,359,284,58,138,52
2021년07월_여_60~69세,"6,003","1,346",275,215,243,218,194,184,514,503,325,218,198,208,438,461,85,284,94
2021년07월_여_70~79세,"4,966",954,214,177,190,159,146,156,463,353,269,184,189,213,420,432,118,224,105
2021년07월_여_80~89세,"4,197",619,195,171,143,170,115,131,376,294,264,185,178,209,332,387,95,227,106
2021년07월_여_90~99세,641,97,24,28,20,35,22,23,64,52,38,26,22,19,62,42,14,35,18
2021년07월_여_100세 이상,24,1,1,0,1,0,1,3,4,3,2,0,1,2,2,1,0,1,1
