카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년07월_계_총인구수,"35,902","10,494","4,421","4,708","1,811","1,575","3,236","2,525","3,495","1,646","1,991"
2021년07월_계_연령구간인구수,"35,902","10,494","4,421","4,708","1,811","1,575","3,236","2,525","3,495","1,646","1,991"
2021년07월_계_0~9세,"1,683",615,270,278,64,40,142,92,91,45,46
2021년07월_계_10~19세,"2,459",973,232,365,121,97,182,173,149,85,82
2021년07월_계_20~29세,"2,700",967,321,396,115,118,207,173,176,108,119
2021년07월_계_30~39세,"2,859",883,669,425,95,89,255,134,159,58,92
2021년07월_계_40~49세,"4,748","1,607",691,737,200,157,432,285,291,164,184
2021년07월_계_50~59세,"6,734","1,872",723,887,346,314,625,489,736,371,371
2021년07월_계_60~69세,"7,737","1,840",830,950,443,364,819,566,921,436,568
2021년07월_계_70~79세,"4,392","1,083",497,478,261,253,371,345,547,239,318
2021년07월_계_80~89세,"2,254",551,172,174,154,125,183,224,370,119,182
2021년07월_계_90~99세,318,99,16,13,12,14,19,43,53,21,28
2021년07월_계_100세 이상,18,4,0,5,0,4,1,1,2,0,1
2021년07월_남_총인구수,"18,700","5,387","2,324","2,475",931,790,"1,729","1,279","1,850",885,"1,050"
2021년07월_남_연령구간인구수,"18,700","5,387","2,324","2,475",931,790,"1,729","1,279","1,850",885,"1,050"
2021년07월_남_0~9세,870,326,139,142,34,16,72,48,42,24,27
2021년07월_남_10~19세,"1,268",513,102,189,57,54,92,84,78,49,50
2021년07월_남_20~29세,"1,569",573,176,233,69,70,122,110,94,65,57
2021년07월_남_30~39세,"1,584",452,390,218,54,57,155,74,103,29,52
2021년07월_남_40~49세,"2,754",851,430,411,120,97,268,157,189,100,131
2021년07월_남_50~59세,"3,750","1,011",406,502,197,177,340,273,415,227,202
2021년07월_남_60~69세,"4,087",977,391,491,243,185,448,288,510,243,311
2021년07월_남_70~79세,"1,976",483,227,218,99,95,169,158,264,108,155
2021년07월_남_80~89세,776,183,60,67,55,33,60,79,142,38,59
2021년07월_남_90~99세,58,17,3,0,3,3,3,8,13,2,6
2021년07월_남_100세 이상,8,1,0,4,0,3,0,0,0,0,0
2021년07월_여_총인구수,"17,202","5,107","2,097","2,233",880,785,"1,507","1,246","1,645",761,941
2021년07월_여_연령구간인구수,"17,202","5,107","2,097","2,233",880,785,"1,507","1,246","1,645",761,941
2021년07월_여_0~9세,813,289,131,136,30,24,70,44,49,21,19
2021년07월_여_10~19세,"1,191",460,130,176,64,43,90,89,71,36,32
2021년07월_여_20~29세,"1,131",394,145,163,46,48,85,63,82,43,62
2021년07월_여_30~39세,"1,275",431,279,207,41,32,100,60,56,29,40
2021년07월_여_40~49세,"1,994",756,261,326,80,60,164,128,102,64,53
2021년07월_여_50~59세,"2,984",861,317,385,149,137,285,216,321,144,169
2021년07월_여_60~69세,"3,650",863,439,459,200,179,371,278,411,193,257
2021년07월_여_70~79세,"2,416",600,270,260,162,158,202,187,283,131,163
2021년07월_여_80~89세,"1,478",368,112,107,99,92,123,145,228,81,123
2021년07월_여_90~99세,260,82,13,13,9,11,16,35,40,19,22
2021년07월_여_100세 이상,10,3,0,1,0,1,1,1,2,0,1
