카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년01월_계_총인구수,"29,664","10,850","5,547","2,508","2,100","3,337","1,975","1,567","1,780"
2020년01월_계_연령구간인구수,"29,664","10,850","5,547","2,508","2,100","3,337","1,975","1,567","1,780"
2020년01월_계_0~9세,"1,279",683,284,57,58,91,51,21,34
2020년01월_계_10~19세,"2,107","1,009",426,110,139,180,86,40,117
2020년01월_계_20~29세,"2,438","1,208",514,129,111,159,104,86,127
2020년01월_계_30~39세,"2,174","1,095",455,112,91,170,88,76,87
2020년01월_계_40~49세,"3,508","1,551",739,200,203,359,164,137,155
2020년01월_계_50~59세,"5,864","2,044","1,010",549,423,707,440,319,372
2020년01월_계_60~69세,"6,027","1,716",977,626,530,792,517,431,438
2020년01월_계_70~79세,"3,943",987,756,449,353,552,327,261,258
2020년01월_계_80~89세,"2,051",490,350,231,171,291,179,172,167
2020년01월_계_90~99세,249,65,35,39,18,33,17,24,18
2020년01월_계_100세 이상,24,2,1,6,3,3,2,0,7
2020년01월_남_총인구수,"15,023","5,455","2,870","1,233","1,125","1,608","1,070",787,875
2020년01월_남_연령구간인구수,"15,023","5,455","2,870","1,233","1,125","1,608","1,070",787,875
2020년01월_남_0~9세,665,354,152,29,34,46,23,11,16
2020년01월_남_10~19세,"1,102",504,226,53,98,93,55,15,58
2020년01월_남_20~29세,"1,425",689,308,63,63,103,73,45,81
2020년01월_남_30~39세,"1,161",561,255,55,56,94,55,45,40
2020년01월_남_40~49세,"1,951",829,430,115,116,183,102,88,88
2020년01월_남_50~59세,"3,087","1,067",543,299,226,357,232,167,196
2020년01월_남_60~69세,"3,105",848,486,334,275,378,306,245,233
2020년01월_남_70~79세,"1,740",417,325,190,187,255,151,111,104
2020년01월_남_80~89세,718,173,135,83,64,92,65,54,52
2020년01월_남_90~99세,61,11,9,10,6,6,7,6,6
2020년01월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년01월_여_총인구수,"14,641","5,395","2,677","1,275",975,"1,729",905,780,905
2020년01월_여_연령구간인구수,"14,641","5,395","2,677","1,275",975,"1,729",905,780,905
2020년01월_여_0~9세,614,329,132,28,24,45,28,10,18
2020년01월_여_10~19세,"1,005",505,200,57,41,87,31,25,59
2020년01월_여_20~29세,"1,013",519,206,66,48,56,31,41,46
2020년01월_여_30~39세,"1,013",534,200,57,35,76,33,31,47
2020년01월_여_40~49세,"1,557",722,309,85,87,176,62,49,67
2020년01월_여_50~59세,"2,777",977,467,250,197,350,208,152,176
2020년01월_여_60~69세,"2,922",868,491,292,255,414,211,186,205
2020년01월_여_70~79세,"2,203",570,431,259,166,297,176,150,154
2020년01월_여_80~89세,"1,333",317,215,148,107,199,114,118,115
2020년01월_여_90~99세,188,54,26,29,12,27,10,18,12
2020년01월_여_100세 이상,16,0,0,4,3,2,1,0,6
