카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년08월_계_총인구수,"40,713","2,787","2,718","6,327","10,610","4,534",986,935,"4,701","7,115"
2021년08월_계_연령구간인구수,"40,713","2,787","2,718","6,327","10,610","4,534",986,935,"4,701","7,115"
2021년08월_계_0~9세,"1,184",28,68,181,349,97,20,14,168,259
2021년08월_계_10~19세,"1,929",69,97,365,543,197,35,30,190,403
2021년08월_계_20~29세,"5,792",767,314,919,"1,513",558,96,60,826,739
2021년08월_계_30~39세,"4,504",559,224,656,"1,125",473,96,74,665,632
2021년08월_계_40~49세,"5,214",330,322,863,"1,399",545,105,98,652,900
2021년08월_계_50~59세,"6,813",368,483,"1,057","1,800",768,180,200,687,"1,270"
2021년08월_계_60~69세,"7,878",373,565,"1,162","2,028","1,012",243,266,780,"1,449"
2021년08월_계_70~79세,"4,942",190,420,760,"1,230",594,131,140,485,992
2021년08월_계_80~89세,"2,113",86,191,297,548,244,64,44,219,420
2021년08월_계_90~99세,326,16,33,64,71,42,13,8,29,50
2021년08월_계_100세 이상,18,1,1,3,4,4,3,1,0,1
2021년08월_남_총인구수,"19,862","1,337","1,379","2,968","5,152","2,139",503,532,"2,405","3,447"
2021년08월_남_연령구간인구수,"19,862","1,337","1,379","2,968","5,152","2,139",503,532,"2,405","3,447"
2021년08월_남_0~9세,624,15,32,96,176,58,12,9,90,136
2021년08월_남_10~19세,959,40,46,166,274,102,17,15,93,206
2021년08월_남_20~29세,"2,831",303,168,438,757,275,52,35,410,393
2021년08월_남_30~39세,"2,449",268,128,349,598,264,54,43,392,353
2021년08월_남_40~49세,"2,861",183,190,458,770,289,52,61,383,475
2021년08월_남_50~59세,"3,441",199,246,498,897,373,97,134,362,635
2021년08월_남_60~69세,"3,717",197,283,547,934,436,129,152,378,661
2021년08월_남_70~79세,"2,134",93,200,296,519,260,63,68,218,417
2021년08월_남_80~89세,765,38,79,109,205,76,21,11,70,156
2021년08월_남_90~99세,78,1,7,10,21,6,5,4,9,15
2021년08월_남_100세 이상,3,0,0,1,1,0,1,0,0,0
2021년08월_여_총인구수,"20,851","1,450","1,339","3,359","5,458","2,395",483,403,"2,296","3,668"
2021년08월_여_연령구간인구수,"20,851","1,450","1,339","3,359","5,458","2,395",483,403,"2,296","3,668"
2021년08월_여_0~9세,560,13,36,85,173,39,8,5,78,123
2021년08월_여_10~19세,970,29,51,199,269,95,18,15,97,197
2021년08월_여_20~29세,"2,961",464,146,481,756,283,44,25,416,346
2021년08월_여_30~39세,"2,055",291,96,307,527,209,42,31,273,279
2021년08월_여_40~49세,"2,353",147,132,405,629,256,53,37,269,425
2021년08월_여_50~59세,"3,372",169,237,559,903,395,83,66,325,635
2021년08월_여_60~69세,"4,161",176,282,615,"1,094",576,114,114,402,788
2021년08월_여_70~79세,"2,808",97,220,464,711,334,68,72,267,575
2021년08월_여_80~89세,"1,348",48,112,188,343,168,43,33,149,264
2021년08월_여_90~99세,248,15,26,54,50,36,8,4,20,35
2021년08월_여_100세 이상,15,1,1,2,3,4,2,1,0,1
