카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년02월_계_총인구수,"2,120,995","653,816","259,558","394,258","106,098","100,836","313,875","174,596","118,513","42,648","166,551","51,969","66,548","52,582","31,385","100,245","78,915","62,418"
2020년02월_계_연령구간인구수,"2,120,995","653,816","259,558","394,258","106,098","100,836","313,875","174,596","118,513","42,648","166,551","51,969","66,548","52,582","31,385","100,245","78,915","62,418"
2020년02월_계_0~9세,"179,808","63,992","21,625","42,367","6,144","6,452","34,534","15,903","7,606","4,034","16,381","2,753","3,120","2,447","1,350","8,019","3,864","3,209"
2020년02월_계_10~19세,"206,578","69,718","27,019","42,699","8,627","8,552","34,281","17,561","10,195","6,516","15,715","4,412","4,990","3,635","2,127","9,779","5,909","4,561"
2020년02월_계_20~29세,"243,748","95,158","35,479","59,679","11,728","9,743","35,959","19,116","11,893","4,871","16,445","4,162","5,702","4,056","2,839","9,749","7,087","5,240"
2020년02월_계_30~39세,"276,553","106,580","34,505","72,075","10,052","9,919","50,204","22,639","11,324","4,683","23,794","4,057","4,693","3,693","2,199","10,868","6,427","5,421"
2020년02월_계_40~49세,"329,789","111,788","43,733","68,055","13,767","14,225","55,393","27,755","15,964","8,474","26,480","6,481","7,558","6,122","3,285","14,716","9,896","7,885"
2020년02월_계_50~59세,"340,568","101,977","44,176","57,801","18,872","17,516","45,341","28,148","20,284","6,781","25,855","9,275","11,302","8,746","5,461","16,043","14,022","10,945"
2020년02월_계_60~69세,"264,305","58,753","29,062","29,691","17,597","16,362","29,885","20,684","19,247","4,090","20,015","9,365","12,574","9,964","5,902","14,074","14,174","11,619"
2020년02월_계_70~79세,"167,339","29,150","15,097","14,053","11,283","10,995","17,517","13,544","12,818","1,951","12,895","6,745","9,375","7,916","4,512","9,859","10,229","8,550"
2020년02월_계_80~89세,"97,941","14,437","7,648","6,789","7,016","6,146","9,434","8,031","7,971","1,069","7,843","4,168","6,245","5,208","3,271","6,258","6,465","4,379"
2020년02월_계_90~99세,"13,481","2,100","1,130",970,953,871,"1,216","1,150","1,124",168,"1,061",522,934,752,419,818,807,586
2020년02월_계_100세 이상,885,163,84,79,59,55,111,65,87,11,67,29,55,43,20,62,35,23
2020년02월_남_총인구수,"1,081,153","333,367","131,703","201,664","53,161","51,024","162,615","90,431","59,290","21,211","88,109","26,165","32,969","25,992","15,853","49,839","39,603","31,524"
2020년02월_남_연령구간인구수,"1,081,153","333,367","131,703","201,664","53,161","51,024","162,615","90,431","59,290","21,211","88,109","26,165","32,969","25,992","15,853","49,839","39,603","31,524"
2020년02월_남_0~9세,"92,163","32,678","11,120","21,558","3,189","3,243","17,769","8,177","3,913","2,054","8,376","1,407","1,667","1,226",695,"4,170","1,996","1,603"
2020년02월_남_10~19세,"107,267","36,191","14,084","22,107","4,458","4,441","17,615","9,315","5,272","3,402","8,242","2,309","2,605","1,870","1,116","4,993","3,056","2,382"
2020년02월_남_20~29세,"134,033","49,824","18,878","30,946","6,489","5,650","19,851","11,222","6,674","2,714","9,529","2,402","3,291","2,361","1,617","5,356","3,996","3,057"
2020년02월_남_30~39세,"148,441","56,588","18,129","38,459","5,392","5,390","26,725","12,382","5,953","2,292","13,464","2,132","2,556","2,059","1,249","5,650","3,580","3,029"
2020년02월_남_40~49세,"175,745","57,517","22,492","35,025","7,258","7,792","30,156","14,797","8,542","4,107","14,876","3,613","4,128","3,387","1,920","7,699","5,450","4,503"
2020년02월_남_50~59세,"179,212","52,446","22,601","29,845","9,787","9,270","24,404","14,915","10,598","3,413","14,412","5,058","5,848","4,705","2,963","8,300","7,375","5,718"
2020년02월_남_60~69세,"131,499","29,605","14,598","15,007","8,767","7,986","14,747","10,300","9,671","1,985","10,109","4,723","6,269","4,852","3,011","6,882","7,010","5,582"
2020년02월_남_70~79세,"75,193","13,068","6,889","6,179","5,112","4,887","7,738","6,298","5,595",875,"6,017","2,978","4,178","3,467","1,996","4,375","4,626","3,983"
2020년02월_남_80~89세,"34,252","4,939","2,642","2,297","2,447","2,163","3,299","2,784","2,760",332,"2,806","1,407","2,196","1,884","1,177","2,192","2,325","1,541"
2020년02월_남_90~99세,"3,147",467,249,218,250,191,280,232,288,37,264,127,223,171,106,205,184,122
2020년02월_남_100세 이상,201,44,21,23,12,11,31,9,24,0,14,9,8,10,3,17,5,4
2020년02월_여_총인구수,"1,039,842","320,449","127,855","192,594","52,937","49,812","151,260","84,165","59,223","21,437","78,442","25,804","33,579","26,590","15,532","50,406","39,312","30,894"
2020년02월_여_연령구간인구수,"1,039,842","320,449","127,855","192,594","52,937","49,812","151,260","84,165","59,223","21,437","78,442","25,804","33,579","26,590","15,532","50,406","39,312","30,894"
2020년02월_여_0~9세,"87,645","31,314","10,505","20,809","2,955","3,209","16,765","7,726","3,693","1,980","8,005","1,346","1,453","1,221",655,"3,849","1,868","1,606"
2020년02월_여_10~19세,"99,311","33,527","12,935","20,592","4,169","4,111","16,666","8,246","4,923","3,114","7,473","2,103","2,385","1,765","1,011","4,786","2,853","2,179"
2020년02월_여_20~29세,"109,715","45,334","16,601","28,733","5,239","4,093","16,108","7,894","5,219","2,157","6,916","1,760","2,411","1,695","1,222","4,393","3,091","2,183"
2020년02월_여_30~39세,"128,112","49,992","16,376","33,616","4,660","4,529","23,479","10,257","5,371","2,391","10,330","1,925","2,137","1,634",950,"5,218","2,847","2,392"
2020년02월_여_40~49세,"154,044","54,271","21,241","33,030","6,509","6,433","25,237","12,958","7,422","4,367","11,604","2,868","3,430","2,735","1,365","7,017","4,446","3,382"
2020년02월_여_50~59세,"161,356","49,531","21,575","27,956","9,085","8,246","20,937","13,233","9,686","3,368","11,443","4,217","5,454","4,041","2,498","7,743","6,647","5,227"
2020년02월_여_60~69세,"132,806","29,148","14,464","14,684","8,830","8,376","15,138","10,384","9,576","2,105","9,906","4,642","6,305","5,112","2,891","7,192","7,164","6,037"
2020년02월_여_70~79세,"92,146","16,082","8,208","7,874","6,171","6,108","9,779","7,246","7,223","1,076","6,878","3,767","5,197","4,449","2,516","5,484","5,603","4,567"
2020년02월_여_80~89세,"63,689","9,498","5,006","4,492","4,569","3,983","6,135","5,247","5,211",737,"5,037","2,761","4,049","3,324","2,094","4,066","4,140","2,838"
2020년02월_여_90~99세,"10,334","1,633",881,752,703,680,936,918,836,131,797,395,711,581,313,613,623,464
2020년02월_여_100세 이상,684,119,63,56,47,44,80,56,63,11,53,20,47,33,17,45,30,19
