,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년08월_계_총인구수,"3,359,527","40,713","105,996","87,585","111,386","355,138","267,672","263,333","283,901","398,117","306,885","229,240","141,688","205,700","175,815","209,547","176,811"
2021년08월_계_연령구간인구수,"3,359,527","40,713","105,996","87,585","111,386","355,138","267,672","263,333","283,901","398,117","306,885","229,240","141,688","205,700","175,815","209,547","176,811"
2021년08월_계_0~9세,"223,790","1,184","5,422","4,004","4,969","20,487","18,917","17,043","18,651","27,610","18,786","12,486","19,896","13,951","10,087","11,623","18,674"
2021년08월_계_10~19세,"267,212","1,929","7,175","4,897","7,162","24,296","24,633","22,623","22,679","37,127","24,665","17,230","12,575","16,188","11,534","14,619","17,880"
2021년08월_계_20~29세,"421,122","5,792","13,243","10,258","11,648","51,877","31,752","34,447","36,404","47,516","38,701","32,425","12,704","25,073","24,055","28,157","17,070"
2021년08월_계_30~39세,"408,986","4,504","10,759","10,371","10,340","47,354","31,989","28,694","33,776","45,738","35,347","24,494","27,087","26,001","23,606","24,466","24,460"
2021년08월_계_40~49세,"504,235","5,214","14,311","11,539","14,785","50,542","42,545","40,883","40,047","64,614","45,001","31,482","25,253","31,335","25,135","28,707","32,842"
2021년08월_계_50~59세,"556,023","6,813","17,229","14,270","18,733","56,939","43,509","42,190","52,677","69,448","53,383","39,210","17,040","33,345","27,146","39,428","24,663"
2021년08월_계_60~69세,"546,088","7,878","19,331","16,146","22,391","57,161","41,892","41,335","47,994","59,702","52,879","39,744","16,813","33,265","29,062","38,179","22,316"
2021년08월_계_70~79세,"295,340","4,942","12,220","10,635","14,518","31,502","22,570","24,997","21,902","30,981","26,631","21,745","7,052","18,314","17,162","17,469","12,700"
2021년08월_계_80~89세,"120,959","2,113","5,589","4,815","6,084","13,432","8,719","9,910","8,648","13,525","10,120","9,174","2,784","7,335","7,081","6,203","5,427"
2021년08월_계_90~99세,"15,020",326,689,583,703,"1,486","1,077","1,145","1,089","1,782","1,332","1,185",459,852,913,651,748
2021년08월_계_100세 이상,752,18,28,67,53,62,69,66,34,74,40,65,25,41,34,45,31
2021년08월_남_총인구수,"1,644,378","19,862","51,308","42,817","54,888","171,257","130,155","128,710","140,302","191,483","152,766","112,060","73,380","99,010","83,040","105,794","87,546"
2021년08월_남_연령구간인구수,"1,644,378","19,862","51,308","42,817","54,888","171,257","130,155","128,710","140,302","191,483","152,766","112,060","73,380","99,010","83,040","105,794","87,546"
