카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년10월_계_총인구수,"110,108","17,695","13,607","15,332","7,412","1,561","3,370","2,770","3,450","5,892","4,897","6,352","15,654","6,723","5,139",254
2021년10월_계_연령구간인구수,"110,108","17,695","13,607","15,332","7,412","1,561","3,370","2,770","3,450","5,892","4,897","6,352","15,654","6,723","5,139",254
2021년10월_계_0~9세,"7,734","1,297","1,410","1,821",589,33,80,67,67,164,200,423,"1,006",296,279,2
2021년10월_계_10~19세,"10,107","1,775","1,563","2,045",645,43,145,76,133,273,285,491,"1,635",610,381,7
2021년10월_계_20~29세,"10,404","2,206","1,511","1,483",497,101,243,136,209,360,414,504,"1,635",704,391,10
2021년10월_계_30~39세,"11,278","2,237","1,939","2,162",749,88,172,119,148,379,397,623,"1,334",510,410,11
2021년10월_계_40~49세,"17,352","3,092","2,443","3,108","1,221",134,312,239,304,641,619,953,"2,500","1,104",654,28
2021년10월_계_50~59세,"18,264","3,048","2,096","1,941","1,141",268,570,503,631,998,914,"1,103","2,925","1,238",851,37
2021년10월_계_60~69세,"17,282","2,129","1,364","1,397","1,267",410,796,681,805,"1,460","1,025","1,154","2,498","1,174","1,056",66
2021년10월_계_70~79세,"10,753","1,141",748,830,782,253,591,523,624,"1,064",661,757,"1,380",680,656,63
2021년10월_계_80~89세,"6,033",667,441,470,442,205,401,379,453,490,343,312,671,349,382,28
2021년10월_계_90~99세,874,97,90,74,76,26,56,45,74,62,39,30,69,57,77,2
2021년10월_계_100세 이상,27,6,2,1,3,0,4,2,2,1,0,2,1,1,2,0
2021년10월_남_총인구수,"55,531","9,232","6,829","7,994","3,711",808,"1,728","1,385","1,695","2,889","2,430","3,095","7,606","3,482","2,520",127
2021년10월_남_연령구간인구수,"55,531","9,232","6,829","7,994","3,711",808,"1,728","1,385","1,695","2,889","2,430","3,095","7,606","3,482","2,520",127
2021년10월_남_0~9세,"4,003",675,721,971,275,18,49,36,34,87,102,210,527,148,149,1
2021년10월_남_10~19세,"5,204",883,816,"1,015",350,24,77,50,64,144,153,266,829,334,194,5
2021년10월_남_20~29세,"6,230","1,294",857,940,292,58,159,93,142,215,268,292,943,426,244,7
2021년10월_남_30~39세,"6,127","1,301","1,009","1,150",384,56,101,68,82,237,230,323,678,292,211,5
2021년10월_남_40~49세,"9,162","1,675","1,200","1,623",688,82,189,155,183,385,343,493,"1,176",589,358,23
2021년10월_남_50~59세,"9,739","1,619","1,101","1,108",601,164,321,294,369,542,463,562,"1,462",683,426,24
2021년10월_남_60~69세,"8,389","1,065",666,680,603,224,420,345,398,665,478,526,"1,187",586,515,31
2021년10월_남_70~79세,"4,630",494,316,347,355,113,267,224,279,445,277,313,591,293,292,24
2021년10월_남_80~89세,"1,902",212,130,147,149,63,132,112,132,160,109,104,204,121,121,6
2021년10월_남_90~99세,138,13,13,13,13,6,12,7,11,9,7,6,9,9,9,1
2021년10월_남_100세 이상,7,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0
2021년10월_여_총인구수,"54,577","8,463","6,778","7,338","3,701",753,"1,642","1,385","1,755","3,003","2,467","3,257","8,048","3,241","2,619",127
2021년10월_여_연령구간인구수,"54,577","8,463","6,778","7,338","3,701",753,"1,642","1,385","1,755","3,003","2,467","3,257","8,048","3,241","2,619",127
2021년10월_여_0~9세,"3,731",622,689,850,314,15,31,31,33,77,98,213,479,148,130,1
2021년10월_여_10~19세,"4,903",892,747,"1,030",295,19,68,26,69,129,132,225,806,276,187,2
2021년10월_여_20~29세,"4,174",912,654,543,205,43,84,43,67,145,146,212,692,278,147,3
2021년10월_여_30~39세,"5,151",936,930,"1,012",365,32,71,51,66,142,167,300,656,218,199,6
2021년10월_여_40~49세,"8,190","1,417","1,243","1,485",533,52,123,84,121,256,276,460,"1,324",515,296,5
2021년10월_여_50~59세,"8,525","1,429",995,833,540,104,249,209,262,456,451,541,"1,463",555,425,13
2021년10월_여_60~69세,"8,893","1,064",698,717,664,186,376,336,407,795,547,628,"1,311",588,541,35
2021년10월_여_70~79세,"6,123",647,432,483,427,140,324,299,345,619,384,444,789,387,364,39
2021년10월_여_80~89세,"4,131",455,311,323,293,142,269,267,321,330,234,208,467,228,261,22
2021년10월_여_90~99세,736,84,77,61,63,20,44,38,63,53,32,24,60,48,68,1
2021년10월_여_100세 이상,20,5,2,1,2,0,3,1,1,1,0,2,1,0,1,0
