카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년01월_계_총인구수,"28,446","7,657","1,361","1,710","1,529","1,738","3,891","1,375","1,556","3,511","1,646","1,207","1,265"
2020년01월_계_연령구간인구수,"28,446","7,657","1,361","1,710","1,529","1,738","3,891","1,375","1,556","3,511","1,646","1,207","1,265"
2020년01월_계_0~9세,"1,474",728,38,39,62,52,128,58,42,173,54,46,54
2020년01월_계_10~19세,"1,840",728,53,81,75,85,267,61,74,204,97,51,64
2020년01월_계_20~29세,"2,425",819,93,140,117,133,312,93,87,296,171,77,87
2020년01월_계_30~39세,"2,202",875,72,108,113,100,275,72,85,259,85,81,77
2020년01월_계_40~49세,"3,114","1,091",148,170,143,160,392,134,130,372,181,88,105
2020년01월_계_50~59세,"4,919","1,088",216,364,256,317,675,259,247,697,317,248,235
2020년01월_계_60~69세,"4,838",974,240,376,299,300,736,267,307,624,272,215,228
2020년01월_계_70~79세,"4,298",770,269,230,267,336,596,257,305,529,271,249,219
2020년01월_계_80~89세,"2,892",502,203,171,170,223,450,152,243,314,162,132,170
2020년01월_계_90~99세,418,76,27,31,24,30,59,21,36,40,33,15,26
2020년01월_계_100세 이상,26,6,2,0,3,2,1,1,0,3,3,5,0
2020년01월_남_총인구수,"14,457","3,899",693,876,773,892,"1,952",724,762,"1,785",867,603,631
2020년01월_남_연령구간인구수,"14,457","3,899",693,876,773,892,"1,952",724,762,"1,785",867,603,631
2020년01월_남_0~9세,781,390,21,22,33,30,73,35,19,81,29,17,31
2020년01월_남_10~19세,982,372,28,43,47,48,150,33,37,103,62,25,34
2020년01월_남_20~29세,"1,393",477,55,71,65,77,178,55,54,165,106,39,51
2020년01월_남_30~39세,"1,203",454,41,57,67,62,153,39,45,142,57,49,37
2020년01월_남_40~49세,"1,883",612,100,100,85,98,234,85,85,239,125,54,66
2020년01월_남_50~59세,"2,767",586,125,203,145,174,378,164,140,395,176,153,128
2020년01월_남_60~69세,"2,535",489,129,205,151,165,374,156,164,311,145,116,130
2020년01월_남_70~79세,"1,845",337,114,106,117,144,242,100,135,249,108,99,94
2020년01월_남_80~89세,966,169,71,54,57,87,153,53,75,89,53,49,56
2020년01월_남_90~99세,95,12,7,15,6,6,16,3,8,11,6,1,4
2020년01월_남_100세 이상,7,1,2,0,0,1,1,1,0,0,0,1,0
2020년01월_여_총인구수,"13,989","3,758",668,834,756,846,"1,939",651,794,"1,726",779,604,634
2020년01월_여_연령구간인구수,"13,989","3,758",668,834,756,846,"1,939",651,794,"1,726",779,604,634
2020년01월_여_0~9세,693,338,17,17,29,22,55,23,23,92,25,29,23
2020년01월_여_10~19세,858,356,25,38,28,37,117,28,37,101,35,26,30
2020년01월_여_20~29세,"1,032",342,38,69,52,56,134,38,33,131,65,38,36
2020년01월_여_30~39세,999,421,31,51,46,38,122,33,40,117,28,32,40
2020년01월_여_40~49세,"1,231",479,48,70,58,62,158,49,45,133,56,34,39
2020년01월_여_50~59세,"2,152",502,91,161,111,143,297,95,107,302,141,95,107
2020년01월_여_60~69세,"2,303",485,111,171,148,135,362,111,143,313,127,99,98
2020년01월_여_70~79세,"2,453",433,155,124,150,192,354,157,170,280,163,150,125
2020년01월_여_80~89세,"1,926",333,132,117,113,136,297,99,168,225,109,83,114
2020년01월_여_90~99세,323,64,20,16,18,24,43,18,28,29,27,14,22
2020년01월_여_100세 이상,19,5,0,0,3,1,0,0,0,3,3,4,0
