카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년01월_계_총인구수,"348,022","8,178","4,129","8,104","2,236","1,919","2,624","1,607","1,511","1,495","3,265","21,040","4,738","1,612","4,033","1,059","2,242","27,403","10,788","11,248","14,206","19,729","24,742","11,739","26,908","27,703","11,780","12,132","21,216","26,938","31,698"
2021년01월_계_연령구간인구수,"348,022","8,178","4,129","8,104","2,236","1,919","2,624","1,607","1,511","1,495","3,265","21,040","4,738","1,612","4,033","1,059","2,242","27,403","10,788","11,248","14,206","19,729","24,742","11,739","26,908","27,703","11,780","12,132","21,216","26,938","31,698"
2021년01월_계_0~9세,"28,156",627,377,907,42,46,92,27,34,39,58,"2,151",237,23,136,27,61,"1,538",454,331,607,"1,014","1,368",728,"3,368","2,104",653,662,"2,422","2,391","5,632"
2021년01월_계_10~19세,"35,245",666,451,489,113,60,184,49,47,78,143,"2,776",416,52,202,43,101,"2,461",723,675,"1,064","1,588","2,502","1,066","4,032","3,502","1,118","1,286","3,014","2,597","3,747"
2021년01월_계_20~29세,"45,047",775,421,"1,027",152,128,226,74,65,108,208,"2,264",437,78,339,98,141,"4,248","1,453","1,095","1,804","2,921","3,779","1,522","3,362","4,117","1,633","1,588","2,354","5,231","3,399"
2021년01월_계_30~39세,"41,577",928,421,"1,534",123,120,179,68,80,68,173,"2,452",381,59,221,54,106,"2,622","1,207",857,"1,336","2,102","2,560","1,385","3,705","3,021","1,144","1,093","2,498","4,144","6,936"
2021년01월_계_40~49세,"54,211","1,034",663,"1,122",189,151,291,101,156,155,269,"3,731",656,115,432,94,218,"3,904","1,581","1,390","1,900","2,808","3,691","1,735","5,282","4,670","1,615","1,782","4,101","4,106","6,269"
2021년01월_계_50~59세,"57,681","1,412",689,"1,243",385,337,503,285,220,258,595,"3,368",878,287,763,192,415,"4,504","1,810","1,956","2,639","3,619","5,010","2,093","4,038","5,196","2,095","2,342","3,235","3,992","3,322"
2021년01월_계_60~69세,"46,133","1,381",567,"1,013",469,484,505,421,359,305,707,"2,436",816,380,960,242,514,"4,024","1,867","2,412","2,517","3,174","3,555","1,873","1,869","2,876","1,941","1,936","2,168","2,684","1,678"
2021년01월_계_70~79세,"25,611",810,325,469,416,289,360,312,305,254,584,"1,181",538,325,577,159,344,"2,718","1,118","1,721","1,572","1,776","1,555",965,841,"1,377","1,026",995,966,"1,234",499
2021년01월_계_80~89세,"12,499",460,183,248,290,262,257,240,220,191,452,599,327,258,351,127,308,"1,201",492,702,678,656,635,330,364,725,487,385,406,486,179
