카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년12월_계_총인구수,"320,064","19,117","24,772","16,361","21,448","8,855","27,340","48,826","20,841","32,325","26,716","30,503","16,986","14,588","11,386"
2020년12월_계_연령구간인구수,"320,064","19,117","24,772","16,361","21,448","8,855","27,340","48,826","20,841","32,325","26,716","30,503","16,986","14,588","11,386"
2020년12월_계_0~9세,"23,877",847,"1,984","1,288","1,830",471,"1,629","3,558","1,192","2,182","2,061","3,485","1,548","1,194",608
2020년12월_계_10~19세,"30,560","1,132","3,160","1,212","2,350",610,"2,111","4,405","1,739","3,527","3,274","3,264","1,875","1,281",620
2020년12월_계_20~29세,"45,747","2,661","3,259","2,156","2,875","1,357","4,168","7,854","3,207","5,804","3,740","3,421","2,295","1,804","1,146"
2020년12월_계_30~39세,"42,180","2,265","2,834","2,022","2,770","1,263","3,886","7,694","2,267","3,615","3,147","4,584","2,357","2,006","1,470"
2020년12월_계_40~49세,"51,653","2,534","4,386","2,519","3,670","1,376","4,170","8,456","3,008","5,258","4,266","5,533","2,610","2,351","1,516"
2020년12월_계_50~59세,"61,818","3,759","4,769","3,277","3,770","1,739","5,331","9,313","4,699","6,672","5,471","4,881","3,302","2,724","2,111"
2020년12월_계_60~69세,"41,402","3,625","2,737","2,426","2,668","1,266","3,908","5,344","2,971","3,380","3,278","3,396","2,076","2,115","2,212"
2020년12월_계_70~79세,"16,471","1,680","1,214","1,032","1,105",580,"1,483","1,628","1,222","1,320","1,072","1,437",671,792,"1,235"
2020년12월_계_80~89세,"5,644",549,369,371,364,171,587,500,482,501,366,452,223,289,420
2020년12월_계_90~99세,678,59,59,55,43,21,62,72,53,65,41,47,29,29,43
2020년12월_계_100세 이상,34,6,1,3,3,1,5,2,1,1,0,3,0,3,5
2020년12월_남_총인구수,"163,198","9,688","12,725","8,283","10,881","4,689","13,827","25,294","10,633","16,526","13,378","15,247","8,496","7,512","6,019"
2020년12월_남_연령구간인구수,"163,198","9,688","12,725","8,283","10,881","4,689","13,827","25,294","10,633","16,526","13,378","15,247","8,496","7,512","6,019"
2020년12월_남_0~9세,"12,295",438,"1,036",658,961,244,848,"1,815",672,"1,121","1,045","1,753",773,628,303
2020년12월_남_10~19세,"16,170",580,"1,725",658,"1,215",320,"1,130","2,302",914,"1,831","1,797","1,688",999,671,340
2020년12월_남_20~29세,"25,501","1,511","1,858","1,160","1,603",788,"2,322","4,302","1,810","3,312","2,137","1,836","1,220",981,661
2020년12월_남_30~39세,"22,467","1,299","1,482","1,070","1,456",702,"2,111","4,221","1,238","1,945","1,575","2,257","1,190","1,073",848
2020년12월_남_40~49세,"25,173","1,347","2,022","1,278","1,762",746,"2,087","4,120","1,470","2,425","1,851","2,755","1,204","1,223",883
2020년12월_남_50~59세,"31,077","1,831","2,472","1,652","1,931",898,"2,557","4,729","2,337","3,354","2,659","2,454","1,647","1,374","1,182"
2020년12월_남_60~69세,"20,579","1,708","1,381","1,169","1,287",636,"1,891","2,766","1,484","1,736","1,669","1,649","1,060","1,063","1,080"
2020년12월_남_70~79세,"7,856",765,603,482,521,286,676,860,538,621,525,685,329,396,569
2020년12월_남_80~89세,"1,947",199,137,144,132,66,191,164,159,170,113,161,70,95,146
2020년12월_남_90~99세,125,9,9,10,12,3,13,15,11,11,7,9,4,5,7
2020년12월_남_100세 이상,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2020년12월_여_총인구수,"156,866","9,429","12,047","8,078","10,567","4,166","13,513","23,532","10,208","15,799","13,338","15,256","8,490","7,076","5,367"
2020년12월_여_연령구간인구수,"156,866","9,429","12,047","8,078","10,567","4,166","13,513","23,532","10,208","15,799","13,338","15,256","8,490","7,076","5,367"
2020년12월_여_0~9세,"11,582",409,948,630,869,227,781,"1,743",520,"1,061","1,016","1,732",775,566,305
2020년12월_여_10~19세,"14,390",552,"1,435",554,"1,135",290,981,"2,103",825,"1,696","1,477","1,576",876,610,280
2020년12월_여_20~29세,"20,246","1,150","1,401",996,"1,272",569,"1,846","3,552","1,397","2,492","1,603","1,585","1,075",823,485
2020년12월_여_30~39세,"19,713",966,"1,352",952,"1,314",561,"1,775","3,473","1,029","1,670","1,572","2,327","1,167",933,622
2020년12월_여_40~49세,"26,480","1,187","2,364","1,241","1,908",630,"2,083","4,336","1,538","2,833","2,415","2,778","1,406","1,128",633
2020년12월_여_50~59세,"30,741","1,928","2,297","1,625","1,839",841,"2,774","4,584","2,362","3,318","2,812","2,427","1,655","1,350",929
2020년12월_여_60~69세,"20,823","1,917","1,356","1,257","1,381",630,"2,017","2,578","1,487","1,644","1,609","1,747","1,016","1,052","1,132"
2020년12월_여_70~79세,"8,615",915,611,550,584,294,807,768,684,699,547,752,342,396,666
2020년12월_여_80~89세,"3,697",350,232,227,232,105,396,336,323,331,253,291,153,194,274
2020년12월_여_90~99세,553,50,50,45,31,18,49,57,42,54,34,38,25,24,36
2020년12월_여_100세 이상,26,5,1,1,2,1,4,2,1,1,0,3,0,0,5
