카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년07월_계_총인구수,"82,377","4,397","3,628","5,958","9,619","21,711","29,160","4,800","3,104"
2021년07월_계_연령구간인구수,"82,377","4,397","3,628","5,958","9,619","21,711","29,160","4,800","3,104"
2021년07월_계_0~9세,"5,721",166,232,222,517,"1,372","2,844",283,85
2021년07월_계_10~19세,"7,257",230,257,427,818,"2,195","2,954",259,117
2021년07월_계_20~29세,"8,928",401,308,576,"1,119","2,439","3,420",422,243
2021년07월_계_30~39세,"9,066",385,332,444,990,"2,218","3,938",539,220
2021년07월_계_40~49세,"12,236",482,496,711,"1,332","3,388","4,925",583,319
2021년07월_계_50~59세,"14,954",868,684,"1,155","1,719","4,074","4,920",904,630
2021년07월_계_60~69세,"13,491","1,039",689,"1,272","1,775","3,423","3,576",949,768
2021년07월_계_70~79세,"6,786",537,410,692,857,"1,626","1,697",506,461
2021년07월_계_80~89세,"3,319",249,188,374,419,825,760,287,217
2021년07월_계_90~99세,598,37,32,83,70,149,121,64,42
2021년07월_계_100세 이상,21,3,0,2,3,2,5,4,2
2021년07월_남_총인구수,"40,848","2,277","1,831","2,917","4,720","10,830","14,248","2,419","1,606"
2021년07월_남_연령구간인구수,"40,848","2,277","1,831","2,917","4,720","10,830","14,248","2,419","1,606"
2021년07월_남_0~9세,"2,914",84,127,117,259,693,"1,435",155,44
2021년07월_남_10~19세,"3,772",131,135,220,438,"1,115","1,529",125,79
2021년07월_남_20~29세,"5,027",244,175,337,627,"1,386","1,876",244,138
2021년07월_남_30~39세,"4,863",221,177,259,544,"1,197","2,022",301,142
2021년07월_남_40~49세,"6,150",275,265,371,676,"1,667","2,396",315,185
2021년07월_남_50~59세,"7,402",462,348,558,825,"2,035","2,350",490,334
2021년07월_남_60~69세,"6,511",511,340,607,842,"1,718","1,639",478,376
2021년07월_남_70~79세,"2,938",251,194,299,350,729,708,201,206
2021년07월_남_80~89세,"1,154",92,63,137,146,266,263,94,93
2021년07월_남_90~99세,110,5,7,11,13,24,28,14,8
2021년07월_남_100세 이상,7,1,0,1,0,0,2,2,1
2021년07월_여_총인구수,"41,529","2,120","1,797","3,041","4,899","10,881","14,912","2,381","1,498"
2021년07월_여_연령구간인구수,"41,529","2,120","1,797","3,041","4,899","10,881","14,912","2,381","1,498"
2021년07월_여_0~9세,"2,807",82,105,105,258,679,"1,409",128,41
2021년07월_여_10~19세,"3,485",99,122,207,380,"1,080","1,425",134,38
2021년07월_여_20~29세,"3,901",157,133,239,492,"1,053","1,544",178,105
2021년07월_여_30~39세,"4,203",164,155,185,446,"1,021","1,916",238,78
2021년07월_여_40~49세,"6,086",207,231,340,656,"1,721","2,529",268,134
2021년07월_여_50~59세,"7,552",406,336,597,894,"2,039","2,570",414,296
2021년07월_여_60~69세,"6,980",528,349,665,933,"1,705","1,937",471,392
2021년07월_여_70~79세,"3,848",286,216,393,507,897,989,305,255
2021년07월_여_80~89세,"2,165",157,125,237,273,559,497,193,124
2021년07월_여_90~99세,488,32,25,72,57,125,93,50,34
2021년07월_여_100세 이상,14,2,0,1,3,2,3,2,1
