카테고리,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년01월_계_총인구수,"62,455","39,071",924,431,"1,797","1,037","1,797","3,258","2,888","1,438",992,"1,592","1,632","2,166","3,432"
2021년01월_계_연령구간인구수,"62,455","39,071",924,431,"1,797","1,037","1,797","3,258","2,888","1,438",992,"1,592","1,632","2,166","3,432"
2021년01월_계_0~9세,"3,469","2,873",14,10,36,30,36,124,88,27,18,35,34,46,98
2021년01월_계_10~19세,"5,622","4,642",43,17,71,21,54,209,128,49,35,60,63,66,164
2021년01월_계_20~29세,"6,789","5,138",63,8,117,57,102,293,221,79,82,79,115,148,287
2021년01월_계_30~39세,"4,707","3,480",47,19,91,36,82,222,183,47,46,65,61,119,209
2021년01월_계_40~49세,"8,253","6,266",98,35,116,63,141,343,279,98,70,117,124,178,325
2021년01월_계_50~59세,"11,250","6,948",161,72,317,195,321,555,543,257,209,291,295,402,684
2021년01월_계_60~69세,"9,525","4,615",193,97,371,205,376,671,628,331,203,343,331,465,696
2021년01월_계_70~79세,"7,463","3,194",185,112,347,199,355,497,438,308,183,360,328,415,542
2021년01월_계_80~89세,"4,688","1,683",109,54,289,204,281,302,323,216,128,211,232,273,383
2021년01월_계_90~99세,652,217,10,7,42,26,46,42,56,23,16,30,46,52,39
2021년01월_계_100세 이상,37,15,1,0,0,1,3,0,1,3,2,1,3,2,5
2021년01월_남_총인구수,"30,893","19,214",477,203,921,503,877,"1,596","1,429",742,516,798,768,"1,106","1,743"
2021년01월_남_연령구간인구수,"30,893","19,214",477,203,921,503,877,"1,596","1,429",742,516,798,768,"1,106","1,743"
2021년01월_남_0~9세,"1,765","1,470",6,3,20,14,18,62,35,14,10,22,15,30,46
2021년01월_남_10~19세,"2,915","2,390",26,12,40,9,24,99,73,25,18,30,30,42,97
2021년01월_남_20~29세,"3,691","2,761",37,5,62,34,52,169,122,49,49,54,67,79,151
2021년01월_남_30~39세,"2,385","1,702",29,10,54,16,47,121,110,28,27,34,38,64,105
2021년01월_남_40~49세,"4,286","3,048",63,22,80,51,89,186,171,65,43,84,73,120,191
2021년01월_남_50~59세,"6,155","3,607",102,47,202,116,201,305,304,161,124,181,165,238,402
2021년01월_남_60~69세,"4,989","2,288",97,45,223,124,213,350,331,183,114,188,185,259,389
2021년01월_남_70~79세,"3,107","1,325",82,41,148,80,144,202,196,132,81,139,123,172,242
2021년01월_남_80~89세,"1,448",571,35,17,82,53,78,94,76,77,44,59,65,86,111
2021년01월_남_90~99세,149,51,0,1,10,6,9,8,11,8,6,7,7,16,9
2021년01월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년01월_여_총인구수,"31,562","19,857",447,228,876,534,920,"1,662","1,459",696,476,794,864,"1,060","1,689"
2021년01월_여_연령구간인구수,"31,562","19,857",447,228,876,534,920,"1,662","1,459",696,476,794,864,"1,060","1,689"
2021년01월_여_0~9세,"1,704","1,403",8,7,16,16,18,62,53,13,8,13,19,16,52
2021년01월_여_10~19세,"2,707","2,252",17,5,31,12,30,110,55,24,17,30,33,24,67
2021년01월_여_20~29세,"3,098","2,377",26,3,55,23,50,124,99,30,33,25,48,69,136
2021년01월_여_30~39세,"2,322","1,778",18,9,37,20,35,101,73,19,19,31,23,55,104
2021년01월_여_40~49세,"3,967","3,218",35,13,36,12,52,157,108,33,27,33,51,58,134
2021년01월_여_50~59세,"5,095","3,341",59,25,115,79,120,250,239,96,85,110,130,164,282
2021년01월_여_60~69세,"4,536","2,327",96,52,148,81,163,321,297,148,89,155,146,206,307
2021년01월_여_70~79세,"4,356","1,869",103,71,199,119,211,295,242,176,102,221,205,243,300
2021년01월_여_80~89세,"3,240","1,112",74,37,207,151,203,208,247,139,84,152,167,187,272
2021년01월_여_90~99세,503,166,10,6,32,20,37,34,45,15,10,23,39,36,30
2021년01월_여_100세 이상,34,14,1,0,0,1,1,0,1,3,2,1,3,2,5
