카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년12월_계_총인구수,"20,455","1,163",989,"5,238","1,236",229,"1,892","6,377",932,379,"2,020"
2020년12월_계_연령구간인구수,"20,455","1,163",989,"5,238","1,236",229,"1,892","6,377",932,379,"2,020"
2020년12월_계_0~9세,939,35,26,369,56,2,39,291,20,13,88
2020년12월_계_10~19세,"1,102",48,31,294,61,7,85,409,32,15,120
2020년12월_계_20~29세,"2,722",89,56,"1,056",200,35,137,568,79,24,478
2020년12월_계_30~39세,"1,889",74,56,624,119,20,93,619,43,21,220
2020년12월_계_40~49세,"2,409",115,115,671,118,16,168,825,93,36,252
2020년12월_계_50~59세,"3,605",205,205,708,220,29,363,"1,297",188,74,316
2020년12월_계_60~69세,"4,024",330,270,767,226,47,464,"1,301",227,89,303
2020년12월_계_70~79세,"2,371",164,153,427,159,54,334,724,152,63,141
2020년12월_계_80~89세,"1,141",84,57,253,67,15,171,292,84,35,83
2020년12월_계_90~99세,239,17,18,65,10,4,37,47,13,9,19
2020년12월_계_100세 이상,14,2,2,4,0,0,1,4,1,0,0
2020년12월_남_총인구수,"11,641",614,525,"3,096",720,143,"1,022","3,550",500,196,"1,275"
2020년12월_남_연령구간인구수,"11,641",614,525,"3,096",720,143,"1,022","3,550",500,196,"1,275"
2020년12월_남_0~9세,482,17,13,194,30,0,16,156,12,8,36
2020년12월_남_10~19세,593,22,20,134,31,6,45,240,17,6,72
2020년12월_남_20~29세,"1,991",50,30,838,149,29,84,374,43,11,383
2020년12월_남_30~39세,"1,167",43,34,370,77,17,59,378,28,14,147
2020년12월_남_40~49세,"1,515",63,73,442,81,14,100,487,61,20,174
2020년12월_남_50~59세,"2,072",118,118,402,117,20,230,712,116,46,193
2020년12월_남_60~69세,"2,174",181,139,407,135,27,260,702,118,44,161
2020년12월_남_70~79세,"1,173",84,79,206,65,23,156,381,71,37,71
2020년12월_남_80~89세,420,31,18,85,31,7,64,110,32,9,33
2020년12월_남_90~99세,50,4,0,17,4,0,8,9,2,1,5
2020년12월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년12월_여_총인구수,"8,814",549,464,"2,142",516,86,870,"2,827",432,183,745
2020년12월_여_연령구간인구수,"8,814",549,464,"2,142",516,86,870,"2,827",432,183,745
2020년12월_여_0~9세,457,18,13,175,26,2,23,135,8,5,52
2020년12월_여_10~19세,509,26,11,160,30,1,40,169,15,9,48
2020년12월_여_20~29세,731,39,26,218,51,6,53,194,36,13,95
2020년12월_여_30~39세,722,31,22,254,42,3,34,241,15,7,73
2020년12월_여_40~49세,894,52,42,229,37,2,68,338,32,16,78
2020년12월_여_50~59세,"1,533",87,87,306,103,9,133,585,72,28,123
2020년12월_여_60~69세,"1,850",149,131,360,91,20,204,599,109,45,142
2020년12월_여_70~79세,"1,198",80,74,221,94,31,178,343,81,26,70
2020년12월_여_80~89세,721,53,39,168,36,8,107,182,52,26,50
2020년12월_여_90~99세,189,13,18,48,6,4,29,38,11,8,14
2020년12월_여_100세 이상,10,1,1,3,0,0,1,3,1,0,0
