카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년03월_계_총인구수,"347,546","8,447","4,217","7,059","2,303","1,982","2,672","1,641","1,526","1,494","3,340","21,633","4,844","1,658","4,161","1,114","2,248","28,347","11,014","11,709","14,647","20,594","25,793","12,140","27,179","28,494","12,198","12,554","21,922","25,390","25,226"
2020년03월_계_연령구간인구수,"347,546","8,447","4,217","7,059","2,303","1,982","2,672","1,641","1,526","1,494","3,340","21,633","4,844","1,658","4,161","1,114","2,248","28,347","11,014","11,709","14,647","20,594","25,793","12,140","27,179","28,494","12,198","12,554","21,922","25,390","25,226"
2020년03월_계_0~9세,"29,259",663,405,809,49,47,106,30,32,37,78,"2,348",288,19,159,27,56,"1,713",523,414,682,"1,171","1,556",838,"3,551","2,296",710,777,"2,732","2,343","4,800"
2020년03월_계_10~19세,"35,994",694,480,428,122,68,196,55,50,78,165,"2,913",421,66,215,53,110,"2,682",776,705,"1,163","1,755","2,769","1,147","4,077","3,759","1,203","1,357","3,023","2,704","2,760"
2020년03월_계_20~29세,"44,803",868,406,890,168,143,227,78,86,110,234,"2,310",448,93,380,112,148,"4,297","1,443","1,185","1,912","2,998","3,960","1,571","3,344","4,212","1,718","1,683","2,408","4,620","2,751"
2020년03월_계_30~39세,"42,311",983,447,"1,329",146,131,202,79,78,75,188,"2,619",424,64,268,56,110,"2,847","1,337",947,"1,416","2,306","2,814","1,491","3,924","3,120","1,261","1,177","2,855","3,818","5,799"
2020년03월_계_40~49세,"54,916","1,103",702,960,188,169,316,120,157,160,314,"3,991",684,134,445,108,240,"4,181","1,624","1,484","2,037","3,027","3,988","1,864","5,335","5,008","1,696","1,888","4,193","4,076","4,724"
2020년03월_계_50~59세,"57,895","1,473",684,"1,099",413,374,497,299,235,254,599,"3,384",882,310,809,203,423,"4,680","1,859","2,111","2,765","3,830","5,190","2,176","3,957","5,259","2,197","2,447","3,248","3,717","2,521"
2020년03월_계_60~69세,"43,494","1,338",560,834,456,461,485,385,341,294,655,"2,260",784,351,933,232,465,"3,913","1,825","2,393","2,404","3,058","3,365","1,786","1,785","2,658","1,902","1,816","2,048","2,425","1,282"
2020년03월_계_70~79세,"25,212",800,327,435,420,302,370,326,310,260,617,"1,144",548,336,572,169,383,"2,706","1,085","1,708","1,533","1,756","1,470",911,798,"1,373",992,978,976,"1,195",412
2020년03월_계_80~89세,"11,904",448,181,227,291,251,244,235,215,186,422,583,316,250,329,127,286,"1,151",470,658,657,627,598,309,362,706,452,361,387,429,146
2020년03월_계_90~99세,"1,668",74,22,44,50,34,28,34,22,39,65,79,48,34,49,25,26,161,66,89,76,65,79,44,40,103,66,65,50,61,30
2020년03월_계_100세 이상,90,3,3,4,0,2,1,0,0,1,3,2,1,1,2,2,1,16,6,15,2,1,4,3,6,0,1,5,2,2,1
