카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년02월_계_총인구수,"281,347","2,753","4,726","18,535","31,647","12,275","2,996","1,858","3,258","1,566",933,"3,291","5,621","2,817","3,852","4,721","24,268","6,498","45,169","7,833","9,168","2,927","2,531","3,208","18,451","40,690","19,755"
2020년02월_계_연령구간인구수,"281,347","2,753","4,726","18,535","31,647","12,275","2,996","1,858","3,258","1,566",933,"3,291","5,621","2,817","3,852","4,721","24,268","6,498","45,169","7,833","9,168","2,927","2,531","3,208","18,451","40,690","19,755"
2020년02월_계_0~9세,"24,130",61,140,"1,660","5,949",864,58,37,73,18,28,88,145,66,161,150,"1,762",371,"3,623",407,400,128,66,108,"2,175","3,686","1,906"
2020년02월_계_10~19세,"31,232",136,236,"2,752","4,693","1,060",106,78,156,40,42,157,289,174,281,376,"2,746",612,"5,781",612,751,194,119,211,"1,727","5,117","2,786"
2020년02월_계_20~29세,"37,116",187,440,"3,138","3,052","1,318",175,137,200,94,61,242,443,257,378,809,"3,760",774,"6,743",956,"1,198",356,296,392,"2,201","6,326","3,183"
2020년02월_계_30~39세,"33,571",122,287,"2,234","6,667","1,205",151,112,164,75,35,149,300,155,332,424,"2,662",654,"5,221",816,820,260,220,286,"2,715","5,022","2,483"
2020년02월_계_40~49세,"44,151",259,538,"3,551","6,485","1,796",228,143,246,127,64,258,568,303,443,544,"3,639",959,"7,301",980,"1,185",328,306,470,"2,856","7,076","3,498"
2020년02월_계_50~59세,"49,233",558,938,"3,321","3,121","2,277",495,342,593,312,164,592,999,552,601,780,"4,455","1,194","8,787","1,358","1,761",504,513,556,"3,039","7,632","3,789"
2020년02월_계_60~69세,"31,972",511,862,"1,115","1,135","1,831",626,409,651,289,194,718,"1,089",552,793,726,"3,066","1,036","4,871","1,353","1,557",510,524,553,"1,990","3,592","1,419"
2020년02월_계_70~79세,"18,541",497,711,461,361,"1,167",640,333,653,333,180,630,957,435,558,598,"1,434",590,"1,920",936,"1,040",438,305,436,"1,078","1,397",453
2020년02월_계_80~89세,"9,846",372,503,275,154,656,453,225,459,239,133,399,734,267,264,279,636,265,783,354,400,176,149,171,573,721,206
2020년02월_계_90~99세,"1,499",50,70,26,30,99,63,41,63,32,31,56,93,53,36,34,103,40,134,59,56,33,31,20,94,120,32
2020년02월_계_100세 이상,56,0,1,2,0,2,1,1,0,7,1,2,4,3,5,1,5,3,5,2,0,0,2,5,3,1,0
2020년02월_남_총인구수,"140,306","1,357","2,441","9,198","16,035","6,177","1,500",879,"1,646",806,444,"1,601","2,830","1,419","1,904","2,376","11,933","3,268","22,465","3,926","4,647","1,414","1,289","1,648","9,285","20,092","9,726"
2020년02월_남_연령구간인구수,"140,306","1,357","2,441","9,198","16,035","6,177","1,500",879,"1,646",806,444,"1,601","2,830","1,419","1,904","2,376","11,933","3,268","22,465","3,926","4,647","1,414","1,289","1,648","9,285","20,092","9,726"
2020년02월_남_0~9세,"12,443",37,65,858,"3,072",447,30,19,39,13,17,47,70,41,82,77,901,194,"1,801",225,216,63,36,58,"1,169","1,900",966
2020년02월_남_10~19세,"16,344",67,127,"1,481","2,474",553,57,30,95,21,20,82,147,104,161,213,"1,392",311,"3,051",333,395,98,59,116,902,"2,640","1,415"
2020년02월_남_20~29세,"20,063",113,254,"1,678","1,567",713,97,64,116,54,35,133,277,148,215,456,"2,051",431,"3,666",524,683,195,149,234,"1,181","3,331","1,698"
2020년02월_남_30~39세,"17,108",64,193,"1,091","3,248",622,99,66,110,55,19,84,175,89,186,224,"1,365",346,"2,683",443,442,132,132,160,"1,375","2,493","1,212"
2020년02월_남_40~49세,"21,741",165,339,"1,569","3,239",964,156,91,175,92,39,155,358,171,235,294,"1,743",483,"3,393",534,658,166,185,253,"1,463","3,274","1,547"
2020년02월_남_50~59세,"24,887",328,546,"1,695","1,678","1,208",298,184,340,183,96,325,561,301,307,394,"2,091",619,"4,224",630,876,236,270,296,"1,526","3,789","1,886"
2020년02월_남_60~69세,"16,028",271,429,565,580,926,325,218,323,177,104,355,579,284,374,338,"1,491",487,"2,469",646,729,241,248,268,993,"1,852",756
2020년02월_남_70~79세,"8,226",192,314,180,136,524,284,135,288,133,79,287,419,184,256,271,676,288,887,421,491,189,142,191,486,588,185
2020년02월_남_80~89세,"3,162",106,162,77,39,200,137,63,150,70,30,123,223,88,78,103,204,100,260,159,151,84,61,60,176,202,56
2020년02월_남_90~99세,297,14,12,4,2,20,17,9,10,5,4,10,20,9,10,6,18,9,30,11,6,10,7,12,14,23,5
2020년02월_남_100세 이상,7,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"141,041","1,396","2,285","9,337","15,612","6,098","1,496",979,"1,612",760,489,"1,690","2,791","1,398","1,948","2,345","12,335","3,230","22,704","3,907","4,521","1,513","1,242","1,560","9,166","20,598","10,029"
2020년02월_여_연령구간인구수,"141,041","1,396","2,285","9,337","15,612","6,098","1,496",979,"1,612",760,489,"1,690","2,791","1,398","1,948","2,345","12,335","3,230","22,704","3,907","4,521","1,513","1,242","1,560","9,166","20,598","10,029"
2020년02월_여_0~9세,"11,687",24,75,802,"2,877",417,28,18,34,5,11,41,75,25,79,73,861,177,"1,822",182,184,65,30,50,"1,006","1,786",940
2020년02월_여_10~19세,"14,888",69,109,"1,271","2,219",507,49,48,61,19,22,75,142,70,120,163,"1,354",301,"2,730",279,356,96,60,95,825,"2,477","1,371"
