카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년10월_계_총인구수,"20,404","1,159",999,"5,019","1,196",224,"1,899","6,526",950,374,"2,058"
2021년10월_계_연령구간인구수,"20,404","1,159",999,"5,019","1,196",224,"1,899","6,526",950,374,"2,058"
2021년10월_계_0~9세,891,35,24,312,49,3,39,294,24,10,101
2021년10월_계_10~19세,"1,107",46,26,289,66,5,96,413,30,17,119
2021년10월_계_20~29세,"2,587",81,51,975,175,47,137,554,82,23,462
2021년10월_계_30~39세,"1,824",73,59,593,115,9,83,615,37,22,218
2021년10월_계_40~49세,"2,332",109,113,620,113,18,150,832,89,30,258
2021년10월_계_50~59세,"3,493",196,204,679,198,24,349,"1,255",196,72,320
2021년10월_계_60~69세,"4,371",355,279,809,244,47,494,"1,477",232,94,340
2021년10월_계_70~79세,"2,367",165,161,420,151,53,335,720,158,63,141
2021년10월_계_80~89세,"1,153",80,61,254,73,14,174,304,85,31,77
2021년10월_계_90~99세,267,14,19,66,12,4,42,60,16,12,22
2021년10월_계_100세 이상,12,5,2,2,0,0,0,2,1,0,0
2021년10월_남_총인구수,"11,643",610,533,"2,948",690,141,"1,035","3,656",514,196,"1,320"
2021년10월_남_연령구간인구수,"11,643",610,533,"2,948",690,141,"1,035","3,656",514,196,"1,320"
2021년10월_남_0~9세,452,16,14,162,25,0,18,149,14,6,48
2021년10월_남_10~19세,606,20,14,137,35,4,60,239,16,8,73
2021년10월_남_20~29세,"1,895",46,32,757,133,44,83,370,45,12,373
2021년10월_남_30~39세,"1,137",42,40,353,75,6,49,388,23,15,146
2021년10월_남_40~49세,"1,467",60,66,409,71,16,93,488,61,15,188
2021년10월_남_50~59세,"2,047",114,117,396,115,14,216,705,122,45,203
2021년10월_남_60~69세,"2,369",190,146,427,136,28,279,813,119,50,181
2021년10월_남_70~79세,"1,172",90,81,201,59,24,159,368,80,35,75
2021년10월_남_80~89세,440,28,22,88,36,5,71,123,31,8,28
2021년10월_남_90~99세,55,3,0,18,5,0,7,12,3,2,5
2021년10월_남_100세 이상,3,1,1,0,0,0,0,1,0,0,0
2021년10월_여_총인구수,"8,761",549,466,"2,071",506,83,864,"2,870",436,178,738
2021년10월_여_연령구간인구수,"8,761",549,466,"2,071",506,83,864,"2,870",436,178,738
2021년10월_여_0~9세,439,19,10,150,24,3,21,145,10,4,53
2021년10월_여_10~19세,501,26,12,152,31,1,36,174,14,9,46
2021년10월_여_20~29세,692,35,19,218,42,3,54,184,37,11,89
2021년10월_여_30~39세,687,31,19,240,40,3,34,227,14,7,72
2021년10월_여_40~49세,865,49,47,211,42,2,57,344,28,15,70
2021년10월_여_50~59세,"1,446",82,87,283,83,10,133,550,74,27,117
2021년10월_여_60~69세,"2,002",165,133,382,108,19,215,664,113,44,159
2021년10월_여_70~79세,"1,195",75,80,219,92,29,176,352,78,28,66
2021년10월_여_80~89세,713,52,39,166,37,9,103,181,54,23,49
2021년10월_여_90~99세,212,11,19,48,7,4,35,48,13,10,17
2021년10월_여_100세 이상,9,4,1,2,0,0,0,1,1,0,0
