카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년06월_계_총인구수,"655,115","353,174","24,800","23,907","32,852","32,917","41,185","37,580","26,530","19,889","21,794","38,366","26,569","17,770","9,015","301,941","38,695","21,713","25,223","44,139","6,144","18,284","22,652","47,126","17,934","16,156","34,890","8,985"
2021년06월_계_연령구간인구수,"655,115","353,174","24,800","23,907","32,852","32,917","41,185","37,580","26,530","19,889","21,794","38,366","26,569","17,770","9,015","301,941","38,695","21,713","25,223","44,139","6,144","18,284","22,652","47,126","17,934","16,156","34,890","8,985"
2021년06월_계_0~9세,"43,181","22,883","1,644","1,031","1,728","2,434","4,438","2,507","1,494",916,"1,406","2,149","1,640","1,049",447,"20,298","2,530","1,124","1,553","3,402",277,"1,273","1,568","3,750","1,306",868,"2,334",313
2021년06월_계_10~19세,"62,759","33,918","2,406","1,563","2,759","3,499","5,226","3,921","2,706","1,668","2,081","3,593","2,489","1,255",752,"28,841","3,812","1,831","2,104","5,150",304,"1,746","2,466","4,646","1,421","1,499","3,496",366
2021년06월_계_20~29세,"106,798","58,808","3,757","4,362","6,038","5,347","7,163","5,930","4,355","3,505","3,401","7,106","4,591","2,157","1,096","47,990","6,022","4,150","5,257","7,451",457,"2,710","3,101","7,371","2,693","2,409","5,645",724
2021년06월_계_30~39세,"85,228","44,152","3,010","3,716","4,565","4,196","5,744","4,455","2,937","2,414","2,385","4,422","3,266","2,110",932,"41,076","4,973","3,118","3,926","5,533",628,"2,457","2,864","7,285","2,991","1,812","4,826",663
2021년06월_계_40~49세,"106,061","56,857","4,401","3,885","5,401","5,415","7,131","6,712","4,233","2,995","3,511","5,784","3,486","2,598","1,305","49,204","6,990","3,176","3,664","7,117",954,"2,772","4,012","8,063","2,723","2,739","6,019",975
2021년06월_계_50~59세,"127,652","69,141","4,677","4,490","6,353","6,350","6,798","7,345","5,478","4,189","4,704","8,125","5,589","3,202","1,841","58,511","7,578","4,093","4,469","8,890","1,586","3,651","4,332","8,259","3,315","3,584","6,794","1,960"
2021년06월_계_60~69세,"76,184","40,575","2,731","2,826","3,107","3,608","3,394","3,921","3,079","2,420","2,579","4,566","3,658","3,085","1,601","35,609","4,149","2,559","2,924","4,567","1,062","2,464","2,769","4,755","2,247","2,035","3,801","2,277"
2021년06월_계_70~79세,"29,973","16,895","1,437","1,337","1,551","1,298",857,"1,797","1,416","1,110","1,072","1,614","1,125","1,597",684,"13,078","1,699","1,079",849,"1,245",585,864,990,"1,886",788,786,"1,238","1,069"
