,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년08월_계_총인구수,"189,641","60,317","5,342","7,365","3,337","5,903","15,391","5,264","6,466","7,708","7,066","3,917","1,943","12,438","24,648","22,536"
2021년08월_계_연령구간인구수,"189,641","60,317","5,342","7,365","3,337","5,903","15,391","5,264","6,466","7,708","7,066","3,917","1,943","12,438","24,648","22,536"
2021년08월_계_0~9세,"13,424","5,685",167,364,79,201,"1,304",133,384,276,212,72,44,701,"2,048","1,754"
2021년08월_계_10~19세,"18,391","7,580",284,618,144,274,"1,083",269,390,543,552,495,81,"1,012","2,583","2,483"
2021년08월_계_20~29세,"23,182","7,103",486,738,290,544,"2,060",452,788,680,713,486,200,"1,603","3,757","3,282"
2021년08월_계_30~39세,"22,876","8,298",412,619,232,543,"2,520",383,955,607,523,273,132,"1,341","3,336","2,702"
2021년08월_계_40~49세,"30,161","12,092",532,987,334,721,"2,610",550,920,817,756,338,175,"1,706","4,087","3,536"
2021년08월_계_50~59세,"31,625","9,147","1,002","1,324",660,"1,097","2,342","1,013","1,196","1,334","1,396",649,367,"2,201","3,951","3,946"
2021년08월_계_60~69세,"27,258","5,841","1,236","1,470",777,"1,298","2,028","1,253","1,053","1,790","1,516",803,501,"2,053","2,897","2,742"
2021년08월_계_70~79세,"13,788","2,973",688,708,454,696,919,647,487,983,813,467,236,"1,099","1,292","1,326"
2021년08월_계_80~89세,"7,805","1,414",460,463,325,463,459,461,255,582,522,305,175,619,620,682
2021년08월_계_90~99세,"1,093",178,71,72,41,63,65,99,38,91,60,28,30,100,77,80
2021년08월_계_100세 이상,38,6,4,2,1,3,1,4,0,5,3,1,2,3,0,3
2021년08월_남_총인구수,"97,911","30,468","2,820","3,675","1,766","3,224","8,635","2,745","3,652","4,054","3,767","2,015","1,009","6,252","12,517","11,312"
2021년08월_남_연령구간인구수,"97,911","30,468","2,820","3,675","1,766","3,224","8,635","2,745","3,652","4,054","3,767","2,015","1,009","6,252","12,517","11,312"
2021년08월_남_0~9세,"6,924","2,895",86,197,43,104,708,69,219,142,105,33,23,347,"1,063",890
2021년08월_남_10~19세,"9,546","3,896",171,306,79,148,562,129,221,305,298,233,44,515,"1,339","1,300"
2021년08월_남_20~29세,"12,850","3,821",290,415,181,339,"1,190",262,484,384,404,252,114,870,"2,023","1,821"
2021년08월_남_30~39세,"12,546","4,352",242,322,135,337,"1,505",225,589,369,327,180,78,720,"1,761","1,404"
2021년08월_남_40~49세,"16,129","6,168",316,518,201,452,"1,586",320,566,485,443,205,106,903,"2,124","1,736"
2021년08월_남_50~59세,"16,767","4,744",547,695,375,606,"1,364",570,650,730,808,349,196,"1,138","2,011","1,984"
2021년08월_남_60~69세,"13,796","2,778",678,738,408,719,"1,065",678,581,915,802,420,257,999,"1,418","1,340"
2021년08월_남_70~79세,"6,331","1,309",314,302,214,340,461,310,241,488,370,226,115,500,559,582
2021년08월_남_80~89세,"2,794",471,164,167,120,165,184,164,87,218,196,113,72,238,200,235
2021년08월_남_90~99세,222,33,12,14,10,13,10,18,14,17,13,4,4,21,19,20
2021년08월_남_100세 이상,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021년08월_여_총인구수,"91,730","29,849","2,522","3,690","1,571","2,679","6,756","2,519","2,814","3,654","3,299","1,902",934,"6,186","12,131","11,224"
2021년08월_여_연령구간인구수,"91,730","29,849","2,522","3,690","1,571","2,679","6,756","2,519","2,814","3,654","3,299","1,902",934,"6,186","12,131","11,224"
2021년08월_여_0~9세,"6,500","2,790",81,167,36,97,596,64,165,134,107,39,21,354,985,864
2021년08월_여_10~19세,"8,845","3,684",113,312,65,126,521,140,169,238,254,262,37,497,"1,244","1,183"
2021년08월_여_20~29세,"10,332","3,282",196,323,109,205,870,190,304,296,309,234,86,733,"1,734","1,461"
2021년08월_여_30~39세,"10,330","3,946",170,297,97,206,"1,015",158,366,238,196,93,54,621,"1,575","1,298"
2021년08월_여_40~49세,"14,032","5,924",216,469,133,269,"1,024",230,354,332,313,133,69,803,"1,963","1,800"
2021년08월_여_50~59세,"14,858","4,403",455,629,285,491,978,443,546,604,588,300,171,"1,063","1,940","1,962"
2021년08월_여_60~69세,"13,462","3,063",558,732,369,579,963,575,472,875,714,383,244,"1,054","1,479","1,402"
2021년08월_여_70~79세,"7,457","1,664",374,406,240,356,458,337,246,495,443,241,121,599,733,744
2021년08월_여_80~89세,"5,011",943,296,296,205,298,275,297,168,364,326,192,103,381,420,447
2021년08월_여_90~99세,871,145,59,58,31,50,55,81,24,74,47,24,26,79,58,60
2021년08월_여_100세 이상,32,5,4,1,1,2,1,4,0,4,2,1,2,2,0,3
