,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년03월_계_총인구수,"37,341","35,411","1,930"
2020년03월_계_연령구간인구수,"37,341","35,411","1,930"
2020년03월_계_0~9세,"3,513","3,476",37
2020년03월_계_10~19세,"3,469","3,375",94
2020년03월_계_20~29세,"4,577","4,440",137
2020년03월_계_30~39세,"4,902","4,817",85
2020년03월_계_40~49세,"5,730","5,510",220
2020년03월_계_50~59세,"6,134","5,776",358
2020년03월_계_60~69세,"4,728","4,268",460
2020년03월_계_70~79세,"2,667","2,365",302
2020년03월_계_80~89세,"1,447","1,238",209
2020년03월_계_90~99세,163,137,26
2020년03월_계_100세 이상,11,9,2
2020년03월_남_총인구수,"19,345","18,324","1,021"
2020년03월_남_연령구간인구수,"19,345","18,324","1,021"
2020년03월_남_0~9세,"1,799","1,775",24
2020년03월_남_10~19세,"1,795","1,747",48
2020년03월_남_20~29세,"2,647","2,568",79
2020년03월_남_30~39세,"2,699","2,647",52
2020년03월_남_40~49세,"3,098","2,956",142
2020년03월_남_50~59세,"3,218","3,014",204
2020년03월_남_60~69세,"2,386","2,133",253
2020년03월_남_70~79세,"1,180","1,041",139
2020년03월_남_80~89세,478,408,70
2020년03월_남_90~99세,42,32,10
2020년03월_남_100세 이상,3,3,0
2020년03월_여_총인구수,"17,996","17,087",909
2020년03월_여_연령구간인구수,"17,996","17,087",909
2020년03월_여_0~9세,"1,714","1,701",13
2020년03월_여_10~19세,"1,674","1,628",46
2020년03월_여_20~29세,"1,930","1,872",58
2020년03월_여_30~39세,"2,203","2,170",33
2020년03월_여_40~49세,"2,632","2,554",78
2020년03월_여_50~59세,"2,916","2,762",154
2020년03월_여_60~69세,"2,342","2,135",207
2020년03월_여_70~79세,"1,487","1,324",163
2020년03월_여_80~89세,969,830,139
2020년03월_여_90~99세,121,105,16
2020년03월_여_100세 이상,8,6,2
