카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년12월_계_총인구수,"170,700","8,634","10,149","16,963","9,811","9,650","10,037","6,383","7,848","11,087","7,980","8,158","10,134","18,310","1,829","5,257","20,568","7,902"
2020년12월_계_연령구간인구수,"170,700","8,634","10,149","16,963","9,811","9,650","10,037","6,383","7,848","11,087","7,980","8,158","10,134","18,310","1,829","5,257","20,568","7,902"
2020년12월_계_0~9세,"7,564",326,319,718,306,293,387,196,220,403,305,615,361,"1,323",75,155,"1,294",268
2020년12월_계_10~19세,"10,862",492,537,"1,241",632,480,605,343,501,589,472,591,604,"1,230",108,330,"1,689",418
2020년12월_계_20~29세,"21,673","1,331","1,291","2,435","1,164","1,044","1,300",662,"1,023","1,336","1,037",922,"1,297","2,316",225,632,"2,676",982
2020년12월_계_30~39세,"17,443",944,953,"1,968",851,792,971,612,696,"1,050",746,969,989,"2,305",183,481,"2,206",727
2020년12월_계_40~49세,"22,825","1,073","1,298","2,265","1,344","1,135","1,289",777,"1,014","1,452","1,036","1,224","1,325","2,613",241,657,"3,015","1,067"
2020년12월_계_50~59세,"34,321","1,682","1,993","3,138","2,112","1,932","2,031","1,301","1,681","2,442","1,648","1,472","2,220","3,528",375,"1,160","4,000","1,606"
2020년12월_계_60~69세,"31,085","1,553","1,951","2,921","1,810","1,930","1,917","1,285","1,504","2,116","1,486","1,368","1,885","2,955",352,"1,100","3,472","1,480"
2020년12월_계_70~79세,"17,173",839,"1,239","1,569","1,106","1,371","1,045",833,823,"1,224",828,706,"1,017","1,418",198,505,"1,537",915
2020년12월_계_80~89세,"6,896",353,516,625,430,592,440,342,348,437,377,264,392,534,61,215,570,400
2020년12월_계_90~99세,755,32,45,81,48,61,41,31,31,34,39,26,41,84,5,22,95,39
2020년12월_계_100세 이상,103,9,7,2,8,20,11,1,7,4,6,1,3,4,6,0,14,0
2020년12월_남_총인구수,"85,572","4,277","4,952","8,197","5,001","4,794","4,945","3,254","3,873","5,885","4,055","3,981","5,122","9,092",966,"2,786","10,379","4,013"
2020년12월_남_연령구간인구수,"85,572","4,277","4,952","8,197","5,001","4,794","4,945","3,254","3,873","5,885","4,055","3,981","5,122","9,092",966,"2,786","10,379","4,013"
2020년12월_남_0~9세,"3,912",181,157,360,153,162,191,102,116,219,154,321,193,671,42,78,691,121
2020년12월_남_10~19세,"5,656",268,285,639,337,262,316,175,264,296,263,285,335,623,61,165,881,201
2020년12월_남_20~29세,"11,929",706,680,"1,300",664,576,705,365,567,790,591,491,691,"1,273",134,369,"1,471",556
2020년12월_남_30~39세,"9,906",526,566,"1,109",504,461,579,376,399,590,443,507,583,"1,231",102,303,"1,211",416
2020년12월_남_40~49세,"12,259",564,728,"1,111",756,650,698,431,516,868,581,629,728,"1,352",138,386,"1,519",604
2020년12월_남_50~59세,"17,269",795,992,"1,421","1,096","1,027",972,715,853,"1,370",854,715,"1,114","1,714",191,614,"1,985",841
2020년12월_남_60~69세,"14,561",704,872,"1,309",868,904,870,597,674,"1,045",698,628,906,"1,376",171,572,"1,662",705
2020년12월_남_70~79세,"7,534",398,497,707,465,545,455,362,352,551,334,307,438,659,94,223,738,409
2020년12월_남_80~89세,"2,383",125,164,219,150,196,151,121,125,151,128,93,127,181,31,70,198,153
2020년12월_남_90~99세,138,8,9,22,5,11,5,10,5,4,6,4,7,12,1,6,16,7
2020년12월_남_100세 이상,25,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,7,0
2020년12월_여_총인구수,"85,128","4,357","5,197","8,766","4,810","4,856","5,092","3,129","3,975","5,202","3,925","4,177","5,012","9,218",863,"2,471","10,189","3,889"
2020년12월_여_연령구간인구수,"85,128","4,357","5,197","8,766","4,810","4,856","5,092","3,129","3,975","5,202","3,925","4,177","5,012","9,218",863,"2,471","10,189","3,889"
2020년12월_여_0~9세,"3,652",145,162,358,153,131,196,94,104,184,151,294,168,652,33,77,603,147
2020년12월_여_10~19세,"5,206",224,252,602,295,218,289,168,237,293,209,306,269,607,47,165,808,217
2020년12월_여_20~29세,"9,744",625,611,"1,135",500,468,595,297,456,546,446,431,606,"1,043",91,263,"1,205",426
2020년12월_여_30~39세,"7,537",418,387,859,347,331,392,236,297,460,303,462,406,"1,074",81,178,995,311
2020년12월_여_40~49세,"10,566",509,570,"1,154",588,485,591,346,498,584,455,595,597,"1,261",103,271,"1,496",463
2020년12월_여_50~59세,"17,052",887,"1,001","1,717","1,016",905,"1,059",586,828,"1,072",794,757,"1,106","1,814",184,546,"2,015",765
2020년12월_여_60~69세,"16,524",849,"1,079","1,612",942,"1,026","1,047",688,830,"1,071",788,740,979,"1,579",181,528,"1,810",775
2020년12월_여_70~79세,"9,639",441,742,862,641,826,590,471,471,673,494,399,579,759,104,282,799,506
2020년12월_여_80~89세,"4,513",228,352,406,280,396,289,221,223,286,249,171,265,353,30,145,372,247
2020년12월_여_90~99세,617,24,36,59,43,50,36,21,26,30,33,22,34,72,4,16,79,32
2020년12월_여_100세 이상,78,7,5,2,5,20,8,1,5,3,3,0,3,4,5,0,7,0
