카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년08월_계_총인구수,"266,026","3,137","4,792","3,394","2,631","2,517","4,888","2,966","2,855","2,180","3,334","2,960","2,304","5,200","7,050","5,549","4,440","12,773","22,465","7,427","8,043","2,831","55,463","12,487","23,505","32,197","17,012","11,626"
2021년08월_계_연령구간인구수,"266,026","3,137","4,792","3,394","2,631","2,517","4,888","2,966","2,855","2,180","3,334","2,960","2,304","5,200","7,050","5,549","4,440","12,773","22,465","7,427","8,043","2,831","55,463","12,487","23,505","32,197","17,012","11,626"
2021년08월_계_0~9세,"19,946",79,575,177,57,74,129,77,85,40,96,108,109,164,328,144,266,"1,077","2,558",379,506,166,"6,466",621,"1,572","2,414","1,054",625
2021년08월_계_10~19세,"26,304",116,391,339,104,106,228,139,132,92,158,147,151,376,576,325,196,"1,102","2,085",488,684,235,"7,701","1,103","2,821","4,091","1,606",812
2021년08월_계_20~29세,"29,420",238,377,235,217,147,320,261,248,130,303,266,160,421,786,584,410,"1,318","2,581",679,"1,080",289,"6,616","1,499","2,892","4,269","1,895","1,199"
2021년08월_계_30~39세,"29,533",179,709,213,150,149,331,182,174,115,255,195,176,396,546,373,617,"1,686","3,710",714,956,251,"7,323","1,220","2,071","3,432","2,034","1,376"
2021년08월_계_40~49세,"42,783",300,749,444,237,235,499,277,248,212,462,339,251,656,909,575,612,"1,921","3,652","1,067","1,088",330,"10,982","1,779","3,746","5,938","3,233","2,042"
2021년08월_계_50~59세,"43,984",577,686,559,441,409,766,542,541,355,715,453,338,863,"1,075",915,649,"2,020","3,129","1,215","1,443",470,"8,241","2,344","4,196","5,645","3,196","2,201"
2021년08월_계_60~69세,"38,731",707,638,600,655,609,"1,159",705,657,525,734,608,490,"1,109","1,353","1,143",796,"1,879","2,654","1,437","1,359",526,"4,798","2,246","3,442","3,676","2,390","1,836"
2021년08월_계_70~79세,"23,266",542,397,457,440,414,865,496,475,408,411,534,446,810,"1,009",976,626,"1,249","1,495","1,033",650,351,"2,288","1,173","1,766","1,830","1,123","1,002"
2021년08월_계_80~89세,"10,370",331,226,318,264,299,499,244,247,260,176,264,162,362,419,448,226,465,515,367,232,182,905,430,869,795,393,472
