카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년10월_계_총인구수,"63,833","9,746","3,233","1,697","5,085","1,295",715,"1,814",672,662,"7,510","14,463","8,950","7,991"
2021년10월_계_연령구간인구수,"63,833","9,746","3,233","1,697","5,085","1,295",715,"1,814",672,662,"7,510","14,463","8,950","7,991"
2021년10월_계_0~9세,"3,582",301,76,42,104,22,7,35,9,11,252,"1,612",612,499
2021년10월_계_10~19세,"5,092",859,129,62,189,36,10,63,23,12,481,"1,689",797,742
2021년10월_계_20~29세,"6,915","1,762",233,120,320,61,32,77,28,25,694,"1,821",985,757
2021년10월_계_30~39세,"5,293",480,198,84,269,68,21,76,17,32,560,"1,924",876,688
2021년10월_계_40~49세,"8,485","1,002",344,176,459,118,56,184,67,65,923,"2,501","1,429","1,161"
2021년10월_계_50~59세,"10,961","1,557",613,335,949,272,134,330,123,129,"1,365","2,285","1,557","1,312"
2021년10월_계_60~69세,"11,785","1,903",742,393,"1,268",398,205,472,184,177,"1,643","1,556","1,376","1,468"
2021년10월_계_70~79세,"7,012","1,202",499,295,799,179,133,314,128,112,"1,023",680,832,816
2021년10월_계_80~89세,"4,076",609,342,165,609,126,92,227,80,89,503,334,418,482
2021년10월_계_90~99세,609,68,50,25,114,15,25,36,13,9,63,59,67,65
2021년10월_계_100세 이상,23,3,7,0,5,0,0,0,0,1,3,2,1,1
2021년10월_남_총인구수,"32,272","4,848","1,702",850,"2,623",702,392,946,343,359,"3,699","7,340","4,535","3,933"
2021년10월_남_연령구간인구수,"32,272","4,848","1,702",850,"2,623",702,392,946,343,359,"3,699","7,340","4,535","3,933"
2021년10월_남_0~9세,"1,823",147,39,20,56,15,3,18,8,5,135,827,300,250
2021년10월_남_10~19세,"2,618",401,65,34,106,19,5,43,11,6,249,866,433,380
2021년10월_남_20~29세,"3,860",926,161,69,205,29,21,51,16,14,392,"1,005",550,421
2021년10월_남_30~39세,"2,863",259,130,53,169,46,13,40,8,20,326,984,452,363
2021년10월_남_40~49세,"4,634",567,219,108,295,89,42,130,42,49,501,"1,237",763,592
2021년10월_남_50~59세,"5,956",849,370,185,575,144,87,192,75,79,670,"1,191",867,672
2021년10월_남_60~69세,"5,938",980,401,203,649,219,121,259,90,98,775,781,660,702
2021년10월_남_70~79세,"3,105",521,204,117,357,85,60,142,60,52,460,305,365,377
2021년10월_남_80~89세,"1,349",182,102,54,194,53,33,66,30,35,176,128,132,164
2021년10월_남_90~99세,124,16,9,7,17,3,7,5,3,1,15,16,13,12
2021년10월_남_100세 이상,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"31,561","4,898","1,531",847,"2,462",593,323,868,329,303,"3,811","7,123","4,415","4,058"
2021년10월_여_연령구간인구수,"31,561","4,898","1,531",847,"2,462",593,323,868,329,303,"3,811","7,123","4,415","4,058"
2021년10월_여_0~9세,"1,759",154,37,22,48,7,4,17,1,6,117,785,312,249
2021년10월_여_10~19세,"2,474",458,64,28,83,17,5,20,12,6,232,823,364,362
2021년10월_여_20~29세,"3,055",836,72,51,115,32,11,26,12,11,302,816,435,336
2021년10월_여_30~39세,"2,430",221,68,31,100,22,8,36,9,12,234,940,424,325
2021년10월_여_40~49세,"3,851",435,125,68,164,29,14,54,25,16,422,"1,264",666,569
2021년10월_여_50~59세,"5,005",708,243,150,374,128,47,138,48,50,695,"1,094",690,640
2021년10월_여_60~69세,"5,847",923,341,190,619,179,84,213,94,79,868,775,716,766
2021년10월_여_70~79세,"3,907",681,295,178,442,94,73,172,68,60,563,375,467,439
2021년10월_여_80~89세,"2,727",427,240,111,415,73,59,161,50,54,327,206,286,318
2021년10월_여_90~99세,485,52,41,18,97,12,18,31,10,8,48,43,54,53
2021년10월_여_100세 이상,21,3,5,0,5,0,0,0,0,1,3,2,1,1
