,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년08월_계_총인구수,"53,365","21,842","4,761","6,979","1,822","1,798","1,382","2,368","2,423","4,094","5,304",407,185
2020년08월_계_연령구간인구수,"53,365","21,842","4,761","6,979","1,822","1,798","1,382","2,368","2,423","4,094","5,304",407,185
2020년08월_계_0~9세,"3,820","2,103",196,642,89,89,62,91,92,160,273,12,11
2020년08월_계_10~19세,"4,249","2,363",253,559,132,76,62,198,73,154,364,13,2
2020년08월_계_20~29세,"5,023","2,404",362,847,150,133,90,162,126,251,464,27,7
2020년08월_계_30~39세,"4,920","2,333",275,935,139,118,125,124,139,276,425,19,12
2020년08월_계_40~49세,"6,660","3,375",467,887,181,153,103,253,192,382,568,74,25
2020년08월_계_50~59세,"8,649","3,434",815,"1,152",286,291,242,387,347,669,908,83,35
2020년08월_계_60~69세,"8,385","2,833",851,867,322,336,289,408,462,913,947,106,51
2020년08월_계_70~79세,"7,142","1,930",924,710,296,320,244,429,538,835,838,44,34
2020년08월_계_80~89세,"3,936",914,544,337,187,245,148,272,407,402,451,22,7
2020년08월_계_90~99세,547,139,68,39,38,37,17,41,46,52,62,7,1
2020년08월_계_100세 이상,34,14,6,4,2,0,0,3,1,0,4,0,0
2020년08월_남_총인구수,"26,601","10,709","2,391","3,643",975,874,685,"1,197","1,164","2,007","2,597",251,108
2020년08월_남_연령구간인구수,"26,601","10,709","2,391","3,643",975,874,685,"1,197","1,164","2,007","2,597",251,108
2020년08월_남_0~9세,"1,949","1,071",93,346,50,51,22,41,51,68,144,6,6
2020년08월_남_10~19세,"2,214","1,219",135,273,97,36,27,110,45,78,185,7,2
2020년08월_남_20~29세,"2,801","1,278",228,492,88,61,48,95,70,153,267,18,3
2020년08월_남_30~39세,"2,533","1,119",162,507,76,59,64,74,76,154,224,12,6
2020년08월_남_40~49세,"3,790","1,722",305,509,123,99,70,165,120,261,339,57,20
2020년08월_남_50~59세,"4,737","1,747",485,655,166,163,137,250,205,371,476,58,24
2020년08월_남_60~69세,"4,213","1,355",424,454,186,180,157,202,230,447,489,63,26
2020년08월_남_70~79세,"3,047",876,375,300,128,136,108,168,213,360,339,24,20
2020년08월_남_80~89세,"1,213",293,167,102,52,81,48,85,147,105,126,6,1
2020년08월_남_90~99세,101,29,14,5,9,8,4,7,7,10,8,0,0
2020년08월_남_100세 이상,3,0,3,0,0,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"26,764","11,133","2,370","3,336",847,924,697,"1,171","1,259","2,087","2,707",156,77
2020년08월_여_연령구간인구수,"26,764","11,133","2,370","3,336",847,924,697,"1,171","1,259","2,087","2,707",156,77
2020년08월_여_0~9세,"1,871","1,032",103,296,39,38,40,50,41,92,129,6,5
2020년08월_여_10~19세,"2,035","1,144",118,286,35,40,35,88,28,76,179,6,0
2020년08월_여_20~29세,"2,222","1,126",134,355,62,72,42,67,56,98,197,9,4
2020년08월_여_30~39세,"2,387","1,214",113,428,63,59,61,50,63,122,201,7,6
2020년08월_여_40~49세,"2,870","1,653",162,378,58,54,33,88,72,121,229,17,5
2020년08월_여_50~59세,"3,912","1,687",330,497,120,128,105,137,142,298,432,25,11
2020년08월_여_60~69세,"4,172","1,478",427,413,136,156,132,206,232,466,458,43,25
2020년08월_여_70~79세,"4,095","1,054",549,410,168,184,136,261,325,475,499,20,14
2020년08월_여_80~89세,"2,723",621,377,235,135,164,100,187,260,297,325,16,6
2020년08월_여_90~99세,446,110,54,34,29,29,13,34,39,42,54,7,1
2020년08월_여_100세 이상,31,14,3,4,2,0,0,3,1,0,4,0,0
