,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년02월_계_총인구수,"132,506","6,754","1,927","1,271","2,021","2,206",708,"3,249","4,595","18,830","9,976","5,876","4,879","10,299","17,859","11,164","15,592","15,300"
2021년02월_계_연령구간인구수,"132,506","6,754","1,927","1,271","2,021","2,206",708,"3,249","4,595","18,830","9,976","5,876","4,879","10,299","17,859","11,164","15,592","15,300"
2021년02월_계_0~9세,"8,615",268,40,26,38,70,22,88,93,"1,560",819,252,186,771,"1,335",739,674,"1,634"
2021년02월_계_10~19세,"11,542",348,88,48,67,201,32,126,199,"2,367","1,112",414,300,901,"1,751","1,166","1,106","1,316"
2021년02월_계_20~29세,"14,544",474,120,66,85,75,32,162,349,"2,290","1,234",650,555,"1,049","2,560","1,365","1,896","1,582"
2021년02월_계_30~39세,"12,839",427,98,63,74,78,37,129,222,"1,959","1,028",481,392,"1,138","2,146","1,016","1,398","2,153"
2021년02월_계_40~49세,"18,310",693,136,83,125,186,66,238,411,"3,299","1,621",734,552,"1,467","2,709","1,726","1,907","2,357"
2021년02월_계_50~59세,"23,888","1,270",383,260,393,376,142,598,882,"3,424","1,802","1,024",897,"1,774","3,158","2,161","2,918","2,426"
2021년02월_계_60~69세,"23,040","1,694",537,352,596,569,191,967,"1,232","2,317","1,357","1,224","1,087","1,636","2,395","1,587","3,249","2,050"
2021년02월_계_70~79세,"12,502",946,284,221,381,398,98,544,714,"1,090",614,747,635,"1,016","1,116",905,"1,643","1,150"
2021년02월_계_80~89세,"6,320",553,206,138,236,214,70,342,425,471,328,304,250,477,613,434,696,563
2021년02월_계_90~99세,827,79,30,12,21,39,16,51,63,48,58,40,23,52,75,58,99,63
2021년02월_계_100세 이상,79,2,5,2,5,0,2,4,5,5,3,6,2,18,1,7,6,6
2021년02월_남_총인구수,"66,498","3,455","1,033",655,"1,048","1,122",359,"1,667","2,414","9,263","4,934","2,902","2,434","5,177","8,895","5,593","7,819","7,728"
2021년02월_남_연령구간인구수,"66,498","3,455","1,033",655,"1,048","1,122",359,"1,667","2,414","9,263","4,934","2,902","2,434","5,177","8,895","5,593","7,819","7,728"
2021년02월_남_0~9세,"4,413",150,26,17,20,40,11,48,45,783,435,121,98,422,665,372,336,824
2021년02월_남_10~19세,"5,975",181,54,23,35,107,16,73,114,"1,204",565,213,155,465,902,614,598,656
2021년02월_남_20~29세,"8,109",261,75,38,63,46,23,102,222,"1,232",668,335,319,589,"1,406",764,"1,087",879
2021년02월_남_30~39세,"6,738",235,57,39,48,41,20,73,148,977,499,283,214,578,"1,140",527,775,"1,084"
2021년02월_남_40~49세,"9,421",391,81,53,80,116,38,138,251,"1,575",797,380,297,785,"1,329",847,991,"1,272"
2021년02월_남_50~59세,"12,194",673,218,133,199,197,82,319,466,"1,717",904,508,457,897,"1,587","1,149","1,411","1,277"
2021년02월_남_60~69세,"11,467",895,296,190,318,298,94,502,652,"1,141",672,570,498,793,"1,221",787,"1,561",979
2021년02월_남_70~79세,"5,669",450,140,106,191,195,42,265,336,457,261,354,297,449,446,372,786,522
2021년02월_남_80~89세,"2,304",206,75,54,84,75,27,133,163,168,116,126,93,179,183,148,255,219
2021년02월_남_90~99세,182,13,9,1,7,7,5,13,15,9,16,9,6,13,16,11,18,14
2021년02월_남_100세 이상,26,0,2,1,3,0,1,1,2,0,1,3,0,7,0,2,1,2
2021년02월_여_총인구수,"66,008","3,299",894,616,973,"1,084",349,"1,582","2,181","9,567","5,042","2,974","2,445","5,122","8,964","5,571","7,773","7,572"
2021년02월_여_연령구간인구수,"66,008","3,299",894,616,973,"1,084",349,"1,582","2,181","9,567","5,042","2,974","2,445","5,122","8,964","5,571","7,773","7,572"
2021년02월_여_0~9세,"4,202",118,14,9,18,30,11,40,48,777,384,131,88,349,670,367,338,810
2021년02월_여_10~19세,"5,567",167,34,25,32,94,16,53,85,"1,163",547,201,145,436,849,552,508,660
2021년02월_여_20~29세,"6,435",213,45,28,22,29,9,60,127,"1,058",566,315,236,460,"1,154",601,809,703
2021년02월_여_30~39세,"6,101",192,41,24,26,37,17,56,74,982,529,198,178,560,"1,006",489,623,"1,069"
2021년02월_여_40~49세,"8,889",302,55,30,45,70,28,100,160,"1,724",824,354,255,682,"1,380",879,916,"1,085"
2021년02월_여_50~59세,"11,694",597,165,127,194,179,60,279,416,"1,707",898,516,440,877,"1,571","1,012","1,507","1,149"
2021년02월_여_60~69세,"11,573",799,241,162,278,271,97,465,580,"1,176",685,654,589,843,"1,174",800,"1,688","1,071"
2021년02월_여_70~79세,"6,833",496,144,115,190,203,56,279,378,633,353,393,338,567,670,533,857,628
2021년02월_여_80~89세,"4,016",347,131,84,152,139,43,209,262,303,212,178,157,298,430,286,441,344
2021년02월_여_90~99세,645,66,21,11,14,32,11,38,48,39,42,31,17,39,59,47,81,49
2021년02월_여_100세 이상,53,2,3,1,2,0,1,3,3,5,2,3,2,11,1,5,5,4
