,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년08월_계_총인구수,"373,620","24,906","39,094","21,907","21,814","14,304","12,175","23,297","24,940","24,981","18,430","20,991","19,060","15,726","19,563","40,750","31,682"
2020년08월_계_연령구간인구수,"373,620","24,906","39,094","21,907","21,814","14,304","12,175","23,297","24,940","24,981","18,430","20,991","19,060","15,726","19,563","40,750","31,682"
2020년08월_계_0~9세,"25,586","2,685","2,331","1,534","2,299",676,931,"1,718","1,937",862,"1,212","1,131","1,231",664,"1,042","2,643","2,690"
2020년08월_계_10~19세,"28,812","1,603","2,436","1,644","2,007",926,"1,134","1,942","1,772","1,260",992,"1,335","1,640",837,"1,505","3,553","4,226"
2020년08월_계_20~29세,"61,939","3,054","6,674","3,040","2,273","3,331","1,822","3,551","4,665","6,009","3,600","3,525","2,854","3,224","3,180","6,812","4,325"
2020년08월_계_30~39세,"65,008","5,116","6,603","3,656","3,753","2,341","1,926","3,828","4,214","5,295","3,780","3,990","2,985","3,145","3,458","6,843","4,075"
2020년08월_계_40~49세,"61,604","4,043","5,775","3,256","4,408","2,100","2,174","3,937","4,098","3,733","2,673","3,291","3,301","2,376","3,412","6,722","6,305"
2020년08월_계_50~59세,"54,235","3,743","6,612","3,534","2,954","2,028","1,762","3,558","3,677","3,094","2,391","2,977","2,815","2,040","2,834","5,765","4,451"
2020년08월_계_60~69세,"39,064","2,639","4,471","2,651","2,118","1,451","1,155","2,433","2,390","2,272","1,919","2,402","2,160","1,704","2,167","4,173","2,959"
2020년08월_계_70~79세,"24,484","1,218","2,714","1,572","1,282",914,829,"1,541","1,414","1,562","1,235","1,623","1,453","1,113","1,361","2,908","1,745"
2020년08월_계_80~89세,"10,924",647,"1,267",848,627,430,382,661,663,738,529,625,535,520,530,"1,138",784
2020년08월_계_90~99세,"1,634",106,171,145,83,83,48,110,94,129,82,85,69,85,60,179,105
2020년08월_계_100세 이상,330,52,40,27,10,24,12,18,16,27,17,7,17,18,14,14,17
2020년08월_남_총인구수,"176,174","11,657","18,489","10,499","10,309","6,928","5,878","11,320","11,878","11,408","8,571","9,874","9,006","7,379","9,208","18,620","15,150"
2020년08월_남_연령구간인구수,"176,174","11,657","18,489","10,499","10,309","6,928","5,878","11,320","11,878","11,408","8,571","9,874","9,006","7,379","9,208","18,620","15,150"
2020년08월_남_0~9세,"12,966","1,280","1,213",818,"1,100",359,470,890,994,433,642,574,634,312,515,"1,318","1,414"
2020년08월_남_10~19세,"14,561",760,"1,214",871,988,477,555,"1,052",895,615,467,655,796,452,758,"1,869","2,137"
2020년08월_남_20~29세,"28,060","1,346","2,937","1,471","1,069","1,517",897,"1,803","2,217","2,556","1,609","1,640","1,329","1,472","1,494","2,745","1,958"
2020년08월_남_30~39세,"30,741","2,379","3,236","1,758","1,734","1,184",928,"1,841","1,974","2,421","1,805","1,895","1,408","1,518","1,664","3,140","1,856"
2020년08월_남_40~49세,"30,005","2,031","2,852","1,570","2,140","1,056","1,113","1,827","1,983","1,822","1,296","1,615","1,624","1,189","1,612","3,237","3,038"
2020년08월_남_50~59세,"26,657","1,801","3,252","1,697","1,460","1,073",883,"1,797","1,767","1,509","1,129","1,471","1,396",956,"1,357","2,810","2,299"
2020년08월_남_60~69세,"18,080","1,261","2,158","1,254","1,018",688,538,"1,168","1,148","1,006",861,"1,073",944,777,977,"1,877","1,332"
2020년08월_남_70~79세,"10,351",500,"1,132",705,539,376,322,630,606,682,540,699,633,465,584,"1,164",774
2020년08월_남_80~89세,"4,208",254,442,311,236,172,155,268,266,319,194,226,214,197,224,418,312
2020년08월_남_90~99세,465,31,44,38,22,22,15,39,27,35,25,26,23,35,18,37,28
2020년08월_남_100세 이상,80,14,9,6,3,4,2,5,1,10,3,0,5,6,5,5,2
2020년08월_여_총인구수,"197,446","13,249","20,605","11,408","11,505","7,376","6,297","11,977","13,062","13,573","9,859","11,117","10,054","8,347","10,355","22,130","16,532"
