카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년11월_계_총인구수,"294,272","17,112","27,148","22,848","11,934","14,114","24,120","15,788","15,774","23,474","14,744","26,710","16,612","13,512","16,644","11,180","10,745","11,813"
2020년11월_계_연령구간인구수,"294,272","17,112","27,148","22,848","11,934","14,114","24,120","15,788","15,774","23,474","14,744","26,710","16,612","13,512","16,644","11,180","10,745","11,813"
2020년11월_계_0~9세,"20,585","1,228","2,392","1,204",427,"1,003","1,829","1,200","1,333","1,754","1,394","2,610","1,044",778,840,572,544,433
2020년11월_계_10~19세,"19,970","1,214","1,587","1,641",808,"1,011","2,132","1,683","1,056","1,497",970,"1,666","1,129",920,900,541,601,614
2020년11월_계_20~29세,"45,145","2,498","4,414","4,403","4,589","2,229","3,034","1,764","1,831","2,962","1,512","3,014","2,563","2,158","2,359","2,036","1,710","2,069"
2020년11월_계_30~39세,"49,138","2,956","4,781","3,266","1,617","2,298","3,738","2,258","2,787","4,184","2,808","5,114","2,918","2,494","2,626","1,969","1,655","1,669"
2020년11월_계_40~49세,"45,229","2,659","4,045","3,045","1,147","2,180","4,105","2,944","2,572","3,762","2,577","4,523","2,425","2,114","2,345","1,469","1,563","1,754"
2020년11월_계_50~59세,"47,347","2,758","4,428","3,720","1,291","2,281","3,922","2,478","2,388","3,709","2,142","3,944","3,047","2,062","3,159","1,841","1,970","2,207"
2020년11월_계_60~69세,"36,393","2,080","3,039","3,013",952,"1,671","2,782","1,685","2,095","2,985","1,785","3,181","2,101","1,684","2,612","1,522","1,604","1,602"
2020년11월_계_70~79세,"20,587","1,196","1,626","1,740",752,976,"1,736","1,186","1,133","1,758","1,056","1,753",950,898,"1,240",821,749,"1,017"
