카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년01월_계_총인구수,"32,785","8,669","3,420","1,912","3,993","1,955","3,168","2,908","2,972","3,788"
2020년01월_계_연령구간인구수,"32,785","8,669","3,420","1,912","3,993","1,955","3,168","2,908","2,972","3,788"
2020년01월_계_0~9세,"1,498",567,144,79,149,52,113,114,114,166
2020년01월_계_10~19세,"2,186",805,191,67,223,102,246,148,146,258
2020년01월_계_20~29세,"2,703",863,206,148,302,139,269,219,279,278
2020년01월_계_30~39세,"2,254",751,185,122,248,107,193,181,213,254
2020년01월_계_40~49세,"3,685","1,189",368,188,410,180,315,275,334,426
2020년01월_계_50~59세,"5,735","1,432",599,318,715,375,575,524,540,657
2020년01월_계_60~69세,"5,686","1,225",633,401,736,351,525,612,551,652
2020년01월_계_70~79세,"5,294","1,081",675,336,686,364,545,461,469,677
2020년01월_계_80~89세,"3,273",664,375,215,454,254,337,330,278,366
2020년01월_계_90~99세,445,86,43,37,67,30,49,42,41,50
2020년01월_계_100세 이상,26,6,1,1,3,1,1,2,7,4
2020년01월_남_총인구수,"16,371","4,256","1,689",948,"1,988",939,"1,624","1,430","1,499","1,998"
2020년01월_남_연령구간인구수,"16,371","4,256","1,689",948,"1,988",939,"1,624","1,430","1,499","1,998"
2020년01월_남_0~9세,780,289,58,43,86,20,68,58,57,101
2020년01월_남_10~19세,"1,162",440,95,32,106,59,134,70,78,148
2020년01월_남_20~29세,"1,560",455,129,77,185,90,170,122,158,174
2020년01월_남_30~39세,"1,232",384,99,72,147,60,106,106,113,145
2020년01월_남_40~49세,"2,187",649,236,116,253,105,182,167,190,289
2020년01월_남_50~59세,"3,298",786,347,180,402,207,356,302,315,403
2020년01월_남_60~69세,"2,890",585,327,204,383,183,256,331,281,340
2020년01월_남_70~79세,"2,185",445,271,150,278,138,240,181,202,280
2020년01월_남_80~89세,972,200,115,64,134,70,102,90,91,106
2020년01월_남_90~99세,102,21,12,10,14,7,10,3,14,11
2020년01월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년01월_여_총인구수,"16,414","4,413","1,731",964,"2,005","1,016","1,544","1,478","1,473","1,790"
2020년01월_여_연령구간인구수,"16,414","4,413","1,731",964,"2,005","1,016","1,544","1,478","1,473","1,790"
2020년01월_여_0~9세,718,278,86,36,63,32,45,56,57,65
2020년01월_여_10~19세,"1,024",365,96,35,117,43,112,78,68,110
2020년01월_여_20~29세,"1,143",408,77,71,117,49,99,97,121,104
2020년01월_여_30~39세,"1,022",367,86,50,101,47,87,75,100,109
2020년01월_여_40~49세,"1,498",540,132,72,157,75,133,108,144,137
2020년01월_여_50~59세,"2,437",646,252,138,313,168,219,222,225,254
2020년01월_여_60~69세,"2,796",640,306,197,353,168,269,281,270,312
2020년01월_여_70~79세,"3,109",636,404,186,408,226,305,280,267,397
2020년01월_여_80~89세,"2,301",464,260,151,320,184,235,240,187,260
2020년01월_여_90~99세,343,65,31,27,53,23,39,39,27,39
2020년01월_여_100세 이상,23,4,1,1,3,1,1,2,7,3
