,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 영귀미면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년11월_계_총인구수,"68,482","34,272","4,559","2,442","2,392","3,730","4,069","6,178","3,763","3,931","3,146"
2021년11월_계_연령구간인구수,"68,482","34,272","4,559","2,442","2,392","3,730","4,069","6,178","3,763","3,931","3,146"
2021년11월_계_0~9세,"3,574","2,445",112,45,42,126,113,369,91,119,112
2021년11월_계_10~19세,"4,981","3,429",155,103,82,179,177,413,116,188,139
2021년11월_계_20~29세,"6,512","3,999",356,138,113,274,216,749,225,263,179
2021년11월_계_30~39세,"5,756","3,691",276,95,93,193,225,580,203,233,167
2021년11월_계_40~49세,"7,978","5,146",366,155,166,291,343,532,349,363,267
2021년11월_계_50~59세,"12,178","5,907",735,421,462,747,756,941,721,782,706
2021년11월_계_60~69세,"15,050","5,428","1,342",771,776,"1,060","1,186","1,378","1,132","1,065",912
2021년11월_계_70~79세,"7,132","2,499",682,390,359,478,625,661,536,511,391
2021년11월_계_80~89세,"4,628","1,497",455,271,267,335,377,484,333,368,241
2021년11월_계_90~99세,660,214,78,51,30,44,48,71,55,38,31
2021년11월_계_100세 이상,33,17,2,2,2,3,3,0,2,1,1
2021년11월_남_총인구수,"35,246","17,305","2,420","1,219","1,250","1,917","2,117","3,301","1,973","2,066","1,678"
2021년11월_남_연령구간인구수,"35,246","17,305","2,420","1,219","1,250","1,917","2,117","3,301","1,973","2,066","1,678"
2021년11월_남_0~9세,"1,831","1,245",62,27,27,71,53,184,45,53,64
2021년11월_남_10~19세,"2,511","1,757",83,51,43,90,106,160,57,96,68
2021년11월_남_20~29세,"3,941","2,297",245,81,72,170,129,546,137,153,111
2021년11월_남_30~39세,"3,127","1,954",156,51,51,99,130,330,135,134,87
2021년11월_남_40~49세,"4,277","2,595",242,91,110,159,205,309,204,215,147
2021년11월_남_50~59세,"6,460","3,062",411,222,241,400,410,509,371,436,398
2021년11월_남_60~69세,"7,858","2,727",697,406,415,554,620,746,622,578,493
2021년11월_남_70~79세,"3,399","1,081",352,178,183,245,314,325,253,264,204
2021년11월_남_80~89세,"1,683",538,151,101,97,117,137,179,133,132,98
2021년11월_남_90~99세,156,48,21,11,11,12,12,13,16,5,7
2021년11월_남_100세 이상,3,1,0,0,0,0,1,0,0,0,1
2021년11월_여_총인구수,"33,236","16,967","2,139","1,223","1,142","1,813","1,952","2,877","1,790","1,865","1,468"
2021년11월_여_연령구간인구수,"33,236","16,967","2,139","1,223","1,142","1,813","1,952","2,877","1,790","1,865","1,468"
2021년11월_여_0~9세,"1,743","1,200",50,18,15,55,60,185,46,66,48
2021년11월_여_10~19세,"2,470","1,672",72,52,39,89,71,253,59,92,71
2021년11월_여_20~29세,"2,571","1,702",111,57,41,104,87,203,88,110,68
2021년11월_여_30~39세,"2,629","1,737",120,44,42,94,95,250,68,99,80
2021년11월_여_40~49세,"3,701","2,551",124,64,56,132,138,223,145,148,120
2021년11월_여_50~59세,"5,718","2,845",324,199,221,347,346,432,350,346,308
2021년11월_여_60~69세,"7,192","2,701",645,365,361,506,566,632,510,487,419
2021년11월_여_70~79세,"3,733","1,418",330,212,176,233,311,336,283,247,187
2021년11월_여_80~89세,"2,945",959,304,170,170,218,240,305,200,236,143
2021년11월_여_90~99세,504,166,57,40,19,32,36,58,39,33,24
2021년11월_여_100세 이상,30,16,2,2,2,3,2,0,2,1,0
