카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년07월_계_총인구수,"281,883","2,674","4,532","18,208","33,253","12,805","2,929","1,779","3,159","1,517",863,"3,225","5,506","2,832","3,662","6,853","25,095","6,212","43,975","7,724","8,730","2,779","2,271","2,972","18,436","40,370","19,522"
2021년07월_계_연령구간인구수,"281,883","2,674","4,532","18,208","33,253","12,805","2,929","1,779","3,159","1,517",863,"3,225","5,506","2,832","3,662","6,853","25,095","6,212","43,975","7,724","8,730","2,779","2,271","2,972","18,436","40,370","19,522"
2021년07월_계_0~9세,"22,920",46,124,"1,453","5,912",843,59,32,57,16,13,78,136,55,130,425,"1,877",328,"3,213",344,335,106,49,80,"2,049","3,433","1,727"
2021년07월_계_10~19세,"29,655",110,193,"2,499","5,026","1,086",93,66,116,42,41,146,284,143,271,568,"2,603",528,"5,176",586,659,174,97,200,"1,742","4,693","2,513"
2021년07월_계_20~29세,"37,095",198,385,"3,128","3,223","1,386",154,119,183,69,50,226,411,279,350,"1,150","3,802",736,"6,529",908,"1,082",326,254,364,"2,140","6,360","3,283"
2021년07월_계_30~39세,"33,035",109,274,"2,157","6,624","1,362",121,96,136,67,29,139,269,153,276,858,"2,806",629,"4,869",740,759,239,210,266,"2,509","4,991","2,347"
2021년07월_계_40~49세,"42,792",203,430,"3,280","6,972","1,758",207,125,221,117,51,233,505,258,426,855,"3,650",840,"6,914",984,"1,033",294,267,387,"2,870","6,610","3,302"
2021년07월_계_50~59세,"49,174",508,862,"3,571","3,541","2,298",457,290,524,273,139,513,939,552,550,989,"4,446","1,139","8,561","1,312","1,643",447,429,505,"3,091","7,710","3,885"
2021년07월_계_60~69세,"35,858",594,954,"1,327","1,368","2,046",656,432,720,328,197,781,"1,152",605,765,945,"3,532","1,078","5,633","1,418","1,639",531,489,561,"2,213","4,193","1,701"
2021년07월_계_70~79세,"19,149",444,714,476,397,"1,226",646,339,640,320,166,620,925,441,576,673,"1,552",617,"2,066",969,"1,067",436,314,395,"1,119","1,515",496
2021년07월_계_80~89세,"10,494",398,510,277,162,692,459,240,488,246,143,418,773,291,275,346,706,264,866,402,451,194,132,188,595,744,234
2021년07월_계_90~99세,"1,648",63,86,36,27,106,76,39,74,32,33,69,107,51,41,42,115,50,137,60,61,32,29,26,103,119,34
2021년07월_계_100세 이상,63,1,0,4,1,2,1,1,0,7,1,2,5,4,2,2,6,3,11,1,1,0,1,0,5,2,0
2021년07월_남_총인구수,"140,682","1,327","2,342","8,984","16,927","6,414","1,479",848,"1,596",788,417,"1,563","2,760","1,449","1,790","3,388","12,327","3,143","21,949","3,838","4,415","1,356","1,178","1,508","9,290","19,997","9,609"
2021년07월_남_연령구간인구수,"140,682","1,327","2,342","8,984","16,927","6,414","1,479",848,"1,596",788,417,"1,563","2,760","1,449","1,790","3,388","12,327","3,143","21,949","3,838","4,415","1,356","1,178","1,508","9,290","19,997","9,609"
2021년07월_남_0~9세,"11,714",33,54,731,"3,044",445,27,16,30,11,7,39,73,36,63,199,960,177,"1,594",186,180,53,25,41,"1,071","1,739",880
2021년07월_남_10~19세,"15,460",51,104,"1,317","2,662",587,49,27,66,26,21,80,143,82,144,311,"1,302",282,"2,704",312,350,87,55,107,910,"2,436","1,245"
2021년07월_남_20~29세,"20,191",122,233,"1,684","1,702",711,94,55,117,43,32,115,239,172,192,600,"2,104",400,"3,640",500,615,170,121,210,"1,181","3,358","1,781"
2021년07월_남_30~39세,"16,990",58,173,"1,089","3,228",730,77,54,95,46,16,77,153,94,159,470,"1,409",344,"2,537",392,398,138,127,150,"1,274","2,525","1,177"
2021년07월_남_40~49세,"21,114",121,269,"1,455","3,456",903,147,81,153,79,33,138,324,145,227,427,"1,774",428,"3,289",545,577,152,159,200,"1,473","3,106","1,453"
2021년07월_남_50~59세,"24,790",310,519,"1,771","1,918","1,225",284,158,308,171,89,273,531,296,280,502,"2,065",592,"4,073",628,843,221,247,263,"1,548","3,772","1,903"
2021년07월_남_60~69세,"17,970",321,495,664,711,"1,045",338,243,362,194,102,405,616,326,364,434,"1,713",511,"2,813",667,759,241,231,275,"1,103","2,160",877
2021년07월_남_70~79세,"8,650",187,318,189,163,549,299,140,290,137,79,285,414,188,275,305,726,293,974,421,496,189,145,182,527,667,212
2021년07월_남_80~89세,"3,466",104,164,79,39,201,145,67,159,72,34,138,244,98,77,131,251,106,296,176,187,98,60,71,186,208,75
2021년07월_남_90~99세,331,20,13,5,4,18,19,7,16,6,3,13,22,12,9,9,23,10,28,11,10,7,8,9,17,26,6
2021년07월_남_100세 이상,6,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"141,201","1,347","2,190","9,224","16,326","6,391","1,450",931,"1,563",729,446,"1,662","2,746","1,383","1,872","3,465","12,768","3,069","22,026","3,886","4,315","1,423","1,093","1,464","9,146","20,373","9,913"
2021년07월_여_연령구간인구수,"141,201","1,347","2,190","9,224","16,326","6,391","1,450",931,"1,563",729,446,"1,662","2,746","1,383","1,872","3,465","12,768","3,069","22,026","3,886","4,315","1,423","1,093","1,464","9,146","20,373","9,913"
2021년07월_여_0~9세,"11,206",13,70,722,"2,868",398,32,16,27,5,6,39,63,19,67,226,917,151,"1,619",158,155,53,24,39,978,"1,694",847
2021년07월_여_10~19세,"14,195",59,89,"1,182","2,364",499,44,39,50,16,20,66,141,61,127,257,"1,301",246,"2,472",274,309,87,42,93,832,"2,257","1,268"
2021년07월_여_20~29세,"16,904",76,152,"1,444","1,521",675,60,64,66,26,18,111,172,107,158,550,"1,698",336,"2,889",408,467,156,133,154,959,"3,002","1,502"
2021년07월_여_30~39세,"16,045",51,101,"1,068","3,396",632,44,42,41,21,13,62,116,59,117,388,"1,397",285,"2,332",348,361,101,83,116,"1,235","2,466","1,170"
2021년07월_여_40~49세,"21,678",82,161,"1,825","3,516",855,60,44,68,38,18,95,181,113,199,428,"1,876",412,"3,625",439,456,142,108,187,"1,397","3,504","1,849"
2021년07월_여_50~59세,"24,384",198,343,"1,800","1,623","1,073",173,132,216,102,50,240,408,256,270,487,"2,381",547,"4,488",684,800,226,182,242,"1,543","3,938","1,982"
2021년07월_여_60~69세,"17,888",273,459,663,657,"1,001",318,189,358,134,95,376,536,279,401,511,"1,819",567,"2,820",751,880,290,258,286,"1,110","2,033",824
2021년07월_여_70~79세,"10,499",257,396,287,234,677,347,199,350,183,87,335,511,253,301,368,826,324,"1,092",548,571,247,169,213,592,848,284
2021년07월_여_80~89세,"7,028",294,346,198,123,491,314,173,329,174,109,280,529,193,198,215,455,158,570,226,264,96,72,117,409,536,159
2021년07월_여_90~99세,"1,317",43,73,31,23,88,57,32,58,26,30,56,85,39,32,33,92,40,109,49,51,25,21,17,86,93,28
2021년07월_여_100세 이상,57,1,0,4,1,2,1,1,0,4,0,2,4,4,2,2,6,3,10,1,1,0,1,0,5,2,0
