,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년03월_계_총인구수,"114,516","12,246","2,777","3,047","1,526","2,402","2,584","3,641","2,007","4,785","4,471","3,512","1,961","4,385","7,845","2,829","5,179","9,213","3,490","3,591","33,025"
2020년03월_계_연령구간인구수,"114,516","12,246","2,777","3,047","1,526","2,402","2,584","3,641","2,007","4,785","4,471","3,512","1,961","4,385","7,845","2,829","5,179","9,213","3,490","3,591","33,025"
2020년03월_계_0~9세,"10,251","1,178",60,84,28,92,56,72,34,108,153,92,50,129,682,165,254,843,126,156,"5,889"
2020년03월_계_10~19세,"9,317",789,162,164,55,134,95,166,61,184,228,147,60,223,911,257,390,971,309,220,"3,791"
2020년03월_계_20~29세,"12,254","1,269",234,282,112,160,198,255,135,377,407,335,113,351,"1,181",348,568,"1,344",299,391,"3,895"
2020년03월_계_30~39세,"14,763","1,727",137,188,78,139,136,220,90,287,365,262,108,257,"1,006",282,433,"1,086",250,330,"7,382"
2020년03월_계_40~49세,"16,283","1,752",234,273,132,249,217,326,172,445,469,405,172,410,"1,288",438,647,"1,404",347,457,"6,446"
2020년03월_계_50~59세,"17,365","2,000",518,577,280,387,430,663,372,906,808,702,411,755,"1,264",475,922,"1,480",662,644,"3,109"
2020년03월_계_60~69세,"15,394","1,807",559,596,329,505,555,765,416,"1,056",859,701,428,868,770,393,843,"1,014",625,645,"1,660"
2020년03월_계_70~79세,"11,450","1,100",500,518,280,426,525,652,396,800,744,511,366,838,447,287,741,703,527,473,616
2020년03월_계_80~89세,"6,419",544,313,323,196,277,332,453,287,526,368,308,224,474,261,156,329,313,300,226,209
2020년03월_계_90~99세,957,76,56,40,36,29,40,66,43,91,65,49,28,74,34,27,48,52,41,35,27
2020년03월_계_100세 이상,63,4,4,2,0,4,0,3,1,5,5,0,1,6,1,1,4,3,4,14,1
2020년03월_남_총인구수,"57,667","6,158","1,385","1,578",754,"1,192","1,278","1,832",978,"2,472","2,346","1,829","1,016","2,267","3,902","1,405","2,598","4,635","1,771","1,890","16,381"
2020년03월_남_연령구간인구수,"57,667","6,158","1,385","1,578",754,"1,192","1,278","1,832",978,"2,472","2,346","1,829","1,016","2,267","3,902","1,405","2,598","4,635","1,771","1,890","16,381"
2020년03월_남_0~9세,"5,239",608,28,39,14,47,27,35,15,64,81,42,28,63,350,83,147,435,74,78,"2,981"
2020년03월_남_10~19세,"4,805",408,86,92,31,69,56,102,36,86,123,77,30,129,479,141,226,518,132,103,"1,881"
2020년03월_남_20~29세,"6,465",678,129,154,70,90,117,152,75,213,231,200,65,193,628,197,309,737,169,223,"1,835"
2020년03월_남_30~39세,"7,701",889,78,119,51,77,83,141,55,179,227,156,60,146,529,144,236,559,142,205,"3,625"
2020년03월_남_40~49세,"9,191",990,156,183,86,158,145,212,119,304,302,261,117,272,652,246,347,721,214,287,"3,419"
2020년03월_남_50~59세,"9,441",987,312,360,159,222,246,370,210,524,476,416,250,470,650,240,483,767,395,381,"1,523"
2020년03월_남_60~69세,"7,823",926,292,314,164,270,300,406,219,572,454,357,231,455,367,189,407,477,322,335,766
2020년03월_남_70~79세,"4,907",496,212,226,123,175,197,272,153,348,320,220,164,370,166,113,319,318,218,208,289
2020년03월_남_80~89세,"1,876",155,87,86,49,76,97,131,85,163,118,87,63,150,70,48,112,91,92,59,57
2020년03월_남_90~99세,209,20,5,5,7,8,10,10,11,19,13,13,7,18,11,4,12,12,13,6,5
2020년03월_남_100세 이상,10,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5,0
2020년03월_여_총인구수,"56,849","6,088","1,392","1,469",772,"1,210","1,306","1,809","1,029","2,313","2,125","1,683",945,"2,118","3,943","1,424","2,581","4,578","1,719","1,701","16,644"
2020년03월_여_연령구간인구수,"56,849","6,088","1,392","1,469",772,"1,210","1,306","1,809","1,029","2,313","2,125","1,683",945,"2,118","3,943","1,424","2,581","4,578","1,719","1,701","16,644"
2020년03월_여_0~9세,"5,012",570,32,45,14,45,29,37,19,44,72,50,22,66,332,82,107,408,52,78,"2,908"
2020년03월_여_10~19세,"4,512",381,76,72,24,65,39,64,25,98,105,70,30,94,432,116,164,453,177,117,"1,910"
2020년03월_여_20~29세,"5,789",591,105,128,42,70,81,103,60,164,176,135,48,158,553,151,259,607,130,168,"2,060"
2020년03월_여_30~39세,"7,062",838,59,69,27,62,53,79,35,108,138,106,48,111,477,138,197,527,108,125,"3,757"
2020년03월_여_40~49세,"7,092",762,78,90,46,91,72,114,53,141,167,144,55,138,636,192,300,683,133,170,"3,027"
2020년03월_여_50~59세,"7,924","1,013",206,217,121,165,184,293,162,382,332,286,161,285,614,235,439,713,267,263,"1,586"
2020년03월_여_60~69세,"7,571",881,267,282,165,235,255,359,197,484,405,344,197,413,403,204,436,537,303,310,894
2020년03월_여_70~79세,"6,543",604,288,292,157,251,328,380,243,452,424,291,202,468,281,174,422,385,309,265,327
2020년03월_여_80~89세,"4,543",389,226,237,147,201,235,322,202,363,250,221,161,324,191,108,217,222,208,167,152
2020년03월_여_90~99세,748,56,51,35,29,21,30,56,32,72,52,36,21,56,23,23,36,40,28,29,22
2020년03월_여_100세 이상,53,3,4,2,0,4,0,2,1,5,4,0,0,5,1,1,4,3,4,9,1
