카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년10월_계_총인구수,"103,321","7,235","3,200","2,956","5,401","4,262","4,629","4,577","5,189","2,867","3,172","4,556","8,247","5,396","7,872","19,439","14,323"
2021년10월_계_연령구간인구수,"103,321","7,235","3,200","2,956","5,401","4,262","4,629","4,577","5,189","2,867","3,172","4,556","8,247","5,396","7,872","19,439","14,323"
2021년10월_계_0~9세,"5,394",237,91,63,139,142,177,117,154,56,74,184,461,315,291,"1,313","1,580"
2021년10월_계_10~19세,"7,940",383,120,123,272,193,352,214,283,158,93,312,670,563,539,"1,995","1,670"
2021년10월_계_20~29세,"10,924",437,195,182,303,325,438,262,349,164,148,585,922,728,826,"3,280","1,780"
2021년10월_계_30~39세,"9,019",431,192,174,277,309,341,236,329,139,158,361,826,518,627,"2,260","1,841"
2021년10월_계_40~49세,"12,912",725,250,214,448,463,585,402,506,239,293,559,"1,139",762,985,"2,928","2,414"
2021년10월_계_50~59세,"17,879","1,226",585,456,971,932,912,765,920,497,573,783,"1,384",876,"1,502","3,260","2,237"
2021년10월_계_60~69세,"19,431","1,845",767,710,"1,409","1,068",924,"1,184","1,195",700,892,805,"1,473",888,"1,568","2,481","1,522"
2021년10월_계_70~79세,"11,391","1,122",531,528,881,515,502,720,794,470,550,580,842,464,946,"1,211",735
2021년10월_계_80~89세,"7,272",734,403,428,603,265,338,576,569,389,331,331,464,244,520,622,455
2021년10월_계_90~99세,"1,116",91,63,75,97,49,58,99,85,52,55,56,61,36,67,87,85
2021년10월_계_100세 이상,43,4,3,3,1,1,2,2,5,3,5,0,5,2,1,2,4
2021년10월_남_총인구수,"51,613","3,632","1,633","1,532","2,768","2,232","2,401","2,379","2,682","1,434","1,419","2,282","4,044","2,713","3,952","9,458","7,052"
2021년10월_남_연령구간인구수,"51,613","3,632","1,633","1,532","2,768","2,232","2,401","2,379","2,682","1,434","1,419","2,282","4,044","2,713","3,952","9,458","7,052"
2021년10월_남_0~9세,"2,802",136,40,33,75,87,87,68,80,28,35,98,250,165,154,674,792
2021년10월_남_10~19세,"4,102",187,80,61,145,113,171,122,144,78,52,172,325,283,277,"1,012",880
2021년10월_남_20~29세,"5,960",265,116,117,175,190,269,161,208,86,90,325,503,368,483,"1,654",950
2021년10월_남_30~39세,"4,848",264,105,105,157,177,191,134,194,86,81,196,449,290,352,"1,182",885
2021년10월_남_40~49세,"6,815",427,157,136,268,242,325,255,313,144,129,306,600,387,543,"1,411","1,172"
2021년10월_남_50~59세,"9,216",608,326,261,576,502,496,409,525,274,245,401,693,455,762,"1,575","1,108"
2021년10월_남_60~69세,"9,731",935,413,383,706,548,485,644,617,367,400,393,689,455,771,"1,154",771
2021년10월_남_70~79세,"5,258",520,251,253,440,250,249,348,385,210,244,253,361,228,395,540,331
2021년10월_남_80~89세,"2,581",264,124,164,200,109,115,211,187,149,127,124,161,78,192,234,142
2021년10월_남_90~99세,291,25,21,19,25,14,13,27,29,11,16,14,12,3,23,20,19
2021년10월_남_100세 이상,9,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,2
2021년10월_여_총인구수,"51,708","3,603","1,567","1,424","2,633","2,030","2,228","2,198","2,507","1,433","1,753","2,274","4,203","2,683","3,920","9,981","7,271"
2021년10월_여_연령구간인구수,"51,708","3,603","1,567","1,424","2,633","2,030","2,228","2,198","2,507","1,433","1,753","2,274","4,203","2,683","3,920","9,981","7,271"
2021년10월_여_0~9세,"2,592",101,51,30,64,55,90,49,74,28,39,86,211,150,137,639,788
2021년10월_여_10~19세,"3,838",196,40,62,127,80,181,92,139,80,41,140,345,280,262,983,790
2021년10월_여_20~29세,"4,964",172,79,65,128,135,169,101,141,78,58,260,419,360,343,"1,626",830
2021년10월_여_30~39세,"4,171",167,87,69,120,132,150,102,135,53,77,165,377,228,275,"1,078",956
2021년10월_여_40~49세,"6,097",298,93,78,180,221,260,147,193,95,164,253,539,375,442,"1,517","1,242"
2021년10월_여_50~59세,"8,663",618,259,195,395,430,416,356,395,223,328,382,691,421,740,"1,685","1,129"
2021년10월_여_60~69세,"9,700",910,354,327,703,520,439,540,578,333,492,412,784,433,797,"1,327",751
2021년10월_여_70~79세,"6,133",602,280,275,441,265,253,372,409,260,306,327,481,236,551,671,404
2021년10월_여_80~89세,"4,691",470,279,264,403,156,223,365,382,240,204,207,303,166,328,388,313
2021년10월_여_90~99세,825,66,42,56,72,35,45,72,56,41,39,42,49,33,44,67,66
2021년10월_여_100세 이상,34,3,3,3,0,1,2,2,5,2,5,0,4,1,1,0,2
