카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년06월_계_총인구수,"657,514","258,996","24,165","4,164","4,343","4,360","3,283","2,318","6,145","2,156","5,588","3,700","8,907","9,530","17,785","24,646","45,176","56,030","36,700","398,518","24,839","22,183","19,432","8,706","16,319","25,717","14,234","38,374","19,250","41,008","69,756","42,523","56,177"
2020년06월_계_연령구간인구수,"657,514","258,996","24,165","4,164","4,343","4,360","3,283","2,318","6,145","2,156","5,588","3,700","8,907","9,530","17,785","24,646","45,176","56,030","36,700","398,518","24,839","22,183","19,432","8,706","16,319","25,717","14,234","38,374","19,250","41,008","69,756","42,523","56,177"
2020년06월_계_0~9세,"63,586","21,160","1,810",150,124,153,88,61,267,32,180,95,438,307,"1,092","2,315","4,983","6,220","2,845","42,426","1,345","1,996","1,413",320,802,"1,013",928,"3,604","1,531","5,921","10,640","3,632","9,281"
2020년06월_계_10~19세,"69,219","26,700","2,843",243,201,249,181,93,355,82,309,177,719,722,"1,443","3,301","5,934","7,040","2,808","42,519","2,384","2,445","1,914",595,"1,098","1,451","1,272","5,112","2,425","5,663","9,245","3,992","4,923"
2020년06월_계_20~29세,"95,959","35,475","2,752",390,379,382,258,197,772,138,558,506,"1,119","1,172","2,793","3,001","6,231","7,253","7,574","60,484","2,851","2,573","2,390",938,"2,456","6,502","2,517","5,999","2,738","5,191","8,833","9,290","8,206"
2020년06월_계_30~39세,"106,884","34,057","2,559",328,302,337,204,178,582,102,505,412,914,948,"2,419","2,741","7,090","8,743","5,693","72,827","2,290","3,097","2,702",733,"2,273","5,605","1,954","5,310","2,459","7,234","15,132","8,252","15,786"
2020년06월_계_40~49세,"111,950","43,316","4,590",469,461,531,345,240,752,181,706,483,"1,277","1,395","2,915","4,636","9,050","10,213","5,072","68,634","3,935","4,202","3,535","1,154","2,490","3,798","1,964","6,887","3,285","7,771","13,817","6,921","8,875"
2020년06월_계_50~59세,"102,586","44,075","4,350",802,904,907,650,451,"1,206",461,"1,110",711,"1,779","1,942","3,304","4,210","6,763","8,383","6,142","58,511","4,314","3,696","3,464","1,821","3,212","3,569","2,625","6,672","3,534","5,584","8,307","6,069","5,644"
2020년06월_계_60~69세,"60,665","29,844","2,733",885,956,887,736,490,"1,104",490,"1,153",709,"1,422","1,503","2,299","2,517","3,110","4,866","3,984","30,821","3,835","2,321","2,174","1,569","2,251","2,352","1,859","2,994","1,849","2,314","2,462","2,581","2,260"
2020년06월_계_70~79세,"29,644","15,309","1,510",516,569,514,486,326,623,367,710,399,808,989,"1,038","1,283","1,265","2,166","1,740","14,335","2,470","1,186","1,141",953,"1,193",961,736,"1,148",873,877,861,"1,156",780
2020년06월_계_80~89세,"14,727","7,831",898,330,381,345,292,255,406,254,307,181,371,490,409,558,654,970,730,"6,896","1,229",578,622,528,479,393,317,579,476,389,383,556,367
2020년06월_계_90~99세,"2,125","1,144",120,51,64,54,40,25,70,45,39,25,51,57,63,78,93,166,103,981,156,87,73,80,57,67,61,64,78,62,73,69,54
