,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년07월_계_총인구수,"116,636","12,090","2,586","2,865","1,419","2,289","2,454","3,560","1,944","4,603","4,225","3,350","1,863","4,172","7,689","2,660","4,836","8,711","3,247","3,391","38,682"
2021년07월_계_연령구간인구수,"116,636","12,090","2,586","2,865","1,419","2,289","2,454","3,560","1,944","4,603","4,225","3,350","1,863","4,172","7,689","2,660","4,836","8,711","3,247","3,391","38,682"
2021년07월_계_0~9세,"10,047","1,082",41,54,18,75,46,64,32,92,109,77,28,95,599,138,217,684,107,107,"6,382"
2021년07월_계_10~19세,"9,654",796,138,127,48,126,77,156,53,163,207,131,59,187,808,203,350,904,241,202,"4,678"
2021년07월_계_20~29세,"12,340","1,164",188,246,90,141,163,236,116,327,361,283,103,289,"1,239",308,489,"1,261",254,386,"4,696"
2021년07월_계_30~39세,"14,555","1,605",117,154,67,111,112,186,94,265,295,230,91,214,917,264,373,880,216,286,"8,078"
2021년07월_계_40~49세,"16,671","1,675",210,248,119,221,188,303,150,361,431,344,137,346,"1,194",361,567,"1,352",310,413,"7,741"
2021년07월_계_50~59세,"17,304","1,958",459,508,248,350,371,590,325,876,731,658,372,724,"1,313",468,821,"1,443",581,595,"3,913"
2021년07월_계_60~69세,"16,704","1,987",578,636,316,515,574,843,446,"1,103",882,737,453,933,834,432,873,"1,085",652,669,"2,156"
2021년07월_계_70~79세,"11,437","1,138",481,470,276,420,515,650,370,761,746,512,346,806,479,290,726,705,526,457,763
2021년07월_계_80~89세,"6,859",597,322,372,203,293,357,465,311,548,397,334,236,506,273,165,360,341,306,235,238
2021년07월_계_90~99세,"1,034",87,50,48,34,33,51,64,45,105,64,44,36,68,31,31,59,55,54,39,36
2021년07월_계_100세 이상,31,1,2,2,0,4,0,3,2,2,2,0,2,4,2,0,1,1,0,2,1
2021년07월_남_총인구수,"58,823","6,081","1,298","1,501",699,"1,154","1,225","1,796",946,"2,376","2,217","1,756",967,"2,162","3,826","1,320","2,440","4,377","1,629","1,806","19,247"
2021년07월_남_연령구간인구수,"58,823","6,081","1,298","1,501",699,"1,154","1,225","1,796",946,"2,376","2,217","1,756",967,"2,162","3,826","1,320","2,440","4,377","1,629","1,806","19,247"
2021년07월_남_0~9세,"5,165",553,17,29,9,36,19,29,13,57,59,35,17,52,306,64,118,364,62,51,"3,275"
2021년07월_남_10~19세,"4,965",408,72,73,24,69,46,94,28,84,116,67,27,105,400,109,218,477,107,103,"2,338"
2021년07월_남_20~29세,"6,522",633,108,146,56,85,106,143,68,186,205,163,58,170,673,178,277,695,136,222,"2,214"
2021년07월_남_30~39세,"7,614",820,67,104,51,65,67,125,53,159,187,138,56,125,507,137,196,447,118,168,"4,024"
2021년07월_남_40~49세,"9,225",951,151,168,78,137,132,197,101,246,265,229,87,236,601,199,302,696,200,254,"3,995"
2021년07월_남_50~59세,"9,505","1,002",272,309,137,211,214,332,198,518,447,400,229,446,686,251,437,745,336,380,"1,955"
2021년07월_남_60~69세,"8,493",999,308,345,160,278,315,446,236,598,463,387,259,496,390,202,427,508,338,346,992
2021년07월_남_70~79세,"5,033",515,205,214,131,180,210,280,150,338,325,228,149,359,174,127,315,319,229,211,374
2021년07월_남_80~89세,"2,086",183,94,107,45,90,103,137,91,167,135,98,73,159,82,50,137,112,87,66,70
2021년07월_남_90~99세,209,17,4,6,8,3,13,12,8,23,14,11,11,12,7,3,13,14,16,5,9
2021년07월_남_100세 이상,6,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1
2021년07월_여_총인구수,"57,813","6,009","1,288","1,364",720,"1,135","1,229","1,764",998,"2,227","2,008","1,594",896,"2,010","3,863","1,340","2,396","4,334","1,618","1,585","19,435"
2021년07월_여_연령구간인구수,"57,813","6,009","1,288","1,364",720,"1,135","1,229","1,764",998,"2,227","2,008","1,594",896,"2,010","3,863","1,340","2,396","4,334","1,618","1,585","19,435"
2021년07월_여_0~9세,"4,882",529,24,25,9,39,27,35,19,35,50,42,11,43,293,74,99,320,45,56,"3,107"
2021년07월_여_10~19세,"4,689",388,66,54,24,57,31,62,25,79,91,64,32,82,408,94,132,427,134,99,"2,340"
2021년07월_여_20~29세,"5,818",531,80,100,34,56,57,93,48,141,156,120,45,119,566,130,212,566,118,164,"2,482"
2021년07월_여_30~39세,"6,941",785,50,50,16,46,45,61,41,106,108,92,35,89,410,127,177,433,98,118,"4,054"
2021년07월_여_40~49세,"7,446",724,59,80,41,84,56,106,49,115,166,115,50,110,593,162,265,656,110,159,"3,746"
2021년07월_여_50~59세,"7,799",956,187,199,111,139,157,258,127,358,284,258,143,278,627,217,384,698,245,215,"1,958"
2021년07월_여_60~69세,"8,211",988,270,291,156,237,259,397,210,505,419,350,194,437,444,230,446,577,314,323,"1,164"
2021년07월_여_70~79세,"6,404",623,276,256,145,240,305,370,220,423,421,284,197,447,305,163,411,386,297,246,389
2021년07월_여_80~89세,"4,773",414,228,265,158,203,254,328,220,381,262,236,163,347,191,115,223,229,219,169,168
2021년07월_여_90~99세,825,70,46,42,26,30,38,52,37,82,50,33,25,56,24,28,46,41,38,34,27
2021년07월_여_100세 이상,25,1,2,2,0,4,0,2,2,2,1,0,1,2,2,0,1,1,0,2,0
