,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년04월_계_총인구수,"104,418","10,706","2,428","1,446","1,992","2,234","3,105","2,824","2,049","1,935","3,167","8,124","6,231","4,180","3,640","6,736","8,377","8,170","19,068","8,006"
2020년04월_계_연령구간인구수,"104,418","10,706","2,428","1,446","1,992","2,234","3,105","2,824","2,049","1,935","3,167","8,124","6,231","4,180","3,640","6,736","8,377","8,170","19,068","8,006"
2020년04월_계_0~9세,"6,438",491,56,26,63,60,80,80,40,37,56,533,360,170,185,507,462,486,"2,182",564
2020년04월_계_10~19세,"9,176",736,104,59,94,120,135,139,88,74,135,"1,017",625,305,268,885,643,755,"2,136",858
2020년04월_계_20~29세,"9,924",948,222,77,162,152,233,184,143,118,144,810,612,330,318,710,977,995,"1,980",809
2020년04월_계_30~39세,"8,883",748,121,54,103,125,169,134,89,84,143,618,468,320,279,575,718,683,"2,643",809
2020년04월_계_40~49세,"14,189","1,282",194,104,189,203,256,281,146,160,223,"1,345",890,502,436,"1,165","1,081","1,094","3,370","1,268"
2020년04월_계_50~59세,"18,328","1,923",495,258,330,380,542,532,397,359,628,"1,382","1,120",730,656,"1,197","1,634","1,627","2,744","1,394"
2020년04월_계_60~69세,"17,833","2,221",534,336,438,488,710,707,530,452,812,"1,136","1,022",859,716,838,"1,425","1,323","2,106","1,180"
2020년04월_계_70~79세,"11,919","1,442",363,288,321,393,536,457,348,342,598,807,719,598,519,560,942,788,"1,221",677
2020년04월_계_80~89세,"6,707",773,301,210,243,260,387,261,223,270,374,396,371,323,234,267,440,364,612,398
2020년04월_계_90~99세,964,131,36,33,46,50,56,42,44,38,50,77,41,39,29,30,51,53,72,46
2020년04월_계_100세 이상,57,11,2,1,3,3,1,7,1,1,4,3,3,4,0,2,4,2,2,3
2020년04월_남_총인구수,"51,767","5,259","1,251",729,"1,008","1,138","1,570","1,439","1,019",962,"1,577","4,041","2,981","2,029","1,742","3,377","4,113","4,085","9,573","3,874"
2020년04월_남_연령구간인구수,"51,767","5,259","1,251",729,"1,008","1,138","1,570","1,439","1,019",962,"1,577","4,041","2,981","2,029","1,742","3,377","4,113","4,085","9,573","3,874"
2020년04월_남_0~9세,"3,328",259,30,16,33,31,46,41,24,20,31,274,180,98,106,257,211,246,"1,129",296
2020년04월_남_10~19세,"4,807",376,48,30,52,64,70,71,46,43,75,543,316,141,142,475,358,410,"1,106",441
2020년04월_남_20~29세,"5,808",589,144,49,99,97,149,114,93,76,76,481,348,197,176,441,544,587,"1,106",442
2020년04월_남_30~39세,"4,753",387,75,31,62,82,107,73,54,58,86,324,255,184,141,288,385,367,"1,364",430
2020년04월_남_40~49세,"7,349",690,107,72,117,118,161,180,80,95,141,648,434,258,222,564,553,532,"1,750",627
2020년04월_남_50~59세,"9,303",935,283,147,176,204,279,280,207,190,339,720,572,390,321,615,779,813,"1,395",658
2020년04월_남_60~69세,"8,559","1,096",274,165,233,258,366,356,268,240,405,546,458,392,315,372,644,622,987,562
2020년04월_남_70~79세,"5,298",630,175,139,151,176,251,225,156,144,282,350,281,247,229,263,447,360,507,285
2020년04월_남_80~89세,"2,342",265,105,71,77,96,135,86,81,86,134,146,128,110,85,92,177,132,211,125
2020년04월_남_90~99세,206,28,9,9,8,12,6,11,9,9,7,9,8,11,5,10,14,16,17,8
2020년04월_남_100세 이상,14,4,1,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020년04월_여_총인구수,"52,651","5,447","1,177",717,984,"1,096","1,535","1,385","1,030",973,"1,590","4,083","3,250","2,151","1,898","3,359","4,264","4,085","9,495","4,132"
2020년04월_여_연령구간인구수,"52,651","5,447","1,177",717,984,"1,096","1,535","1,385","1,030",973,"1,590","4,083","3,250","2,151","1,898","3,359","4,264","4,085","9,495","4,132"
2020년04월_여_0~9세,"3,110",232,26,10,30,29,34,39,16,17,25,259,180,72,79,250,251,240,"1,053",268
2020년04월_여_10~19세,"4,369",360,56,29,42,56,65,68,42,31,60,474,309,164,126,410,285,345,"1,030",417
2020년04월_여_20~29세,"4,116",359,78,28,63,55,84,70,50,42,68,329,264,133,142,269,433,408,874,367
2020년04월_여_30~39세,"4,130",361,46,23,41,43,62,61,35,26,57,294,213,136,138,287,333,316,"1,279",379
2020년04월_여_40~49세,"6,840",592,87,32,72,85,95,101,66,65,82,697,456,244,214,601,528,562,"1,620",641
2020년04월_여_50~59세,"9,025",988,212,111,154,176,263,252,190,169,289,662,548,340,335,582,855,814,"1,349",736
2020년04월_여_60~69세,"9,274","1,125",260,171,205,230,344,351,262,212,407,590,564,467,401,466,781,701,"1,119",618
2020년04월_여_70~79세,"6,621",812,188,149,170,217,285,232,192,198,316,457,438,351,290,297,495,428,714,392
2020년04월_여_80~89세,"4,365",508,196,139,166,164,252,175,142,184,240,250,243,213,149,175,263,232,401,273
2020년04월_여_90~99세,758,103,27,24,38,38,50,31,35,29,43,68,33,28,24,20,37,37,55,38
2020년04월_여_100세 이상,43,7,1,1,3,3,1,5,0,0,3,3,2,3,0,2,3,2,1,3
