,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년06월_계_총인구수,"394,414","25,309","19,286","9,556","35,084","22,477","26,073","25,133","19,714","20,515","26,135","35,700","19,554","30,516","17,378","40,459","21,525"
2020년06월_계_연령구간인구수,"394,414","25,309","19,286","9,556","35,084","22,477","26,073","25,133","19,714","20,515","26,135","35,700","19,554","30,516","17,378","40,459","21,525"
2020년06월_계_0~9세,"23,635","1,366","1,124",521,"1,759","1,247","1,239","1,945",812,"1,338","1,133","2,556","1,165","1,526",853,"3,597","1,454"
2020년06월_계_10~19세,"27,525","1,687","1,248",652,"2,104","1,317","1,608","2,047",870,"1,399","1,272","3,219","1,265","1,943","1,234","3,855","1,805"
2020년06월_계_20~29세,"56,031","3,454","2,529","1,255","5,265","3,103","3,864","3,662","3,920","2,985","3,868","4,951","2,806","4,247","2,379","5,079","2,664"
2020년06월_계_30~39세,"58,354","3,448","2,787","1,415","5,517","3,486","3,774","3,722","4,068","3,311","3,784","5,144","3,148","4,111","2,232","5,395","3,012"
2020년06월_계_40~49세,"58,319","3,876","3,021","1,441","5,227","3,223","3,669","3,656","2,623","2,872","3,657","5,979","2,950","4,189","2,503","6,128","3,305"
2020년06월_계_50~59세,"69,966","4,993","3,333","1,793","6,484","3,995","4,739","4,526","3,139","3,463","5,129","5,618","3,194","5,835","3,383","6,714","3,628"
2020년06월_계_60~69세,"56,521","3,590","2,855","1,396","4,830","3,454","3,956","3,226","2,417","3,006","4,067","4,572","2,918","4,935","2,693","5,417","3,189"
2020년06월_계_70~79세,"30,967","2,045","1,801",793,"2,809","1,899","2,293","1,617","1,339","1,507","2,271","2,551","1,521","2,591","1,464","2,837","1,629"
2020년06월_계_80~89세,"11,328",731,496,258,948,654,816,643,446,558,847,968,512,969,541,"1,206",735
2020년06월_계_90~99세,"1,569",107,82,28,115,87,105,87,69,71,90,120,63,152,81,214,98
2020년06월_계_100세 이상,199,12,10,4,26,12,10,2,11,5,17,22,12,18,15,17,6
2020년06월_남_총인구수,"195,349","12,644","9,653","4,855","17,444","11,266","12,981","12,304","9,612","10,052","13,443","17,350","9,611","15,379","8,755","19,733","10,267"
2020년06월_남_연령구간인구수,"195,349","12,644","9,653","4,855","17,444","11,266","12,981","12,304","9,612","10,052","13,443","17,350","9,611","15,379","8,755","19,733","10,267"
2020년06월_남_0~9세,"12,200",699,599,243,912,670,617,"1,020",416,701,603,"1,312",601,783,444,"1,844",736
2020년06월_남_10~19세,"14,038",830,673,330,"1,036",681,841,"1,075",454,692,673,"1,631",651,972,586,"1,998",915
2020년06월_남_20~29세,"27,931","1,713","1,303",676,"2,688","1,603","1,959","1,827","1,687","1,478","1,905","2,379","1,362","2,197","1,215","2,574","1,365"
2020년06월_남_30~39세,"30,165","1,849","1,452",750,"2,899","1,778","2,001","1,879","2,079","1,704","2,039","2,570","1,664","2,147","1,220","2,653","1,481"
2020년06월_남_40~49세,"30,083","2,057","1,621",783,"2,701","1,723","1,941","1,772","1,364","1,493","1,963","2,963","1,478","2,254","1,264","3,097","1,609"
2020년06월_남_50~59세,"34,588","2,555","1,673",923,"3,226","1,925","2,319","2,190","1,594","1,626","2,731","2,700","1,568","2,934","1,747","3,173","1,704"
2020년06월_남_60~69세,"27,429","1,726","1,337",685,"2,329","1,703","1,893","1,577","1,157","1,440","2,110","2,168","1,365","2,470","1,367","2,613","1,489"
2020년06월_남_70~79세,"14,129",910,785,352,"1,254",910,"1,052",705,654,682,"1,037","1,193",698,"1,213",688,"1,304",692
2020년06월_남_80~89세,"4,380",273,184,109,368,252,325,243,188,222,342,402,204,369,208,438,253
2020년06월_남_90~99세,361,31,25,3,24,19,30,16,17,13,34,25,16,36,13,37,22
2020년06월_남_100세 이상,45,1,1,1,7,2,3,0,2,1,6,7,4,4,3,2,1
2020년06월_여_총인구수,"199,065","12,665","9,633","4,701","17,640","11,211","13,092","12,829","10,102","10,463","12,692","18,350","9,943","15,137","8,623","20,726","11,258"
2020년06월_여_연령구간인구수,"199,065","12,665","9,633","4,701","17,640","11,211","13,092","12,829","10,102","10,463","12,692","18,350","9,943","15,137","8,623","20,726","11,258"
2020년06월_여_0~9세,"11,435",667,525,278,847,577,622,925,396,637,530,"1,244",564,743,409,"1,753",718
2020년06월_여_10~19세,"13,487",857,575,322,"1,068",636,767,972,416,707,599,"1,588",614,971,648,"1,857",890
2020년06월_여_20~29세,"28,100","1,741","1,226",579,"2,577","1,500","1,905","1,835","2,233","1,507","1,963","2,572","1,444","2,050","1,164","2,505","1,299"
2020년06월_여_30~39세,"28,189","1,599","1,335",665,"2,618","1,708","1,773","1,843","1,989","1,607","1,745","2,574","1,484","1,964","1,012","2,742","1,531"
2020년06월_여_40~49세,"28,236","1,819","1,400",658,"2,526","1,500","1,728","1,884","1,259","1,379","1,694","3,016","1,472","1,935","1,239","3,031","1,696"
2020년06월_여_50~59세,"35,378","2,438","1,660",870,"3,258","2,070","2,420","2,336","1,545","1,837","2,398","2,918","1,626","2,901","1,636","3,541","1,924"
2020년06월_여_60~69세,"29,092","1,864","1,518",711,"2,501","1,751","2,063","1,649","1,260","1,566","1,957","2,404","1,553","2,465","1,326","2,804","1,700"
2020년06월_여_70~79세,"16,838","1,135","1,016",441,"1,555",989,"1,241",912,685,825,"1,234","1,358",823,"1,378",776,"1,533",937
2020년06월_여_80~89세,"6,948",458,312,149,580,402,491,400,258,336,505,566,308,600,333,768,482
2020년06월_여_90~99세,"1,208",76,57,25,91,68,75,71,52,58,56,95,47,116,68,177,76
2020년06월_여_100세 이상,154,11,9,3,19,10,7,2,9,4,11,15,8,14,12,15,5
