,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년07월_계_총인구수,"475,008","36,845","38,840","27,945","22,494","28,511","32,464","27,026","32,724","27,416","24,810","45,822","27,191","20,487","15,103","11,301","56,029"
2021년07월_계_연령구간인구수,"475,008","36,845","38,840","27,945","22,494","28,511","32,464","27,026","32,724","27,416","24,810","45,822","27,191","20,487","15,103","11,301","56,029"
2021년07월_계_0~9세,"28,433","2,381","2,271","1,061",949,"1,467","1,714","1,113","2,512","3,144",988,"2,494","1,514","1,043",704,719,"4,359"
2021년07월_계_10~19세,"37,693","2,223","2,604","1,705","1,496","2,355","2,823","1,581","2,705","2,303","1,545","3,419","2,041","1,615","1,164",760,"7,354"
2021년07월_계_20~29세,"66,261","4,954","5,241","4,270","3,643","4,351","4,409","4,911","4,445","2,695","3,589","6,538","3,863","2,910","2,045","1,480","6,917"
2021년07월_계_30~39세,"67,237","5,991","5,344","3,805","2,943","3,834","4,085","4,182","5,417","4,833","3,377","6,394","4,010","2,716","1,991","1,752","6,563"
2021년07월_계_40~49세,"74,873","5,591","5,776","3,726","3,159","4,595","5,006","3,940","5,541","5,239","3,475","7,451","4,145","3,085","2,229","1,527","10,388"
2021년07월_계_50~59세,"76,832","5,859","6,604","4,853","3,880","4,753","5,615","4,161","4,843","3,670","4,130","7,615","4,371","3,464","2,507","1,980","8,527"
2021년07월_계_60~69세,"66,141","5,237","5,722","4,504","3,546","3,783","4,775","3,601","3,860","2,990","3,804","6,394","4,017","3,212","2,483","1,733","6,480"
2021년07월_계_70~79세,"38,723","3,124","3,449","2,742","2,031","2,305","2,707","2,357","2,322","1,704","2,561","3,823","2,245","1,643","1,366",880,"3,464"
2021년07월_계_80~89세,"16,504","1,307","1,625","1,136",742,948,"1,181","1,046",963,725,"1,198","1,520",887,705,539,412,"1,570"
2021년07월_계_90~99세,"2,027",172,192,129,99,108,146,111,115,91,139,165,97,90,72,58,243
