카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년10월_계_총인구수,"31,570","9,477",503,"4,035","8,305","5,076","2,641","1,533"
2020년10월_계_연령구간인구수,"31,570","9,477",503,"4,035","8,305","5,076","2,641","1,533"
2020년10월_계_0~9세,"2,502",822,18,353,626,404,232,47
2020년10월_계_10~19세,"2,310",828,27,271,626,334,141,83
2020년10월_계_20~29세,"4,034","1,183",35,536,"1,058",564,529,129
2020년10월_계_30~39세,"3,867","1,245",28,563,914,651,383,83
2020년10월_계_40~49세,"3,985","1,351",61,416,"1,091",645,262,159
2020년10월_계_50~59세,"5,304","1,523",115,612,"1,494",889,343,328
2020년10월_계_60~69세,"5,114","1,356",110,696,"1,333",860,383,376
2020년10월_계_70~79세,"2,699",719,75,328,703,430,235,209
2020년10월_계_80~89세,"1,487",378,31,222,391,251,117,97
2020년10월_계_90~99세,253,65,3,38,65,46,16,20
2020년10월_계_100세 이상,15,7,0,0,4,2,0,2
2020년10월_남_총인구수,"17,001","4,964",268,"2,179","4,463","2,739","1,545",843
2020년10월_남_연령구간인구수,"17,001","4,964",268,"2,179","4,463","2,739","1,545",843
2020년10월_남_0~9세,"1,273",413,8,184,307,210,124,27
2020년10월_남_10~19세,"1,201",441,14,135,334,161,72,44
2020년10월_남_20~29세,"2,663",729,22,362,690,362,407,91
2020년10월_남_30~39세,"2,207",669,19,329,504,388,240,58
2020년10월_남_40~49세,"2,217",727,35,233,611,366,155,90
2020년10월_남_50~59세,"2,808",792,63,322,798,457,197,179
2020년10월_남_60~69세,"2,756",699,56,375,741,486,191,208
2020년10월_남_70~79세,"1,286",344,39,158,318,210,113,104
2020년10월_남_80~89세,519,133,11,71,140,88,42,34
2020년10월_남_90~99세,65,14,1,10,18,10,4,8
2020년10월_남_100세 이상,6,3,0,0,2,1,0,0
2020년10월_여_총인구수,"14,569","4,513",235,"1,856","3,842","2,337","1,096",690
2020년10월_여_연령구간인구수,"14,569","4,513",235,"1,856","3,842","2,337","1,096",690
2020년10월_여_0~9세,"1,229",409,10,169,319,194,108,20
2020년10월_여_10~19세,"1,109",387,13,136,292,173,69,39
2020년10월_여_20~29세,"1,371",454,13,174,368,202,122,38
2020년10월_여_30~39세,"1,660",576,9,234,410,263,143,25
2020년10월_여_40~49세,"1,768",624,26,183,480,279,107,69
2020년10월_여_50~59세,"2,496",731,52,290,696,432,146,149
2020년10월_여_60~69세,"2,358",657,54,321,592,374,192,168
2020년10월_여_70~79세,"1,413",375,36,170,385,220,122,105
2020년10월_여_80~89세,968,245,20,151,251,163,75,63
2020년10월_여_90~99세,188,51,2,28,47,36,12,12
2020년10월_여_100세 이상,9,4,0,0,2,1,0,2
