,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년05월_계_총인구수,"230,702","35,892","20,475","61,279","32,107","16,191","64,758"
2021년05월_계_연령구간인구수,"230,702","35,892","20,475","61,279","32,107","16,191","64,758"
2021년05월_계_0~9세,"22,927","3,885",874,"6,898","3,966","1,324","5,980"
2021년05월_계_10~19세,"24,941","4,175","1,178","7,094","3,349","1,947","7,198"
2021년05월_계_20~29세,"31,583","4,470","3,844","7,162","4,093","2,220","9,794"
2021년05월_계_30~39세,"38,330","5,399","4,932","9,771","5,932","2,321","9,975"
2021년05월_계_40~49세,"43,623","6,764","3,833","11,729","6,130","3,094","12,073"
2021년05월_계_50~59세,"33,675","5,441","2,859","8,516","4,291","2,546","10,022"
2021년05월_계_60~69세,"20,989","3,331","1,778","5,922","2,744","1,561","5,653"
2021년05월_계_70~79세,"9,902","1,611",817,"2,827","1,106",783,"2,758"
2021년05월_계_80~89세,"4,186",738,328,"1,193",423,354,"1,150"
2021년05월_계_90~99세,521,78,28,155,72,36,152
2021년05월_계_100세 이상,25,0,4,12,1,5,3
2021년05월_남_총인구수,"119,532","17,997","12,117","30,950","16,460","8,316","33,692"
2021년05월_남_연령구간인구수,"119,532","17,997","12,117","30,950","16,460","8,316","33,692"
2021년05월_남_0~9세,"11,705","2,010",427,"3,522","1,997",688,"3,061"
2021년05월_남_10~19세,"12,741","2,053",594,"3,598","1,698","1,007","3,791"
2021년05월_남_20~29세,"17,065","2,342","2,195","3,773","2,167","1,214","5,374"
2021년05월_남_30~39세,"20,769","2,746","3,188","5,064","3,114","1,262","5,395"
2021년05월_남_40~49세,"23,217","3,445","2,416","6,200","3,215","1,592","6,349"
2021년05월_남_50~59세,"17,631","2,783","1,798","4,296","2,182","1,313","5,259"
2021년05월_남_60~69세,"10,389","1,637",974,"2,822","1,387",771,"2,798"
2021년05월_남_70~79세,"4,368",685,390,"1,236",544,339,"1,174"
2021년05월_남_80~89세,"1,538",284,132,403,148,119,452
2021년05월_남_90~99세,102,12,3,33,8,8,38
2021년05월_남_100세 이상,7,0,0,3,0,3,1
2021년05월_여_총인구수,"111,170","17,895","8,358","30,329","15,647","7,875","31,066"
2021년05월_여_연령구간인구수,"111,170","17,895","8,358","30,329","15,647","7,875","31,066"
2021년05월_여_0~9세,"11,222","1,875",447,"3,376","1,969",636,"2,919"
2021년05월_여_10~19세,"12,200","2,122",584,"3,496","1,651",940,"3,407"
2021년05월_여_20~29세,"14,518","2,128","1,649","3,389","1,926","1,006","4,420"
2021년05월_여_30~39세,"17,561","2,653","1,744","4,707","2,818","1,059","4,580"
2021년05월_여_40~49세,"20,406","3,319","1,417","5,529","2,915","1,502","5,724"
2021년05월_여_50~59세,"16,044","2,658","1,061","4,220","2,109","1,233","4,763"
2021년05월_여_60~69세,"10,600","1,694",804,"3,100","1,357",790,"2,855"
2021년05월_여_70~79세,"5,534",926,427,"1,591",562,444,"1,584"
2021년05월_여_80~89세,"2,648",454,196,790,275,235,698
2021년05월_여_90~99세,419,66,25,122,64,28,114
2021년05월_여_100세 이상,18,0,4,9,1,2,2
