,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년02월_계_총인구수,"158,493","6,360","4,076","2,985","3,543","6,802","2,754","1,786","2,124","2,856","2,713","1,762","1,860","1,630","1,749","5,134","5,002","22,170","9,183","13,291","6,304","6,213","21,617","16,142","10,437"
2021년02월_계_연령구간인구수,"158,493","6,360","4,076","2,985","3,543","6,802","2,754","1,786","2,124","2,856","2,713","1,762","1,860","1,630","1,749","5,134","5,002","22,170","9,183","13,291","6,304","6,213","21,617","16,142","10,437"
2021년02월_계_0~9세,"10,509",188,95,61,84,426,45,31,58,57,46,32,44,24,31,238,293,"1,900",638,899,377,339,"1,963","1,543","1,097"
2021년02월_계_10~19세,"13,643",275,197,84,132,375,130,60,81,109,79,49,56,48,64,346,404,"2,318",892,956,524,559,"2,601","1,757","1,547"
2021년02월_계_20~29세,"16,555",444,293,135,302,940,142,84,156,184,121,74,81,71,65,575,528,"2,944",847,"1,422",621,670,"2,700","1,889","1,267"
2021년02월_계_30~39세,"15,418",366,203,158,211,"1,027",113,81,140,152,116,58,76,62,71,500,431,"2,537",812,"1,524",576,567,"2,400","2,116","1,121"
2021년02월_계_40~49세,"22,145",565,329,314,356,784,235,157,161,258,172,151,114,125,129,619,697,"3,565","1,379","1,870",904,847,"3,764","2,597","2,053"
2021년02월_계_50~59세,"26,347","1,091",673,532,594,933,448,285,436,513,521,298,363,279,290,829,936,"3,503","1,470","2,235","1,040","1,173","3,561","2,744","1,600"
2021년02월_계_60~69세,"25,968","1,431",918,675,874,"1,006",631,399,497,713,691,481,493,434,468,924,848,"2,785","1,513","2,231","1,183","1,156","2,645","2,031",941
2021년02월_계_70~79세,"16,551","1,100",727,541,527,749,546,355,321,481,544,351,345,338,346,710,555,"1,627","1,017","1,415",690,634,"1,225",892,515
2021년02월_계_80~89세,"9,812",766,557,419,386,481,399,283,233,325,376,241,264,215,251,333,274,864,540,651,330,231,657,482,254
2021년02월_계_90~99세,"1,477",124,79,65,77,76,62,50,41,62,46,22,23,34,34,58,36,121,70,81,57,37,99,84,39
2021년02월_계_100세 이상,68,10,5,1,0,5,3,1,0,2,1,5,1,0,0,2,0,6,5,7,2,0,2,7,3
2021년02월_남_총인구수,"78,398","3,196","2,103","1,567","1,865","3,471","1,335",890,"1,089","1,496","1,369",909,970,853,908,"2,495","2,405","10,999","4,415","6,606","3,051","3,082","10,304","7,868","5,152"
2021년02월_남_연령구간인구수,"78,398","3,196","2,103","1,567","1,865","3,471","1,335",890,"1,089","1,496","1,369",909,970,853,908,"2,495","2,405","10,999","4,415","6,606","3,051","3,082","10,304","7,868","5,152"
2021년02월_남_0~9세,"5,497",99,50,35,39,213,25,18,30,28,19,20,26,14,20,135,163,982,341,461,183,184,"1,023",814,575
2021년02월_남_10~19세,"7,131",153,121,48,80,190,81,34,37,54,41,24,37,26,31,180,191,"1,212",458,520,277,290,"1,324",903,819
2021년02월_남_20~29세,"9,042",260,167,91,173,493,83,49,103,113,70,44,55,43,37,323,279,"1,658",451,781,354,362,"1,400","1,012",641
2021년02월_남_30~39세,"7,990",210,114,101,132,567,61,58,85,91,68,35,46,44,44,240,210,"1,284",402,821,308,305,"1,170","1,073",521
2021년02월_남_40~49세,"11,505",342,203,208,220,445,142,101,104,172,126,100,75,86,87,343,370,"1,773",699,996,466,429,"1,799","1,252",967
