카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년11월_계_총인구수,"36,351","34,529","1,822"
2021년11월_계_연령구간인구수,"36,351","34,529","1,822"
2021년11월_계_0~9세,"2,952","2,909",43
2021년11월_계_10~19세,"3,352","3,283",69
2021년11월_계_20~29세,"4,403","4,275",128
2021년11월_계_30~39세,"4,373","4,285",88
2021년11월_계_40~49세,"5,440","5,265",175
2021년11월_계_50~59세,"6,030","5,710",320
2021년11월_계_60~69세,"5,367","4,897",470
2021년11월_계_70~79세,"2,691","2,408",283
2021년11월_계_80~89세,"1,551","1,335",216
2021년11월_계_90~99세,190,160,30
2021년11월_계_100세 이상,2,2,0
2021년11월_남_총인구수,"18,947","17,989",958
2021년11월_남_연령구간인구수,"18,947","17,989",958
2021년11월_남_0~9세,"1,542","1,517",25
2021년11월_남_10~19세,"1,748","1,713",35
2021년11월_남_20~29세,"2,616","2,535",81
2021년11월_남_30~39세,"2,423","2,372",51
2021년11월_남_40~49세,"2,927","2,819",108
2021년11월_남_50~59세,"3,196","3,020",176
2021년11월_남_60~69세,"2,693","2,436",257
2021년11월_남_70~79세,"1,223","1,078",145
2021년11월_남_80~89세,536,463,73
2021년11월_남_90~99세,43,36,7
2021년11월_남_100세 이상,0,0,0
2021년11월_여_총인구수,"17,404","16,540",864
2021년11월_여_연령구간인구수,"17,404","16,540",864
2021년11월_여_0~9세,"1,410","1,392",18
2021년11월_여_10~19세,"1,604","1,570",34
2021년11월_여_20~29세,"1,787","1,740",47
2021년11월_여_30~39세,"1,950","1,913",37
2021년11월_여_40~49세,"2,513","2,446",67
2021년11월_여_50~59세,"2,834","2,690",144
2021년11월_여_60~69세,"2,674","2,461",213
2021년11월_여_70~79세,"1,468","1,330",138
2021년11월_여_80~89세,"1,015",872,143
2021년11월_여_90~99세,147,124,23
2021년11월_여_100세 이상,2,2,0
