카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년09월_계_총인구수,"125,881","4,598","12,397","2,853","31,025","1,979","1,964","1,444","8,747","2,855","3,861","8,790","10,449","11,071","10,144","13,704"
2021년09월_계_연령구간인구수,"125,881","4,598","12,397","2,853","31,025","1,979","1,964","1,444","8,747","2,855","3,861","8,790","10,449","11,071","10,144","13,704"
2021년09월_계_0~9세,"8,809",106,"1,110",64,"3,598",43,28,18,380,93,104,424,663,763,428,987
2021년09월_계_10~19세,"12,654",206,"1,444",106,"4,083",93,54,25,785,164,205,627,948,"1,383",943,"1,588"
2021년09월_계_20~29세,"10,640",283,"1,012",160,"2,670",108,74,57,848,194,258,657,913,971,904,"1,531"
2021년09월_계_30~39세,"12,663",292,"1,309",143,"4,388",98,72,64,645,161,249,788,"1,024","1,021",895,"1,514"
2021년09월_계_40~49세,"20,907",518,"2,215",261,"6,624",253,163,106,"1,232",334,494,"1,271","1,554","1,892","1,467","2,523"
2021년09월_계_50~59세,"21,931",914,"2,112",502,"4,559",413,324,288,"1,614",530,757,"1,762","1,735","2,010","1,954","2,457"
2021년09월_계_60~69세,"21,307","1,075","1,722",756,"3,179",480,482,403,"1,725",676,939,"1,853","2,108","1,931","1,969","2,009"
2021년09월_계_70~79세,"11,298",708,932,520,"1,316",294,436,257,"1,051",472,573,995,"1,075",772,"1,073",824
2021년09월_계_80~89세,"4,991",435,468,304,529,181,301,193,412,200,263,368,365,292,445,235
2021년09월_계_90~99세,663,58,72,37,79,16,29,32,55,29,19,42,60,35,66,34
2021년09월_계_100세 이상,18,3,1,0,0,0,1,1,0,2,0,3,4,1,0,2
2021년09월_남_총인구수,"63,201","2,417","6,206","1,463","15,690","1,105","1,015",715,"4,354","1,389","1,911","4,461","5,007","5,430","5,204","6,834"
2021년09월_남_연령구간인구수,"63,201","2,417","6,206","1,463","15,690","1,105","1,015",715,"4,354","1,389","1,911","4,461","5,007","5,430","5,204","6,834"
2021년09월_남_0~9세,"4,418",42,529,36,"1,827",23,15,8,182,40,45,210,341,394,197,529
2021년09월_남_10~19세,"6,534",114,733,56,"2,120",55,26,12,376,77,99,324,491,715,499,837
2021년09월_남_20~29세,"5,948",167,555,102,"1,424",64,47,35,503,111,159,374,520,531,531,825
2021년09월_남_30~39세,"6,499",174,638,83,"2,126",64,42,46,347,91,141,445,532,491,497,782
2021년09월_남_40~49세,"11,221",329,"1,163",170,"3,494",169,105,63,682,193,307,750,789,959,811,"1,237"
2021년09월_남_50~59세,"11,367",536,"1,118",294,"2,378",245,212,169,839,293,387,904,769,979,"1,049","1,195"
2021년09월_남_60~69세,"10,373",590,870,370,"1,554",258,270,219,828,322,444,853,913,950,980,952
2021년09월_남_70~79세,"5,136",333,421,255,597,150,200,108,457,184,241,467,511,336,477,399
2021년09월_남_80~89세,"1,577",124,161,91,156,74,92,50,135,71,82,126,127,70,144,74
2021년09월_남_90~99세,125,8,18,6,14,3,6,5,5,7,6,8,11,5,19,4
2021년09월_남_100세 이상,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021년09월_여_총인구수,"62,680","2,181","6,191","1,390","15,335",874,949,729,"4,393","1,466","1,950","4,329","5,442","5,641","4,940","6,870"
2021년09월_여_연령구간인구수,"62,680","2,181","6,191","1,390","15,335",874,949,729,"4,393","1,466","1,950","4,329","5,442","5,641","4,940","6,870"
2021년09월_여_0~9세,"4,391",64,581,28,"1,771",20,13,10,198,53,59,214,322,369,231,458
2021년09월_여_10~19세,"6,120",92,711,50,"1,963",38,28,13,409,87,106,303,457,668,444,751
2021년09월_여_20~29세,"4,692",116,457,58,"1,246",44,27,22,345,83,99,283,393,440,373,706
2021년09월_여_30~39세,"6,164",118,671,60,"2,262",34,30,18,298,70,108,343,492,530,398,732
2021년09월_여_40~49세,"9,686",189,"1,052",91,"3,130",84,58,43,550,141,187,521,765,933,656,"1,286"
2021년09월_여_50~59세,"10,564",378,994,208,"2,181",168,112,119,775,237,370,858,966,"1,031",905,"1,262"
2021년09월_여_60~69세,"10,934",485,852,386,"1,625",222,212,184,897,354,495,"1,000","1,195",981,989,"1,057"
2021년09월_여_70~79세,"6,162",375,511,265,719,144,236,149,594,288,332,528,564,436,596,425
2021년09월_여_80~89세,"3,414",311,307,213,373,107,209,143,277,129,181,242,238,222,301,161
2021년09월_여_90~99세,538,50,54,31,65,13,23,27,50,22,13,34,49,30,47,30
2021년09월_여_100세 이상,15,3,1,0,0,0,1,1,0,2,0,3,1,1,0,2
