카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년04월_계_총인구수,"210,188","4,877","2,055","3,085","8,550","3,029","2,341","4,008","12,506","3,690","3,735","2,316","3,300","1,940","2,814","23,690","7,205","15,744","5,359","9,703","17,469","3,731","9,403","14,860","38,025","6,753"
2020년04월_계_연령구간인구수,"210,188","4,877","2,055","3,085","8,550","3,029","2,341","4,008","12,506","3,690","3,735","2,316","3,300","1,940","2,814","23,690","7,205","15,744","5,359","9,703","17,469","3,731","9,403","14,860","38,025","6,753"
2020년04월_계_0~9세,"15,035",109,43,84,563,33,59,84,"1,910",314,108,54,84,62,116,"1,720",296,"1,336",267,401,"2,042",98,554,"1,096","2,963",639
2020년04월_계_10~19세,"19,344",238,67,122,407,118,104,151,904,269,176,81,180,75,172,"2,568",577,"2,071",496,734,"2,310",164,778,"1,844","4,038",700
2020년04월_계_20~29세,"24,305",362,130,213,"1,337",196,138,270,"1,462",495,274,157,200,104,297,"2,813",886,"1,903",599,"1,065","2,015",499,"1,144","1,924","5,054",768
2020년04월_계_30~39세,"23,795",316,113,170,"1,380",176,123,190,"2,826",444,188,131,175,111,229,"2,531",619,"1,731",463,849,"2,561",291,"1,059","1,553","4,699",867
2020년04월_계_40~49세,"31,388",509,166,273,"1,162",246,188,356,"1,932",518,361,209,285,154,357,"3,729",990,"2,961",775,"1,231","3,260",408,"1,410","2,652","6,084","1,172"
2020년04월_계_50~59세,"37,858","1,041",439,670,"1,458",599,428,823,"1,498",512,771,449,605,354,494,"4,404","1,343","2,689",985,"1,834","2,697",757,"1,753","2,827","7,207","1,221"
2020년04월_계_60~69세,"30,167","1,110",559,753,"1,194",759,592,"1,021","1,089",539,851,549,833,493,542,"3,199","1,217","1,634",850,"1,866","1,497",719,"1,459","1,594","4,520",728
2020년04월_계_70~79세,"17,433",698,327,511,610,499,415,654,519,342,564,396,525,345,368,"1,747",809,886,584,"1,099",703,486,876,878,"2,186",406
2020년04월_계_80~89세,"9,598",445,183,241,386,363,260,406,325,230,381,257,360,221,196,874,417,473,301,540,336,281,333,443,"1,125",221
2020년04월_계_90~99세,"1,197",46,27,47,46,37,30,49,40,24,59,31,47,20,40,100,48,57,34,80,48,27,35,48,148,29
2020년04월_계_100세 이상,68,3,1,1,7,3,4,4,1,3,2,2,6,1,3,5,3,3,5,4,0,1,2,1,1,2
2020년04월_남_총인구수,"106,310","2,493","1,049","1,557","4,790","1,555","1,180","2,066","6,447","1,967","1,894","1,191","1,687",989,"1,390","11,870","3,637","7,706","2,690","4,864","8,706","2,002","4,837","7,340","18,883","3,520"
2020년04월_남_연령구간인구수,"106,310","2,493","1,049","1,557","4,790","1,555","1,180","2,066","6,447","1,967","1,894","1,191","1,687",989,"1,390","11,870","3,637","7,706","2,690","4,864","8,706","2,002","4,837","7,340","18,883","3,520"
2020년04월_남_0~9세,"7,623",60,20,40,289,15,27,53,974,141,50,31,45,28,55,914,148,653,139,201,"1,029",43,265,561,"1,494",348
2020년04월_남_10~19세,"10,075",110,36,73,236,62,62,87,443,143,83,42,107,41,92,"1,350",291,"1,089",255,377,"1,196",90,386,965,"2,094",365
2020년04월_남_20~29세,"13,884",230,75,129,853,117,84,162,809,325,162,91,112,58,171,"1,621",502,"1,049",341,578,"1,097",304,653,"1,034","2,880",447
2020년04월_남_30~39세,"12,798",182,65,93,853,111,75,116,"1,548",252,107,79,99,64,129,"1,310",356,872,252,476,"1,273",189,582,797,"2,459",459
2020년04월_남_40~49세,"16,144",303,101,164,674,168,135,205,"1,018",305,217,119,169,91,206,"1,845",537,"1,401",399,665,"1,616",251,770,"1,253","2,928",604
2020년04월_남_50~59세,"19,415",557,233,361,809,325,210,445,758,292,421,228,320,192,260,"2,203",697,"1,336",521,933,"1,340",427,939,"1,432","3,512",664
2020년04월_남_60~69세,"15,074",581,286,380,644,395,286,515,545,279,448,299,449,262,249,"1,560",591,775,409,899,752,384,704,769,"2,234",379
2020년04월_남_70~79세,"7,709",306,165,229,287,227,205,314,238,136,259,190,237,159,153,758,358,359,251,520,304,208,405,376,887,178
2020년04월_남_80~89세,"3,257",148,64,75,125,122,83,157,98,87,131,100,131,89,68,273,141,158,113,199,94,102,126,139,365,69
2020년04월_남_90~99세,315,14,4,13,17,12,12,12,16,6,15,11,16,5,6,35,16,14,9,15,5,4,7,14,30,7
2020년04월_남_100세 이상,16,2,0,0,3,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0
2020년04월_여_총인구수,"103,878","2,384","1,006","1,528","3,760","1,474","1,161","1,942","6,059","1,723","1,841","1,125","1,613",951,"1,424","11,820","3,568","8,038","2,669","4,839","8,763","1,729","4,566","7,520","19,142","3,233"
2020년04월_여_연령구간인구수,"103,878","2,384","1,006","1,528","3,760","1,474","1,161","1,942","6,059","1,723","1,841","1,125","1,613",951,"1,424","11,820","3,568","8,038","2,669","4,839","8,763","1,729","4,566","7,520","19,142","3,233"
2020년04월_여_0~9세,"7,412",49,23,44,274,18,32,31,936,173,58,23,39,34,61,806,148,683,128,200,"1,013",55,289,535,"1,469",291
2020년04월_여_10~19세,"9,269",128,31,49,171,56,42,64,461,126,93,39,73,34,80,"1,218",286,982,241,357,"1,114",74,392,879,"1,944",335
2020년04월_여_20~29세,"10,421",132,55,84,484,79,54,108,653,170,112,66,88,46,126,"1,192",384,854,258,487,918,195,491,890,"2,174",321
2020년04월_여_30~39세,"10,997",134,48,77,527,65,48,74,"1,278",192,81,52,76,47,100,"1,221",263,859,211,373,"1,288",102,477,756,"2,240",408
