카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년12월_계_총인구수,"55,613","14,801","2,309","2,657","1,697","19,193","2,531","2,456","1,523","2,721","3,165","1,194","1,366"
2020년12월_계_연령구간인구수,"55,613","14,801","2,309","2,657","1,697","19,193","2,531","2,456","1,523","2,721","3,165","1,194","1,366"
2020년12월_계_0~9세,"4,639",800,62,60,53,"3,280",151,50,21,49,54,24,35
2020년12월_계_10~19세,"4,346","1,211",112,81,58,"2,311",107,87,41,84,120,59,75
2020년12월_계_20~29세,"4,114","1,336",87,144,55,"1,703",214,116,56,90,196,49,68
2020년12월_계_30~39세,"5,471","1,151",74,108,82,"3,356",227,108,45,108,113,39,60
2020년12월_계_40~49세,"7,087","1,894",182,165,119,"3,556",238,202,99,199,239,86,108
2020년12월_계_50~59세,"8,090","2,472",352,425,260,"2,284",320,365,226,418,505,244,219
2020년12월_계_60~69세,"9,422","2,873",511,685,412,"1,436",446,579,385,698,745,345,307
2020년12월_계_70~79세,"6,827","1,827",494,507,346,723,425,527,339,573,623,176,267
2020년12월_계_80~89세,"4,927","1,069",389,421,277,471,348,368,282,446,515,145,196
2020년12월_계_90~99세,656,162,43,57,35,70,53,50,27,52,53,26,28
2020년12월_계_100세 이상,34,6,3,4,0,3,2,4,2,4,2,1,3
2020년12월_남_총인구수,"27,352","7,307","1,150","1,322",836,"9,444","1,247","1,190",733,"1,340","1,513",589,681
2020년12월_남_연령구간인구수,"27,352","7,307","1,150","1,322",836,"9,444","1,247","1,190",733,"1,340","1,513",589,681
2020년12월_남_0~9세,"2,364",397,35,33,27,"1,672",79,25,7,27,30,13,19
2020년12월_남_10~19세,"2,315",676,69,39,36,"1,200",57,46,25,41,57,34,35
2020년12월_남_20~29세,"2,328",788,51,99,31,891,134,62,36,53,117,24,42
2020년12월_남_30~39세,"2,758",598,41,63,43,"1,585",127,68,27,72,79,17,38
2020년12월_남_40~49세,"3,873","1,027",121,114,81,"1,766",161,134,68,139,144,53,65
2020년12월_남_50~59세,"4,205","1,212",203,231,158,"1,137",187,194,131,238,268,120,126
2020년12월_남_60~69세,"4,685","1,365",270,361,219,709,200,281,199,357,370,195,159
2020년12월_남_70~79세,"3,031",830,215,215,145,322,189,231,143,269,267,88,117
2020년12월_남_80~89세,"1,670",384,135,152,88,152,102,140,95,136,174,38,74
2020년12월_남_90~99세,120,29,10,14,8,10,11,9,2,7,7,7,6
2020년12월_남_100세 이상,3,1,0,1,0,0,0,0,0,1,0,0,0
2020년12월_여_총인구수,"28,261","7,494","1,159","1,335",861,"9,749","1,284","1,266",790,"1,381","1,652",605,685
2020년12월_여_연령구간인구수,"28,261","7,494","1,159","1,335",861,"9,749","1,284","1,266",790,"1,381","1,652",605,685
2020년12월_여_0~9세,"2,275",403,27,27,26,"1,608",72,25,14,22,24,11,16
2020년12월_여_10~19세,"2,031",535,43,42,22,"1,111",50,41,16,43,63,25,40
2020년12월_여_20~29세,"1,786",548,36,45,24,812,80,54,20,37,79,25,26
2020년12월_여_30~39세,"2,713",553,33,45,39,"1,771",100,40,18,36,34,22,22
2020년12월_여_40~49세,"3,214",867,61,51,38,"1,790",77,68,31,60,95,33,43
2020년12월_여_50~59세,"3,885","1,260",149,194,102,"1,147",133,171,95,180,237,124,93
2020년12월_여_60~69세,"4,737","1,508",241,324,193,727,246,298,186,341,375,150,148
2020년12월_여_70~79세,"3,796",997,279,292,201,401,236,296,196,304,356,88,150
2020년12월_여_80~89세,"3,257",685,254,269,189,319,246,228,187,310,341,107,122
2020년12월_여_90~99세,536,133,33,43,27,60,42,41,25,45,46,19,22
2020년12월_여_100세 이상,31,5,3,3,0,3,2,4,2,3,2,1,3
