,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년04월_계_총인구수,"90,233","30,204","4,222","19,728","5,319","5,272","3,692","3,208","11,828","3,741","3,019"
2020년04월_계_연령구간인구수,"90,233","30,204","4,222","19,728","5,319","5,272","3,692","3,208","11,828","3,741","3,019"
2020년04월_계_0~9세,"6,789","2,870",182,"1,619",209,329,131,97,"1,039",191,122
2020년04월_계_10~19세,"8,955","3,282",278,"2,694",376,446,184,174,"1,115",200,206
2020년04월_계_20~29세,"9,297","3,316",594,"2,178",496,494,283,195,"1,215",289,237
2020년04월_계_30~39세,"9,437","3,653",338,"2,096",424,481,266,207,"1,411",332,229
2020년04월_계_40~49세,"14,745","5,158",574,"3,835",735,763,460,422,"1,957",480,361
2020년04월_계_50~59세,"15,617","5,012",739,"3,525",958,989,604,514,"2,048",655,573
2020년04월_계_60~69세,"13,249","4,144",728,"2,065","1,074",865,809,682,"1,594",688,600
2020년04월_계_70~79세,"7,993","1,873",494,"1,167",705,645,626,598,902,553,430
2020년04월_계_80~89세,"3,635",784,253,481,294,236,287,280,489,307,224
2020년04월_계_90~99세,487,111,41,68,45,18,38,34,56,41,35
2020년04월_계_100세 이상,29,1,1,0,3,6,4,5,2,5,2
2020년04월_남_총인구수,"45,698","15,000","2,301","10,191","2,600","2,674","1,857","1,580","6,058","1,877","1,560"
2020년04월_남_연령구간인구수,"45,698","15,000","2,301","10,191","2,600","2,674","1,857","1,580","6,058","1,877","1,560"
2020년04월_남_0~9세,"3,495","1,472",86,839,114,165,67,57,541,90,64
2020년04월_남_10~19세,"4,681","1,655",157,"1,457",191,237,99,93,572,110,110
2020년04월_남_20~29세,"5,441","1,913",416,"1,284",271,286,171,101,685,170,144
2020년04월_남_30~39세,"4,961","1,853",199,"1,089",230,267,162,118,739,175,129
2020년04월_남_40~49세,"7,702","2,537",325,"1,901",409,432,281,258,"1,061",280,218
2020년04월_남_50~59세,"8,038","2,391",414,"1,889",456,526,313,278,"1,081",350,340
2020년04월_남_60~69세,"6,387","2,017",359,"1,005",510,386,358,316,795,338,303
2020년04월_남_70~79세,"3,586",871,230,534,311,281,296,229,416,243,175
2020년04월_남_80~89세,"1,296",267,106,180,98,88,98,117,162,109,71
2020년04월_남_90~99세,102,24,8,13,8,5,11,13,6,9,5
2020년04월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년04월_여_총인구수,"44,535","15,204","1,921","9,537","2,719","2,598","1,835","1,628","5,770","1,864","1,459"
2020년04월_여_연령구간인구수,"44,535","15,204","1,921","9,537","2,719","2,598","1,835","1,628","5,770","1,864","1,459"
2020년04월_여_0~9세,"3,294","1,398",96,780,95,164,64,40,498,101,58
2020년04월_여_10~19세,"4,274","1,627",121,"1,237",185,209,85,81,543,90,96
2020년04월_여_20~29세,"3,856","1,403",178,894,225,208,112,94,530,119,93
2020년04월_여_30~39세,"4,476","1,800",139,"1,007",194,214,104,89,672,157,100
2020년04월_여_40~49세,"7,043","2,621",249,"1,934",326,331,179,164,896,200,143
2020년04월_여_50~59세,"7,579","2,621",325,"1,636",502,463,291,236,967,305,233
2020년04월_여_60~69세,"6,862","2,127",369,"1,060",564,479,451,366,799,350,297
2020년04월_여_70~79세,"4,407","1,002",264,633,394,364,330,369,486,310,255
2020년04월_여_80~89세,"2,339",517,147,301,196,148,189,163,327,198,153
2020년04월_여_90~99세,385,87,33,55,37,13,27,21,50,32,30
2020년04월_여_100세 이상,20,1,0,0,1,5,3,5,2,2,1
