카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년06월_계_총인구수,"88,660","10,782","15,500","5,431","33,174","3,100","6,285","4,602","1,961","4,904","2,921"
2021년06월_계_연령구간인구수,"88,660","10,782","15,500","5,431","33,174","3,100","6,285","4,602","1,961","4,904","2,921"
2021년06월_계_0~9세,"8,036",719,"2,388",157,"4,191",47,184,106,55,115,74
2021년06월_계_10~19세,"9,429","1,117","1,603",298,"5,199",125,404,199,85,235,164
2021년06월_계_20~29세,"9,178","1,283","1,103",496,"4,328",232,716,318,136,341,225
2021년06월_계_30~39세,"10,738",968,"2,637",325,"5,474",150,436,250,117,228,153
2021년06월_계_40~49세,"14,065","1,527","2,509",568,"7,210",257,671,394,203,467,259
2021년06월_계_50~59세,"13,031","1,879","1,753","1,105","4,022",588,"1,098",854,329,824,579
2021년06월_계_60~69세,"11,322","1,628","1,592","1,220","1,745",625,"1,254","1,030",474,"1,087",667
2021년06월_계_70~79세,"7,849","1,080","1,165",764,698,570,895,868,356,950,503
2021년06월_계_80~89세,"4,372",524,655,420,268,446,531,511,164,584,269
2021년06월_계_90~99세,615,57,93,75,38,58,86,71,39,71,27
2021년06월_계_100세 이상,25,0,2,3,1,2,10,1,3,2,1
2021년06월_남_총인구수,"44,566","5,379","7,752","2,864","16,421","1,545","3,253","2,340","1,017","2,490","1,505"
2021년06월_남_연령구간인구수,"44,566","5,379","7,752","2,864","16,421","1,545","3,253","2,340","1,017","2,490","1,505"
2021년06월_남_0~9세,"4,136",377,"1,242",73,"2,145",19,101,56,31,61,31
2021년06월_남_10~19세,"4,780",584,792,147,"2,647",70,196,87,45,130,82
2021년06월_남_20~29세,"4,922",719,589,280,"2,163",139,420,186,75,226,125
2021년06월_남_30~39세,"5,470",516,"1,271",187,"2,665",103,265,157,74,133,99
2021년06월_남_40~49세,"7,388",770,"1,373",345,"3,480",164,395,267,132,297,165
2021년06월_남_50~59세,"7,160",994,974,638,"2,089",339,625,513,187,464,337
2021년06월_남_60~69세,"5,722",781,778,681,833,325,661,519,243,548,353
2021년06월_남_70~79세,"3,559",462,533,371,315,256,408,390,165,434,225
2021년06월_남_80~89세,"1,326",168,183,134,76,119,167,152,59,188,80
2021년06월_남_90~99세,100,8,17,8,7,10,15,13,6,9,7
2021년06월_남_100세 이상,3,0,0,0,1,1,0,0,0,0,1
2021년06월_여_총인구수,"44,094","5,403","7,748","2,567","16,753","1,555","3,032","2,262",944,"2,414","1,416"
2021년06월_여_연령구간인구수,"44,094","5,403","7,748","2,567","16,753","1,555","3,032","2,262",944,"2,414","1,416"
2021년06월_여_0~9세,"3,900",342,"1,146",84,"2,046",28,83,50,24,54,43
2021년06월_여_10~19세,"4,649",533,811,151,"2,552",55,208,112,40,105,82
2021년06월_여_20~29세,"4,256",564,514,216,"2,165",93,296,132,61,115,100
2021년06월_여_30~39세,"5,268",452,"1,366",138,"2,809",47,171,93,43,95,54
2021년06월_여_40~49세,"6,677",757,"1,136",223,"3,730",93,276,127,71,170,94
2021년06월_여_50~59세,"5,871",885,779,467,"1,933",249,473,341,142,360,242
2021년06월_여_60~69세,"5,600",847,814,539,912,300,593,511,231,539,314
2021년06월_여_70~79세,"4,290",618,632,393,383,314,487,478,191,516,278
2021년06월_여_80~89세,"3,046",356,472,286,192,327,364,359,105,396,189
2021년06월_여_90~99세,515,49,76,67,31,48,71,58,33,62,20
2021년06월_여_100세 이상,22,0,2,3,0,1,10,1,3,2,0
