카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년07월_계_총인구수,"122,951","2,195","4,854","2,846","4,061","4,564","5,210","1,723","7,598","13,953","16,847","13,695","10,375","10,407","12,523","12,100"
2021년07월_계_연령구간인구수,"122,951","2,195","4,854","2,846","4,061","4,564","5,210","1,723","7,598","13,953","16,847","13,695","10,375","10,407","12,523","12,100"
2021년07월_계_0~9세,"6,470",157,191,83,182,180,125,41,255,531,"1,031",723,566,688,729,988
2021년07월_계_10~19세,"6,642",123,205,130,187,265,189,38,284,789,944,860,533,847,498,750
2021년07월_계_20~29세,"18,305",250,495,367,745,"1,181","1,004",215,"1,343","2,319","2,035","1,899","1,642","1,372","2,082","1,356"
2021년07월_계_30~39세,"19,941",486,530,401,664,662,868,307,"1,319","2,203","2,407","2,135","1,671","1,320","2,793","2,175"
2021년07월_계_40~49세,"17,624",493,664,414,477,575,644,185,"1,050","1,972","2,380","1,877","1,543","1,528","1,800","2,022"
2021년07월_계_50~59세,"20,191",299,927,477,589,591,823,294,"1,337","2,272","2,787","2,311","1,863","1,933","1,790","1,898"
2021년07월_계_60~69세,"17,792",241,"1,039",500,613,532,831,374,"1,067","1,995","2,705","2,027","1,334","1,472","1,557","1,505"
2021년07월_계_70~79세,"10,333",97,527,308,355,361,507,179,639,"1,235","1,587","1,161",827,746,882,922
2021년07월_계_80~89세,"4,789",40,222,140,188,189,189,73,253,545,814,615,350,430,331,410
2021년07월_계_90~99세,805,8,53,22,52,27,28,17,49,82,154,85,43,62,60,63
2021년07월_계_100세 이상,59,1,1,4,9,1,2,0,2,10,3,2,3,9,1,11
2021년07월_남_총인구수,"59,945","1,052","2,545","1,242","2,074","2,320","2,671","1,050","3,783","6,779","7,881","6,484","5,051","5,033","5,976","6,004"
2021년07월_남_연령구간인구수,"59,945","1,052","2,545","1,242","2,074","2,320","2,671","1,050","3,783","6,779","7,881","6,484","5,051","5,033","5,976","6,004"
2021년07월_남_0~9세,"3,352",82,105,49,100,95,65,19,108,284,510,373,287,382,384,509
2021년07월_남_10~19세,"3,296",40,87,61,97,131,87,16,128,428,474,425,263,420,246,393
2021년07월_남_20~29세,"8,541",92,232,166,360,621,416,100,611,"1,112",972,921,751,683,851,653
2021년07월_남_30~39세,"9,968",227,243,214,350,356,490,176,673,"1,158","1,147","1,062",830,621,"1,392","1,029"
2021년07월_남_40~49세,"8,995",258,356,181,265,304,349,117,578,"1,002","1,175",916,792,748,892,"1,062"
2021년07월_남_50~59세,"10,226",147,536,204,340,298,463,217,716,"1,078","1,315","1,114",980,939,906,973
2021년07월_남_60~69세,"8,900",139,608,213,305,268,460,258,556,932,"1,253",971,651,739,758,789
2021년07월_남_70~79세,"4,665",50,269,110,172,165,258,106,298,565,697,453,356,334,412,420
2021년07월_남_80~89세,"1,765",14,95,39,66,74,71,34,101,199,296,226,127,146,121,156
2021년07월_남_90~99세,221,3,14,4,17,8,11,7,12,20,40,22,14,18,14,17
2021년07월_남_100세 이상,16,0,0,1,2,0,1,0,2,1,2,1,0,3,0,3
2021년07월_여_총인구수,"63,006","1,143","2,309","1,604","1,987","2,244","2,539",673,"3,815","7,174","8,966","7,211","5,324","5,374","6,547","6,096"
2021년07월_여_연령구간인구수,"63,006","1,143","2,309","1,604","1,987","2,244","2,539",673,"3,815","7,174","8,966","7,211","5,324","5,374","6,547","6,096"
2021년07월_여_0~9세,"3,118",75,86,34,82,85,60,22,147,247,521,350,279,306,345,479
2021년07월_여_10~19세,"3,346",83,118,69,90,134,102,22,156,361,470,435,270,427,252,357
2021년07월_여_20~29세,"9,764",158,263,201,385,560,588,115,732,"1,207","1,063",978,891,689,"1,231",703
2021년07월_여_30~39세,"9,973",259,287,187,314,306,378,131,646,"1,045","1,260","1,073",841,699,"1,401","1,146"
2021년07월_여_40~49세,"8,629",235,308,233,212,271,295,68,472,970,"1,205",961,751,780,908,960
2021년07월_여_50~59세,"9,965",152,391,273,249,293,360,77,621,"1,194","1,472","1,197",883,994,884,925
2021년07월_여_60~69세,"8,892",102,431,287,308,264,371,116,511,"1,063","1,452","1,056",683,733,799,716
2021년07월_여_70~79세,"5,668",47,258,198,183,196,249,73,341,670,890,708,471,412,470,502
2021년07월_여_80~89세,"3,024",26,127,101,122,115,118,39,152,346,518,389,223,284,210,254
2021년07월_여_90~99세,584,5,39,18,35,19,17,10,37,62,114,63,29,44,46,46
2021년07월_여_100세 이상,43,1,1,3,7,1,1,0,0,9,1,1,3,6,1,8
