,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년05월_계_총인구수,"3,406,942","41,742","107,868","89,710","115,388","357,190","272,532","271,183","288,986","404,459","317,747","236,596","131,557","209,873","176,886","216,083","169,142"
2020년05월_계_연령구간인구수,"3,406,942","41,742","107,868","89,710","115,388","357,190","272,532","271,183","288,986","404,459","317,747","236,596","131,557","209,873","176,886","216,083","169,142"
2020년05월_계_0~9세,"239,265","1,426","5,632","4,248","5,552","21,741","20,152","18,831","19,941","29,280","21,223","13,700","19,397","15,178","10,538","13,258","19,168"
2020년05월_계_10~19세,"277,678","2,170","7,357","5,322","7,712","25,535","25,233","23,760","24,389","38,919","26,391","18,497","10,799","16,737","12,130","15,735","16,992"
2020년05월_계_20~29세,"434,981","5,551","13,560","10,678","12,287","51,763","33,527","35,486","38,880","49,907","41,069","33,957","11,890","26,396","24,226","29,555","16,249"
2020년05월_계_30~39세,"428,546","4,517","11,420","10,588","11,199","47,513","33,999","31,536","34,950","47,846","38,949","26,322","26,427","27,921","24,144","26,270","24,945"
2020년05월_계_40~49세,"515,035","5,589","14,658","12,254","15,663","51,579","43,425","42,639","41,557","66,732","47,219","32,941","21,895","32,001","25,650","30,192","31,041"
2020년05월_계_50~59세,"578,102","7,194","18,320","15,062","20,208","59,096","45,156","43,620","55,652","71,010","56,417","41,820","16,510","34,610","27,883","42,442","23,102"
2020년05월_계_60~69세,"516,063","7,770","18,580","15,786","21,703","54,219","40,010","40,243","43,774","56,004","49,794","37,991","14,947","31,672","27,915","35,558","20,097"
2020년05월_계_70~79세,"289,080","5,026","12,264","10,636","14,531","31,498","21,884","24,667","20,857","30,431","25,832","21,525","6,626","17,818","16,938","16,672","11,875"
2020년05월_계_80~89세,"111,671","2,057","5,217","4,465","5,667","12,520","7,949","9,136","7,872","12,508","9,402","8,524","2,590","6,627","6,528","5,687","4,922"
2020년05월_계_90~99세,"14,679",361,741,572,736,"1,499","1,064","1,131","1,014","1,664","1,286","1,122",432,832,871,647,707
2020년05월_계_100세 이상,"1,842",81,119,99,130,227,133,134,100,158,165,197,44,81,63,67,44
2020년05월_남_총인구수,"1,670,175","20,457","52,319","44,007","56,867","172,803","132,867","132,724","143,042","194,943","158,447","115,716","68,009","101,258","83,672","109,279","83,765"
2020년05월_남_연령구간인구수,"1,670,175","20,457","52,319","44,007","56,867","172,803","132,867","132,724","143,042","194,943","158,447","115,716","68,009","101,258","83,672","109,279","83,765"
2020년05월_남_0~9세,"122,725",752,"2,924","2,245","2,796","11,046","10,401","9,600","10,249","15,227","10,869","7,045","9,975","7,723","5,407","6,729","9,737"
2020년05월_남_10~19세,"143,643","1,107","3,710","2,764","3,987","13,020","13,235","12,252","12,710","20,070","13,759","9,499","5,510","8,636","6,245","8,237","8,902"
2020년05월_남_20~29세,"227,181","2,785","6,735","5,389","6,710","25,582","17,595","18,806","20,855","26,084","22,076","18,396","6,369","13,442","11,842","15,886","8,629"
2020년05월_남_30~39세,"218,979","2,435","5,908","5,696","6,021","24,187","17,096","16,128","18,077","23,311","20,593","13,600","13,518","13,971","12,050","14,084","12,304"
2020년05월_남_40~49세,"259,122","3,040","7,580","6,570","8,232","26,057","21,149","21,332","20,547","31,684","24,125","16,405","12,276","15,705","12,612","15,756","16,052"
2020년05월_남_50~59세,"280,256","3,607","9,367","7,626","10,261","28,603","21,406","21,236","26,633","33,807","27,560","19,828","8,480","16,326","12,706","21,167","11,643"
2020년05월_남_60~69세,"244,676","3,662","8,665","7,490","10,371","25,556","18,648","18,566","21,598","26,512","24,082","17,758","7,630","14,613","12,479","17,714","9,332"
2020년05월_남_70~79세,"130,137","2,193","5,343","4,494","6,305","13,840","10,091","11,064","9,546","13,418","11,865","9,803","3,291","8,121","7,641","7,738","5,384"
2020년05월_남_80~89세,"39,851",761,"1,877","1,547","2,013","4,513","2,985","3,470","2,607","4,418","3,232","3,069",872,"2,510","2,470","1,857","1,650"
2020년05월_남_90~99세,"3,198",97,177,156,138,352,238,246,199,370,251,272,76,191,207,103,125
2020년05월_남_100세 이상,407,18,33,30,33,47,23,24,21,42,35,41,12,20,13,8,7
2020년05월_여_총인구수,"1,736,767","21,285","55,549","45,703","58,521","184,387","139,665","138,459","145,944","209,516","159,300","120,880","63,548","108,615","93,214","106,804","85,377"
2020년05월_여_연령구간인구수,"1,736,767","21,285","55,549","45,703","58,521","184,387","139,665","138,459","145,944","209,516","159,300","120,880","63,548","108,615","93,214","106,804","85,377"
2020년05월_여_0~9세,"116,540",674,"2,708","2,003","2,756","10,695","9,751","9,231","9,692","14,053","10,354","6,655","9,422","7,455","5,131","6,529","9,431"
2020년05월_여_10~19세,"134,035","1,063","3,647","2,558","3,725","12,515","11,998","11,508","11,679","18,849","12,632","8,998","5,289","8,101","5,885","7,498","8,090"
2020년05월_여_20~29세,"207,800","2,766","6,825","5,289","5,577","26,181","15,932","16,680","18,025","23,823","18,993","15,561","5,521","12,954","12,384","13,669","7,620"
2020년05월_여_30~39세,"209,567","2,082","5,512","4,892","5,178","23,326","16,903","15,408","16,873","24,535","18,356","12,722","12,909","13,950","12,094","12,186","12,641"
2020년05월_여_40~49세,"255,913","2,549","7,078","5,684","7,431","25,522","22,276","21,307","21,010","35,048","23,094","16,536","9,619","16,296","13,038","14,436","14,989"
2020년05월_여_50~59세,"297,846","3,587","8,953","7,436","9,947","30,493","23,750","22,384","29,019","37,203","28,857","21,992","8,030","18,284","15,177","21,275","11,459"
2020년05월_여_60~69세,"271,387","4,108","9,915","8,296","11,332","28,663","21,362","21,677","22,176","29,492","25,712","20,233","7,317","17,059","15,436","17,844","10,765"
2020년05월_여_70~79세,"158,943","2,833","6,921","6,142","8,226","17,658","11,793","13,603","11,311","17,013","13,967","11,722","3,335","9,697","9,297","8,934","6,491"
2020년05월_여_80~89세,"71,820","1,296","3,340","2,918","3,654","8,007","4,964","5,666","5,265","8,090","6,170","5,455","1,718","4,117","4,058","3,830","3,272"
2020년05월_여_90~99세,"11,481",264,564,416,598,"1,147",826,885,815,"1,294","1,035",850,356,641,664,544,582
2020년05월_여_100세 이상,"1,435",63,86,69,97,180,110,110,79,116,130,156,32,61,50,59,37
