카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년07월_계_총인구수,"654,678","352,898","24,815","23,953","32,823","32,869","41,105","37,513","26,487","19,867","21,779","38,354","26,541","17,722","9,070","301,780","38,669","21,724","25,159","44,083","6,156","18,303","22,642","47,169","17,912","16,120","34,840","9,003"
2021년07월_계_연령구간인구수,"654,678","352,898","24,815","23,953","32,823","32,869","41,105","37,513","26,487","19,867","21,779","38,354","26,541","17,722","9,070","301,780","38,669","21,724","25,159","44,083","6,156","18,303","22,642","47,169","17,912","16,120","34,840","9,003"
2021년07월_계_0~9세,"42,976","22,765","1,639","1,039","1,709","2,410","4,423","2,481","1,489",904,"1,404","2,144","1,634","1,045",444,"20,211","2,513","1,124","1,534","3,379",282,"1,278","1,557","3,739","1,309",864,"2,320",312
2021년07월_계_10~19세,"62,523","33,765","2,403","1,556","2,751","3,498","5,171","3,912","2,685","1,658","2,067","3,585","2,477","1,251",751,"28,758","3,803","1,832","2,087","5,136",315,"1,742","2,457","4,622","1,421","1,492","3,488",363
2021년07월_계_20~29세,"106,442","58,579","3,767","4,364","6,010","5,345","7,102","5,894","4,356","3,486","3,383","7,073","4,557","2,139","1,103","47,863","6,004","4,142","5,230","7,427",453,"2,704","3,087","7,387","2,674","2,410","5,622",723
2021년07월_계_30~39세,"85,231","44,160","3,004","3,740","4,581","4,190","5,718","4,438","2,938","2,416","2,388","4,437","3,280","2,091",939,"41,071","4,966","3,128","3,933","5,524",628,"2,461","2,847","7,290","3,005","1,798","4,823",668
2021년07월_계_40~49세,"105,664","56,667","4,381","3,871","5,379","5,392","7,148","6,696","4,188","2,975","3,506","5,771","3,464","2,588","1,308","48,997","6,957","3,175","3,631","7,096",954,"2,767","3,985","8,020","2,709","2,731","5,993",979
2021년07월_계_50~59세,"127,599","69,120","4,697","4,492","6,362","6,337","6,815","7,369","5,480","4,190","4,702","8,073","5,569","3,185","1,849","58,479","7,590","4,092","4,460","8,883","1,582","3,651","4,342","8,288","3,300","3,566","6,778","1,947"
2021년07월_계_60~69세,"76,874","40,933","2,748","2,851","3,122","3,623","3,432","3,947","3,099","2,445","2,599","4,629","3,701","3,111","1,626","35,941","4,194","2,569","2,957","4,620","1,066","2,491","2,809","4,800","2,258","2,046","3,831","2,300"
2021년07월_계_70~79세,"30,015","16,911","1,432","1,335","1,553","1,300",861,"1,785","1,420","1,114","1,074","1,619","1,133","1,597",688,"13,104","1,703","1,080",851,"1,247",587,859,"1,002","1,894",784,788,"1,239","1,070"
2021년07월_계_80~89세,"15,061","8,663",643,606,"1,148",671,368,882,730,615,590,894,585,616,315,"6,398",820,525,397,651,265,308,475,965,395,376,668,553
2021년07월_계_90~99세,"2,200","1,284",97,94,196,100,67,109,97,64,63,123,132,96,46,916,113,56,74,118,24,33,77,159,56,47,76,83
2021년07월_계_100세 이상,93,51,4,5,12,3,0,0,5,0,3,6,9,3,1,42,6,1,5,2,0,9,4,5,1,2,2,5
2021년07월_남_총인구수,"335,750","180,042","12,662","12,800","17,262","16,614","20,719","19,404","13,123","9,936","11,221","19,604","13,010","8,930","4,757","155,708","20,444","10,866","12,538","22,154","3,533","9,253","12,164","24,208","9,189","8,728","17,884","4,747"
2021년07월_남_연령구간인구수,"335,750","180,042","12,662","12,800","17,262","16,614","20,719","19,404","13,123","9,936","11,221","19,604","13,010","8,930","4,757","155,708","20,444","10,866","12,538","22,154","3,533","9,253","12,164","24,208","9,189","8,728","17,884","4,747"
2021년07월_남_0~9세,"21,949","11,581",828,512,895,"1,252","2,168","1,281",747,473,721,"1,108",851,519,226,"10,368","1,295",559,799,"1,713",142,648,808,"1,921",692,429,"1,175",187
2021년07월_남_10~19세,"32,181","17,291","1,172",808,"1,450","1,792","2,629","2,043","1,316",831,"1,020","1,893","1,290",657,390,"14,890","2,013",956,"1,048","2,673",163,885,"1,260","2,355",743,797,"1,803",194
