,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년11월_계_총인구수,"3,341,063","1,037,161","262,743","215,143","174,933","191,730","192,612","347,795","128,595","111,234","542,350","104,868","245,956","351,797","26,818","64,235","61,400","51,442","43,033","44,911","34,895","39,076","61,409","44,088"
2020년11월_계_연령구간인구수,"3,341,063","1,037,161","262,743","215,143","174,933","191,730","192,612","347,795","128,595","111,234","542,350","104,868","245,956","351,797","26,818","64,235","61,400","51,442","43,033","44,911","34,895","39,076","61,409","44,088"
2020년11월_계_0~9세,"270,050","83,759","21,588","16,673","12,519","13,526","19,453","28,478","9,747","8,206","49,497","5,627","26,935","34,757","1,090","4,123","3,251","2,592","1,587","1,862","1,348","1,810","3,769","1,612"
2020년11월_계_10~19세,"324,645","99,905","23,664","23,219","13,727","18,323","20,972","35,215","12,849","10,309","61,489","7,867","27,943","34,263","1,539","5,976","4,132","4,148","2,984","2,896","2,076","2,973","5,613","2,468"
2020년11월_계_20~29세,"378,918","130,351","36,120","32,460","18,890","22,440","20,441","45,066","11,284","10,789","69,128","9,203","24,439","40,786","2,053","5,528","4,960","3,933","3,301","3,494","2,464","3,112","5,976","3,051"
2020년11월_계_30~39세,"401,183","134,483","35,465","29,510","20,390","21,979","27,139","41,726","13,970","11,954","69,794","8,937","36,877","49,379","1,747","5,659","5,120","3,889","2,480","2,787","2,150","2,629","5,029","2,573"
2020년11월_계_40~49세,"537,107","168,074","41,133","35,915","25,540","30,390","35,096","54,312","21,414","17,839","98,639","12,977","47,624","60,742","2,882","9,418","7,116","6,414","4,617","5,013","3,548","4,420","7,738","4,320"
2020년11월_계_50~59세,"582,736","186,670","50,628","43,520","29,514","34,591","28,417","57,891","22,518","18,490","96,842","18,795","39,199","58,611","4,641","11,286","10,965","9,157","7,376","8,471","6,558","6,956","10,594","7,716"
2020년11월_계_60~69세,"459,656","140,989","34,341","23,625","29,775","29,821","23,427","45,381","20,415","16,439","57,807","21,039","26,358","42,428","5,366","10,951","12,095","9,682","8,277","8,875","7,228","7,242","10,067","9,017"
2020년11월_계_70~79세,"244,909","63,185","13,315","6,824","16,540","14,761","11,745","25,557","11,045","10,660","26,278","12,622","10,815","20,976","4,040","6,694","8,114","6,743","6,703","6,379","5,308","5,508","7,033","7,249"
