카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년05월_계_총인구수,"91,126","14,372","25,858","7,106","4,373","14,246","6,079","5,782","4,680","1,892","1,921","2,735","1,097",985
2021년05월_계_연령구간인구수,"91,126","14,372","25,858","7,106","4,373","14,246","6,079","5,782","4,680","1,892","1,921","2,735","1,097",985
2021년05월_계_0~9세,"6,622",696,"2,781",365,272,"1,624",223,185,235,59,53,73,35,21
2021년05월_계_10~19세,"8,180","1,158","3,367",486,377,"1,333",339,376,275,99,62,218,45,45
2021년05월_계_20~29세,"8,844","1,780","2,655",699,386,"1,360",517,529,364,130,92,208,79,45
2021년05월_계_30~39세,"9,087","1,209","3,273",565,323,"2,177",416,364,348,98,83,125,57,49
2021년05월_계_40~49세,"13,356","2,044","4,734",912,625,"2,499",585,575,527,193,182,305,94,81
2021년05월_계_50~59세,"15,166","2,466","3,665","1,306",800,"2,164","1,183","1,178",840,325,361,458,250,170
2021년05월_계_60~69세,"14,327","2,387","2,683","1,341",771,"1,603","1,370","1,281",894,408,484,560,292,253
2021년05월_계_70~79세,"9,297","1,537","1,673",872,516,959,855,764,694,323,356,433,136,179
2021년05월_계_80~89세,"5,393",954,874,485,257,459,522,462,427,208,221,300,94,130
2021년05월_계_90~99세,824,138,149,71,43,65,65,66,75,48,26,52,15,11
2021년05월_계_100세 이상,30,3,4,4,3,3,4,2,1,1,1,3,0,1
2021년05월_남_총인구수,"46,841","7,403","13,480","3,681","2,252","7,168","3,160","2,898","2,383",962,962,"1,434",557,501
2021년05월_남_연령구간인구수,"46,841","7,403","13,480","3,681","2,252","7,168","3,160","2,898","2,383",962,962,"1,434",557,501
2021년05월_남_0~9세,"3,301",337,"1,426",171,141,800,107,84,115,30,25,38,19,8
2021년05월_남_10~19세,"4,278",575,"1,760",264,195,679,191,190,165,53,40,122,21,23
2021년05월_남_20~29세,"4,942",976,"1,540",412,225,687,296,279,218,70,47,117,43,32
2021년05월_남_30~39세,"4,709",708,"1,632",292,169,"1,077",238,180,187,51,54,68,25,28
2021년05월_남_40~49세,"7,351","1,119","2,579",507,323,"1,337",354,308,312,113,112,174,61,52
2021년05월_남_50~59세,"8,458","1,431","2,059",757,455,"1,150",638,625,455,186,198,286,129,89
2021년05월_남_60~69세,"7,460","1,203","1,376",696,396,823,718,703,468,219,250,307,167,134
2021년05월_남_70~79세,"4,328",699,779,393,245,445,424,370,306,158,154,210,65,80
2021년05월_남_80~89세,"1,831",325,295,167,98,150,184,148,137,74,78,101,22,52
2021년05월_남_90~99세,177,28,32,22,5,20,9,11,19,8,4,11,5,3
2021년05월_남_100세 이상,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021년05월_여_총인구수,"44,285","6,969","12,378","3,425","2,121","7,078","2,919","2,884","2,297",930,959,"1,301",540,484
2021년05월_여_연령구간인구수,"44,285","6,969","12,378","3,425","2,121","7,078","2,919","2,884","2,297",930,959,"1,301",540,484
2021년05월_여_0~9세,"3,321",359,"1,355",194,131,824,116,101,120,29,28,35,16,13
2021년05월_여_10~19세,"3,902",583,"1,607",222,182,654,148,186,110,46,22,96,24,22
2021년05월_여_20~29세,"3,902",804,"1,115",287,161,673,221,250,146,60,45,91,36,13
2021년05월_여_30~39세,"4,378",501,"1,641",273,154,"1,100",178,184,161,47,29,57,32,21
2021년05월_여_40~49세,"6,005",925,"2,155",405,302,"1,162",231,267,215,80,70,131,33,29
2021년05월_여_50~59세,"6,708","1,035","1,606",549,345,"1,014",545,553,385,139,163,172,121,81
2021년05월_여_60~69세,"6,867","1,184","1,307",645,375,780,652,578,426,189,234,253,125,119
2021년05월_여_70~79세,"4,969",838,894,479,271,514,431,394,388,165,202,223,71,99
2021년05월_여_80~89세,"3,562",629,579,318,159,309,338,314,290,134,143,199,72,78
2021년05월_여_90~99세,647,110,117,49,38,45,56,55,56,40,22,41,10,8
2021년05월_여_100세 이상,24,1,2,4,3,3,3,2,0,1,1,3,0,1
