카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년12월_계_총인구수,"38,938","4,222",242,"5,813",242,224,"1,480",316,"3,149","2,253","3,553","2,520",221,"2,314",475,226,502,322,"1,770","1,544","1,565","2,713",275,974,"2,023"
2020년12월_계_연령구간인구수,"38,938","4,222",242,"5,813",242,224,"1,480",316,"3,149","2,253","3,553","2,520",221,"2,314",475,226,502,322,"1,770","1,544","1,565","2,713",275,974,"2,023"
2020년12월_계_0~9세,"1,560",144,5,218,9,13,43,6,175,81,141,105,9,73,13,14,31,12,78,70,72,121,11,19,97
2020년12월_계_10~19세,"2,040",226,5,283,5,6,49,11,221,98,212,221,5,121,30,14,30,19,108,99,67,98,8,31,73
2020년12월_계_20~29세,"2,779",280,13,511,9,6,105,21,226,139,215,165,7,206,67,16,52,32,117,130,84,195,16,45,122
2020년12월_계_30~39세,"2,682",265,16,416,16,11,97,18,212,139,226,166,13,191,54,12,53,25,119,119,109,179,33,63,130
2020년12월_계_40~49세,"4,324",452,15,647,22,21,186,37,399,209,419,274,32,302,80,28,93,42,195,218,156,221,25,79,172
2020년12월_계_50~59세,"7,042",768,55,"1,112",39,36,296,66,566,431,630,384,60,444,95,45,102,63,314,282,238,459,47,144,366
2020년12월_계_60~69세,"7,641",846,52,"1,242",63,47,234,72,585,450,693,458,45,395,71,46,69,65,336,280,335,549,64,222,422
2020년12월_계_70~79세,"6,406",738,41,821,55,55,291,58,507,429,626,417,30,322,40,25,42,42,287,205,292,477,43,219,344
2020년12월_계_80~89세,"3,950",439,39,488,22,27,162,26,240,253,344,299,17,214,24,23,30,17,194,124,188,353,25,135,267
2020년12월_계_90~99세,496,63,1,71,2,2,17,1,18,23,47,30,2,41,1,3,0,5,22,15,22,60,3,17,30
2020년12월_계_100세 이상,18,1,0,4,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2020년12월_남_총인구수,"20,769","2,203",128,"3,136",124,130,807,183,"1,677","1,189","1,865","1,292",128,"1,287",309,126,288,192,942,849,819,"1,411",151,486,"1,047"
2020년12월_남_연령구간인구수,"20,769","2,203",128,"3,136",124,130,807,183,"1,677","1,189","1,865","1,292",128,"1,287",309,126,288,192,942,849,819,"1,411",151,486,"1,047"
2020년12월_남_0~9세,795,82,2,114,4,11,21,2,83,44,74,54,6,31,8,6,14,5,33,30,38,62,6,10,55
2020년12월_남_10~19세,"1,057",107,1,131,2,4,25,9,119,52,101,106,3,73,18,9,20,10,62,54,28,57,6,17,43
2020년12월_남_20~29세,"1,679",177,10,290,6,4,64,11,140,81,114,103,3,128,48,9,24,21,76,75,53,116,12,37,77
2020년12월_남_30~39세,"1,710",161,9,272,11,9,70,16,129,97,140,108,6,124,43,9,40,14,67,70,69,106,22,39,79
2020년12월_남_40~49세,"2,899",295,11,418,17,16,135,27,273,134,267,163,25,217,60,23,66,34,129,153,110,150,15,51,110
2020년12월_남_50~59세,"4,277",463,37,641,23,23,196,44,341,249,390,227,41,281,68,29,62,45,198,174,152,286,23,75,209
2020년12월_남_60~69세,"4,208",469,33,696,35,24,123,34,312,238,374,257,24,229,41,26,35,38,183,164,174,306,36,123,234
2020년12월_남_70~79세,"2,881",311,13,388,19,26,120,31,217,195,292,192,17,133,15,11,20,22,140,98,134,209,24,98,156
2020년12월_남_80~89세,"1,166",128,12,172,6,12,50,9,61,93,106,76,3,68,8,3,7,2,49,26,56,106,5,34,74
2020년12월_남_90~99세,92,10,0,13,1,1,3,0,2,6,7,6,0,2,0,1,0,1,5,4,4,12,2,2,10
2020년12월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020년12월_여_총인구수,"18,169","2,019",114,"2,677",118,94,673,133,"1,472","1,064","1,688","1,228",93,"1,027",166,100,214,130,828,695,746,"1,302",124,488,976
2020년12월_여_연령구간인구수,"18,169","2,019",114,"2,677",118,94,673,133,"1,472","1,064","1,688","1,228",93,"1,027",166,100,214,130,828,695,746,"1,302",124,488,976
2020년12월_여_0~9세,765,62,3,104,5,2,22,4,92,37,67,51,3,42,5,8,17,7,45,40,34,59,5,9,42
2020년12월_여_10~19세,983,119,4,152,3,2,24,2,102,46,111,115,2,48,12,5,10,9,46,45,39,41,2,14,30
2020년12월_여_20~29세,"1,100",103,3,221,3,2,41,10,86,58,101,62,4,78,19,7,28,11,41,55,31,79,4,8,45
2020년12월_여_30~39세,972,104,7,144,5,2,27,2,83,42,86,58,7,67,11,3,13,11,52,49,40,73,11,24,51
2020년12월_여_40~49세,"1,425",157,4,229,5,5,51,10,126,75,152,111,7,85,20,5,27,8,66,65,46,71,10,28,62
2020년12월_여_50~59세,"2,765",305,18,471,16,13,100,22,225,182,240,157,19,163,27,16,40,18,116,108,86,173,24,69,157
2020년12월_여_60~69세,"3,433",377,19,546,28,23,111,38,273,212,319,201,21,166,30,20,34,27,153,116,161,243,28,99,188
2020년12월_여_70~79세,"3,525",427,28,433,36,29,171,27,290,234,334,225,13,189,25,14,22,20,147,107,158,268,19,121,188
2020년12월_여_80~89세,"2,784",311,27,316,16,15,112,17,179,160,238,223,14,146,16,20,23,15,145,98,132,247,20,101,193
2020년12월_여_90~99세,404,53,1,58,1,1,14,1,16,17,40,24,2,39,1,2,0,4,17,11,18,48,1,15,20
2020년12월_여_100세 이상,13,1,0,3,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0
