카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년05월_계_총인구수,"129,997","4,798","12,888","2,943","31,243","2,060","2,062","1,509","9,056","3,106","4,161","9,161","10,818","11,573","10,566","14,053"
2020년05월_계_연령구간인구수,"129,997","4,798","12,888","2,943","31,243","2,060","2,062","1,509","9,056","3,106","4,161","9,161","10,818","11,573","10,566","14,053"
2020년05월_계_0~9세,"10,343",137,"1,369",71,"4,041",53,37,19,437,107,139,523,743,977,557,"1,133"
2020년05월_계_10~19세,"12,941",214,"1,442",132,"3,949",102,59,38,831,194,243,668,995,"1,422",984,"1,668"
2020년05월_계_20~29세,"11,494",332,"1,107",178,"2,721",119,92,72,923,236,306,731,"1,010","1,074",981,"1,612"
2020년05월_계_30~39세,"14,829",346,"1,560",160,"5,024",128,93,79,785,200,306,948,"1,206","1,254","1,031","1,709"
2020년05월_계_40~49세,"21,616",576,"2,291",286,"6,410",276,196,121,"1,319",386,572,"1,374","1,620","2,020","1,546","2,623"
2020년05월_계_50~59세,"22,829",972,"2,138",534,"4,479",424,346,322,"1,749",620,857,"1,847","1,883","2,049","2,097","2,512"
2020년05월_계_60~69세,"19,630","1,020","1,549",728,"2,787",463,458,363,"1,590",665,903,"1,744","1,959","1,749","1,862","1,790"
2020년05월_계_70~79세,"11,065",732,916,538,"1,247",309,462,282,"1,002",492,585,962,"1,009",733,"1,046",750
2020년05월_계_80~89세,"4,607",408,442,280,509,168,288,190,371,180,226,324,337,260,399,225
2020년05월_계_90~99세,616,59,73,36,76,18,29,21,46,24,23,37,51,34,59,30
2020년05월_계_100세 이상,27,2,1,0,0,0,2,2,3,2,1,3,5,1,4,1
2020년05월_남_총인구수,"65,363","2,532","6,450","1,515","15,803","1,134","1,047",754,"4,512","1,533","2,051","4,682","5,219","5,696","5,414","7,021"
2020년05월_남_연령구간인구수,"65,363","2,532","6,450","1,515","15,803","1,134","1,047",754,"4,512","1,533","2,051","4,682","5,219","5,696","5,414","7,021"
2020년05월_남_0~9세,"5,203",65,670,38,"2,056",26,16,10,211,43,62,261,377,512,259,597
2020년05월_남_10~19세,"6,712",110,741,74,"2,041",65,30,18,394,92,119,349,518,732,528,901
2020년05월_남_20~29세,"6,318",205,584,109,"1,445",64,54,51,544,140,168,411,560,579,564,840
2020년05월_남_30~39세,"7,673",197,748,90,"2,460",89,55,54,435,102,180,537,643,603,573,907
2020년05월_남_40~49세,"11,707",375,"1,239",195,"3,403",174,130,72,716,237,349,824,817,"1,043",857,"1,276"
2020년05월_남_50~59세,"11,630",572,"1,105",304,"2,292",249,225,182,882,331,437,911,836,984,"1,103","1,217"
2020년05월_남_60~69세,"9,607",549,799,355,"1,389",237,245,198,768,325,418,829,857,867,924,847
2020년05월_남_70~79세,"4,978",334,394,257,557,168,201,117,432,200,239,451,474,311,472,371
2020년05월_남_80~89세,"1,415",117,152,88,148,60,85,49,125,57,72,103,125,57,116,61
2020년05월_남_90~99세,112,8,17,5,12,2,6,3,4,6,7,6,9,7,17,3
2020년05월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년05월_여_총인구수,"64,634","2,266","6,438","1,428","15,440",926,"1,015",755,"4,544","1,573","2,110","4,479","5,599","5,877","5,152","7,032"
2020년05월_여_연령구간인구수,"64,634","2,266","6,438","1,428","15,440",926,"1,015",755,"4,544","1,573","2,110","4,479","5,599","5,877","5,152","7,032"
2020년05월_여_0~9세,"5,140",72,699,33,"1,985",27,21,9,226,64,77,262,366,465,298,536
2020년05월_여_10~19세,"6,229",104,701,58,"1,908",37,29,20,437,102,124,319,477,690,456,767
2020년05월_여_20~29세,"5,176",127,523,69,"1,276",55,38,21,379,96,138,320,450,495,417,772
2020년05월_여_30~39세,"7,156",149,812,70,"2,564",39,38,25,350,98,126,411,563,651,458,802
2020년05월_여_40~49세,"9,909",201,"1,052",91,"3,007",102,66,49,603,149,223,550,803,977,689,"1,347"
2020년05월_여_50~59세,"11,199",400,"1,033",230,"2,187",175,121,140,867,289,420,936,"1,047","1,065",994,"1,295"
2020년05월_여_60~69세,"10,023",471,750,373,"1,398",226,213,165,822,340,485,915,"1,102",882,938,943
2020년05월_여_70~79세,"6,087",398,522,281,690,141,261,165,570,292,346,511,535,422,574,379
2020년05월_여_80~89세,"3,192",291,290,192,361,108,203,141,246,123,154,221,212,203,283,164
2020년05월_여_90~99세,504,51,56,31,64,16,23,18,42,18,16,31,42,27,42,27
2020년05월_여_100세 이상,19,2,0,0,0,0,2,2,2,2,1,3,2,0,3,0
