,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년10월_계_총인구수,"149,703","12,446","9,538","2,673","10,018","18,422","8,591","10,470","4,319","7,215","5,316","7,642","16,872","5,174","8,335","6,932","6,100","9,640"
2020년10월_계_연령구간인구수,"149,703","12,446","9,538","2,673","10,018","18,422","8,591","10,470","4,319","7,215","5,316","7,642","16,872","5,174","8,335","6,932","6,100","9,640"
2020년10월_계_0~9세,"7,661",841,576,103,557,"1,196",707,874,211,187,121,246,708,135,245,393,292,269
2020년10월_계_10~19세,"11,115","1,159",703,193,932,"1,649","1,020",856,339,207,252,429,"1,359",243,512,542,364,356
2020년10월_계_20~29세,"23,366","1,601","1,234",335,"1,358","2,462",937,"1,259",488,849,"1,102","1,691","4,459",614,"1,174",955,807,"2,041"
2020년10월_계_30~39세,"20,035","1,704","1,436",354,"1,226","2,239",955,"1,749",571,927,712,"1,242","2,105",540,906,967,839,"1,563"
2020년10월_계_40~49세,"22,317","2,150","1,476",380,"1,620","2,783","1,527","1,833",766,954,600,996,"2,309",647,"1,111",962,947,"1,256"
2020년10월_계_50~59세,"25,571","1,984","1,561",423,"1,727","3,290","1,424","1,618",696,"1,357",971,"1,120","2,317","1,143","1,843","1,286","1,134","1,677"
2020년10월_계_60~69세,"19,823","1,385","1,202",413,"1,311","2,482",999,"1,146",573,"1,391",768,940,"1,609","1,023","1,355",988,899,"1,339"
2020년10월_계_70~79세,"12,535","1,005",780,281,806,"1,377",646,740,444,847,532,608,"1,254",549,814,545,546,761
2020년10월_계_80~89세,"5,932",525,459,152,392,761,309,325,183,364,209,312,633,224,312,236,226,310
2020년10월_계_90~99세,"1,076",72,91,33,77,160,48,55,38,91,40,44,98,47,50,46,36,50
2020년10월_계_100세 이상,272,20,20,6,12,23,19,15,10,41,9,14,21,9,13,12,10,18
2020년10월_남_총인구수,"72,847","5,794","4,260","1,293","4,763","8,589","4,005","4,849","1,998","4,335","2,883","3,596","8,141","2,800","4,289","3,392","2,967","4,893"
2020년10월_남_연령구간인구수,"72,847","5,794","4,260","1,293","4,763","8,589","4,005","4,849","1,998","4,335","2,883","3,596","8,141","2,800","4,289","3,392","2,967","4,893"
2020년10월_남_0~9세,"3,875",439,289,47,278,618,323,446,106,101,60,124,344,68,140,208,149,135
2020년10월_남_10~19세,"5,554",610,318,113,504,831,472,400,184,108,128,204,684,129,260,265,169,175
2020년10월_남_20~29세,"11,498",793,563,183,703,"1,258",427,597,225,439,569,781,"2,207",342,638,510,412,851
2020년10월_남_30~39세,"9,957",796,614,171,582,"1,040",435,810,267,518,419,599,"1,118",309,529,467,431,852
2020년10월_남_40~49세,"10,871",960,651,185,750,"1,229",723,870,364,591,349,510,"1,106",331,577,467,499,709
2020년10월_남_50~59세,"12,835",927,698,209,780,"1,480",742,775,319,960,555,544,"1,122",640,978,627,559,920
2020년10월_남_60~69세,"9,847",621,558,189,622,"1,184",459,504,265,890,441,451,768,599,679,488,416,713
2020년10월_남_70~79세,"5,562",399,338,132,360,603,264,299,181,504,253,253,505,277,338,245,231,380
2020년10월_남_80~89세,"2,382",219,190,49,158,297,131,128,76,171,91,109,250,83,127,85,87,131
2020년10월_남_90~99세,373,27,36,14,22,41,15,15,7,41,14,18,30,21,21,20,10,21
2020년10월_남_100세 이상,93,3,5,1,4,8,14,5,4,12,4,3,7,1,2,10,4,6
2020년10월_여_총인구수,"76,856","6,652","5,278","1,380","5,255","9,833","4,586","5,621","2,321","2,880","2,433","4,046","8,731","2,374","4,046","3,540","3,133","4,747"
2020년10월_여_연령구간인구수,"76,856","6,652","5,278","1,380","5,255","9,833","4,586","5,621","2,321","2,880","2,433","4,046","8,731","2,374","4,046","3,540","3,133","4,747"
2020년10월_여_0~9세,"3,786",402,287,56,279,578,384,428,105,86,61,122,364,67,105,185,143,134
2020년10월_여_10~19세,"5,561",549,385,80,428,818,548,456,155,99,124,225,675,114,252,277,195,181
2020년10월_여_20~29세,"11,868",808,671,152,655,"1,204",510,662,263,410,533,910,"2,252",272,536,445,395,"1,190"
2020년10월_여_30~39세,"10,078",908,822,183,644,"1,199",520,939,304,409,293,643,987,231,377,500,408,711
2020년10월_여_40~49세,"11,446","1,190",825,195,870,"1,554",804,963,402,363,251,486,"1,203",316,534,495,448,547
2020년10월_여_50~59세,"12,736","1,057",863,214,947,"1,810",682,843,377,397,416,576,"1,195",503,865,659,575,757
2020년10월_여_60~69세,"9,976",764,644,224,689,"1,298",540,642,308,501,327,489,841,424,676,500,483,626
2020년10월_여_70~79세,"6,973",606,442,149,446,774,382,441,263,343,279,355,749,272,476,300,315,381
2020년10월_여_80~89세,"3,550",306,269,103,234,464,178,197,107,193,118,203,383,141,185,151,139,179
2020년10월_여_90~99세,703,45,55,19,55,119,33,40,31,50,26,26,68,26,29,26,26,29
2020년10월_여_100세 이상,179,17,15,5,8,15,5,10,6,29,5,11,14,8,11,2,6,12
