카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년11월_계_총인구수,"463,265","32,719","38,941","10,130","25,869","17,523","24,570","22,184","34,475","15,167","17,941","26,780","33,182","26,545","19,955","23,617","23,126","45,698",134,"24,709"
2021년11월_계_연령구간인구수,"463,265","32,719","38,941","10,130","25,869","17,523","24,570","22,184","34,475","15,167","17,941","26,780","33,182","26,545","19,955","23,617","23,126","45,698",134,"24,709"
2021년11월_계_0~9세,"34,498","3,020","5,038",860,"2,166","1,104","2,712","2,496","2,005","1,361","1,852","1,316","1,606","1,252","1,501",997,"1,168","2,366",3,"1,675"
2021년11월_계_10~19세,"38,911","3,637","4,050","1,305","2,441","2,471","3,533","1,989","2,524","1,022","1,936","1,693","1,727","1,226","1,661","1,126","1,709","2,814",6,"2,041"
2021년11월_계_20~29세,"60,711","3,581","3,908","1,508","3,050","2,258","2,217","2,260","4,725","1,861","1,915","3,667","4,915","4,419","2,748","3,790","3,566","6,964",16,"3,343"
2021년11월_계_30~39세,"71,327","4,652","5,906","1,379","3,971","1,927","2,946","3,704","4,960","2,813","2,349","3,923","6,085","4,870","3,168","4,201","3,455","7,391",13,"3,614"
2021년11월_계_40~49세,"74,925","5,329","7,419","1,550","4,210","3,070","5,305","3,947","5,386","2,387","3,260","3,934","4,796","3,738","3,283","3,287","3,546","6,784",25,"3,669"
2021년11월_계_50~59세,"71,856","4,706","5,427","1,510","3,986","2,713","3,374","3,236","5,892","2,253","2,678","4,493","5,340","4,138","3,017","3,755","3,938","7,281",20,"4,099"
2021년11월_계_60~69세,"66,446","4,563","4,884","1,030","3,707","2,560","2,797","2,922","5,142","1,967","2,419","4,534","5,001","4,012","2,677","3,731","3,371","7,320",30,"3,779"
2021년11월_계_70~79세,"31,427","2,202","1,725",622,"1,645","1,013","1,099","1,155","2,733","1,077","1,091","2,286","2,637","2,047","1,351","1,914","1,700","3,409",12,"1,709"
2021년11월_계_80~89세,"11,217",858,488,306,574,319,443,401,964,381,371,800,948,746,474,726,588,"1,177",4,649
2021년11월_계_90~99세,"1,831",166,92,56,116,85,116,72,137,43,65,130,126,91,73,81,80,182,4,116
2021년11월_계_100세 이상,116,5,4,4,3,3,28,2,7,2,5,4,1,6,2,9,5,10,1,15
2021년11월_남_총인구수,"227,436","15,712","19,233","4,758","12,583","8,603","12,470","11,187","17,107","7,358","8,797","13,146","16,302","12,936","9,644","11,643","11,388","22,333",76,"12,160"
2021년11월_남_연령구간인구수,"227,436","15,712","19,233","4,758","12,583","8,603","12,470","11,187","17,107","7,358","8,797","13,146","16,302","12,936","9,644","11,643","11,388","22,333",76,"12,160"
2021년11월_남_0~9세,"17,924","1,592","2,605",421,"1,097",564,"1,446","1,289","1,016",708,948,655,838,668,803,524,616,"1,242",2,890
2021년11월_남_10~19세,"20,545","1,864","2,074",673,"1,294","1,371","2,001","1,062","1,301",510,"1,009",896,904,631,833,563,"1,003","1,467",3,"1,086"
2021년11월_남_20~29세,"29,686","1,819","1,998",674,"1,557","1,105","1,194","1,189","2,487",879,975,"1,803","2,245","1,914","1,371","1,726","1,821","3,272",9,"1,648"
2021년11월_남_30~39세,"35,314","2,196","2,701",636,"1,951",928,"1,365","1,768","2,579","1,383","1,070","2,072","3,121","2,409","1,519","2,195","1,790","3,784",8,"1,839"
2021년11월_남_40~49세,"37,491","2,610","3,757",728,"2,004","1,367","2,616","2,032","2,754","1,206","1,609","2,053","2,466","1,926","1,595","1,715","1,726","3,478",11,"1,838"
2021년11월_남_50~59세,"35,301","2,238","2,623",767,"1,936","1,350","1,739","1,647","2,896","1,097","1,309","2,155","2,688","2,146","1,429","1,883","1,892","3,522",12,"1,972"
2021년11월_남_60~69세,"31,281","2,013","2,374",457,"1,700","1,237","1,368","1,419","2,433",891,"1,152","2,116","2,415","1,969","1,227","1,788","1,497","3,434",18,"1,773"
2021년11월_남_70~79세,"15,135","1,042",906,272,803,546,536,601,"1,238",511,551,"1,069","1,232",969,645,920,797,"1,641",7,849
2021년11월_남_80~89세,"4,357",297,181,114,222,120,174,161,375,165,159,311,367,286,202,307,226,452,4,234
2021년11월_남_90~99세,372,40,13,16,18,15,21,18,26,7,12,16,26,17,19,19,18,39,2,30
2021년11월_남_100세 이상,30,1,1,0,1,0,10,1,2,1,3,0,0,1,1,3,2,2,0,1
2021년11월_여_총인구수,"235,829","17,007","19,708","5,372","13,286","8,920","12,100","10,997","17,368","7,809","9,144","13,634","16,880","13,609","10,311","11,974","11,738","23,365",58,"12,549"
2021년11월_여_연령구간인구수,"235,829","17,007","19,708","5,372","13,286","8,920","12,100","10,997","17,368","7,809","9,144","13,634","16,880","13,609","10,311","11,974","11,738","23,365",58,"12,549"
2021년11월_여_0~9세,"16,574","1,428","2,433",439,"1,069",540,"1,266","1,207",989,653,904,661,768,584,698,473,552,"1,124",1,785
2021년11월_여_10~19세,"18,366","1,773","1,976",632,"1,147","1,100","1,532",927,"1,223",512,927,797,823,595,828,563,706,"1,347",3,955
2021년11월_여_20~29세,"31,025","1,762","1,910",834,"1,493","1,153","1,023","1,071","2,238",982,940,"1,864","2,670","2,505","1,377","2,064","1,745","3,692",7,"1,695"
2021년11월_여_30~39세,"36,013","2,456","3,205",743,"2,020",999,"1,581","1,936","2,381","1,430","1,279","1,851","2,964","2,461","1,649","2,006","1,665","3,607",5,"1,775"
2021년11월_여_40~49세,"37,434","2,719","3,662",822,"2,206","1,703","2,689","1,915","2,632","1,181","1,651","1,881","2,330","1,812","1,688","1,572","1,820","3,306",14,"1,831"
2021년11월_여_50~59세,"36,555","2,468","2,804",743,"2,050","1,363","1,635","1,589","2,996","1,156","1,369","2,338","2,652","1,992","1,588","1,872","2,046","3,759",8,"2,127"
2021년11월_여_60~69세,"35,165","2,550","2,510",573,"2,007","1,323","1,429","1,503","2,709","1,076","1,267","2,418","2,586","2,043","1,450","1,943","1,874","3,886",12,"2,006"
2021년11월_여_70~79세,"16,292","1,160",819,350,842,467,563,554,"1,495",566,540,"1,217","1,405","1,078",706,994,903,"1,768",5,860
2021년11월_여_80~89세,"6,860",561,307,192,352,199,269,240,589,216,212,489,581,460,272,419,362,725,0,415
2021년11월_여_90~99세,"1,459",126,79,40,98,70,95,54,111,36,53,114,100,74,54,62,62,143,2,86
2021년11월_여_100세 이상,86,4,3,4,2,3,18,1,5,1,2,4,1,5,1,6,3,8,1,14
