,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년11월_계_총인구수,"308,569","24,593","22,260","30,389","27,508","32,093","19,078","16,473","17,587","21,228","21,456","23,516","20,959","31,429"
2020년11월_계_연령구간인구수,"308,569","24,593","22,260","30,389","27,508","32,093","19,078","16,473","17,587","21,228","21,456","23,516","20,959","31,429"
2020년11월_계_0~9세,"15,862","1,317",795,"1,577","1,088","3,017",714,700,966,"1,061","1,076",854,"1,097","1,600"
2020년11월_계_10~19세,"22,203","1,998","1,355","2,081","1,660","4,027","1,103","1,107","1,365","1,373","1,435","1,129","1,416","2,154"
2020년11월_계_20~29세,"42,855","3,150","3,858","4,232","3,694","3,394","3,290","2,194","1,956","3,056","3,014","4,254","2,670","4,093"
2020년11월_계_30~39세,"38,851","3,026","2,913","4,130","3,285","3,885","2,817","1,813","1,754","2,785","2,564","3,403","2,592","3,884"
2020년11월_계_40~49세,"46,964","3,695","3,097","4,654","3,953","6,534","2,942","2,443","2,691","3,022","3,052","3,330","3,025","4,526"
2020년11월_계_50~59세,"52,711","4,384","3,868","5,211","5,077","4,958","3,121","2,793","2,827","3,635","3,772","4,044","3,586","5,435"
2020년11월_계_60~69세,"45,810","3,799","3,322","4,553","4,596","3,350","2,619","2,659","2,662","3,309","3,305","3,382","3,283","4,971"
2020년11월_계_70~79세,"30,097","2,230","2,119","2,812","2,892","2,008","1,776","2,009","2,516","2,009","2,141","2,178","2,181","3,226"
2020년11월_계_80~89세,"11,462",837,822,987,"1,098",795,608,673,751,826,965,829,937,"1,334"
2020년11월_계_90~99세,"1,507",127,101,122,140,99,80,78,89,116,128,99,141,187
2020년11월_계_100세 이상,247,30,10,30,25,26,8,4,10,36,4,14,31,19
2020년11월_남_총인구수,"150,423","12,266","10,724","14,620","13,678","15,437","9,555","7,989","8,286","10,510","10,275","11,668","10,205","15,210"
2020년11월_남_연령구간인구수,"150,423","12,266","10,724","14,620","13,678","15,437","9,555","7,989","8,286","10,510","10,275","11,668","10,205","15,210"
2020년11월_남_0~9세,"8,234",689,424,814,551,"1,581",375,376,491,536,550,425,599,823
2020년11월_남_10~19세,"11,413","1,038",723,"1,010",833,"2,051",581,580,695,701,774,609,748,"1,070"
2020년11월_남_20~29세,"21,013","1,629","1,674","2,076","1,894","1,679","1,581","1,141",998,"1,550","1,432","2,061","1,250","2,048"
2020년11월_남_30~39세,"20,438","1,609","1,538","2,085","1,766","1,821","1,523","1,014",904,"1,500","1,369","1,865","1,389","2,055"
2020년11월_남_40~49세,"24,039","1,885","1,615","2,370","2,075","3,150","1,548","1,239","1,381","1,628","1,521","1,756","1,550","2,321"
2020년11월_남_50~59세,"25,825","2,219","1,869","2,462","2,563","2,465","1,620","1,362","1,359","1,755","1,789","2,037","1,729","2,596"
2020년11월_남_60~69세,"21,383","1,792","1,609","2,104","2,253","1,541","1,242","1,206","1,181","1,556","1,519","1,563","1,522","2,295"
2020년11월_남_70~79세,"13,024","1,022",913,"1,235","1,253",847,807,805,964,911,909,977,955,"1,426"
2020년11월_남_80~89세,"4,572",336,330,416,441,273,252,248,289,337,373,338,409,530
2020년11월_남_90~99세,421,36,28,36,44,22,25,16,23,32,38,35,46,40
2020년11월_남_100세 이상,61,11,1,12,5,7,1,2,1,4,1,2,8,6
2020년11월_여_총인구수,"158,146","12,327","11,536","15,769","13,830","16,656","9,523","8,484","9,301","10,718","11,181","11,848","10,754","16,219"
2020년11월_여_연령구간인구수,"158,146","12,327","11,536","15,769","13,830","16,656","9,523","8,484","9,301","10,718","11,181","11,848","10,754","16,219"
2020년11월_여_0~9세,"7,628",628,371,763,537,"1,436",339,324,475,525,526,429,498,777
2020년11월_여_10~19세,"10,790",960,632,"1,071",827,"1,976",522,527,670,672,661,520,668,"1,084"
2020년11월_여_20~29세,"21,842","1,521","2,184","2,156","1,800","1,715","1,709","1,053",958,"1,506","1,582","2,193","1,420","2,045"
2020년11월_여_30~39세,"18,413","1,417","1,375","2,045","1,519","2,064","1,294",799,850,"1,285","1,195","1,538","1,203","1,829"
2020년11월_여_40~49세,"22,925","1,810","1,482","2,284","1,878","3,384","1,394","1,204","1,310","1,394","1,531","1,574","1,475","2,205"
2020년11월_여_50~59세,"26,886","2,165","1,999","2,749","2,514","2,493","1,501","1,431","1,468","1,880","1,983","2,007","1,857","2,839"
2020년11월_여_60~69세,"24,427","2,007","1,713","2,449","2,343","1,809","1,377","1,453","1,481","1,753","1,786","1,819","1,761","2,676"
2020년11월_여_70~79세,"17,073","1,208","1,206","1,577","1,639","1,161",969,"1,204","1,552","1,098","1,232","1,201","1,226","1,800"
2020년11월_여_80~89세,"6,890",501,492,571,657,522,356,425,462,489,592,491,528,804
2020년11월_여_90~99세,"1,086",91,73,86,96,77,55,62,66,84,90,64,95,147
2020년11월_여_100세 이상,186,19,9,18,20,19,7,2,9,32,3,12,23,13
