,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년11월_계_총인구수,"61,600","29,427","8,441","2,329","4,215","5,343","5,309","4,334","2,202"
2021년11월_계_연령구간인구수,"61,600","29,427","8,441","2,329","4,215","5,343","5,309","4,334","2,202"
2021년11월_계_0~9세,"2,862","2,053",297,66,105,108,91,100,42
2021년11월_계_10~19세,"4,272","2,845",543,117,159,192,176,160,80
2021년11월_계_20~29세,"4,741","2,916",519,91,340,246,234,284,111
2021년11월_계_30~39세,"4,702","3,053",494,105,234,273,218,230,95
2021년11월_계_40~49세,"7,398","4,338",950,233,403,452,492,355,175
2021년11월_계_50~59세,"10,529","4,958","1,475",404,706,959,920,759,348
2021년11월_계_60~69세,"12,822","4,662","1,981",567,"1,058","1,487","1,438","1,067",562
2021년11월_계_70~79세,"8,890","2,991","1,434",440,726,"1,002","1,057",797,443
2021년11월_계_80~89세,"4,673","1,410",632,277,414,542,606,491,301
2021년11월_계_90~99세,696,199,109,28,70,79,77,89,45
2021년11월_계_100세 이상,15,2,7,1,0,3,0,2,0
2021년11월_남_총인구수,"31,058","14,856","4,185","1,120","2,175","2,746","2,622","2,225","1,129"
2021년11월_남_연령구간인구수,"31,058","14,856","4,185","1,120","2,175","2,746","2,622","2,225","1,129"
2021년11월_남_0~9세,"1,429","1,036",149,24,47,51,50,49,23
2021년11월_남_10~19세,"2,210","1,452",290,46,93,102,95,88,44
2021년11월_남_20~29세,"2,789","1,684",307,54,226,153,123,183,59
2021년11월_남_30~39세,"2,579","1,630",253,55,139,179,123,145,55
2021년11월_남_40~49세,"4,158","2,281",542,145,251,293,310,212,124
2021년11월_남_50~59세,"5,638","2,576",791,221,378,528,507,423,214
2021년11월_남_60~69세,"6,223","2,255",933,275,524,731,699,532,274
2021년11월_남_70~79세,"4,239","1,416",676,198,352,482,492,399,224
2021년11월_남_80~89세,"1,639",472,221,96,150,207,209,177,107
2021년11월_남_90~99세,149,54,18,6,15,20,14,17,5
2021년11월_남_100세 이상,5,0,5,0,0,0,0,0,0
2021년11월_여_총인구수,"30,542","14,571","4,256","1,209","2,040","2,597","2,687","2,109","1,073"
2021년11월_여_연령구간인구수,"30,542","14,571","4,256","1,209","2,040","2,597","2,687","2,109","1,073"
2021년11월_여_0~9세,"1,433","1,017",148,42,58,57,41,51,19
2021년11월_여_10~19세,"2,062","1,393",253,71,66,90,81,72,36
2021년11월_여_20~29세,"1,952","1,232",212,37,114,93,111,101,52
2021년11월_여_30~39세,"2,123","1,423",241,50,95,94,95,85,40
2021년11월_여_40~49세,"3,240","2,057",408,88,152,159,182,143,51
2021년11월_여_50~59세,"4,891","2,382",684,183,328,431,413,336,134
2021년11월_여_60~69세,"6,599","2,407","1,048",292,534,756,739,535,288
2021년11월_여_70~79세,"4,651","1,575",758,242,374,520,565,398,219
2021년11월_여_80~89세,"3,034",938,411,181,264,335,397,314,194
2021년11월_여_90~99세,547,145,91,22,55,59,63,72,40
2021년11월_여_100세 이상,10,2,2,1,0,3,0,2,0
