카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년04월_계_총인구수,"140,665","7,023","3,046","3,123","2,462","3,317","4,052","3,143","3,428","1,950","2,213","2,826","1,559","1,273","2,315","1,043","6,683","7,648","3,952","25,485","20,415","11,088","22,621"
2021년04월_계_연령구간인구수,"140,665","7,023","3,046","3,123","2,462","3,317","4,052","3,143","3,428","1,950","2,213","2,826","1,559","1,273","2,315","1,043","6,683","7,648","3,952","25,485","20,415","11,088","22,621"
2021년04월_계_0~9세,"10,199",338,121,68,56,71,154,90,75,58,52,57,43,26,47,9,195,211,132,"2,019","1,384",880,"4,113"
2021년04월_계_10~19세,"12,441",406,128,141,104,104,177,142,185,73,89,83,56,37,328,33,362,435,233,"3,245","2,371","1,078","2,631"
2021년04월_계_20~29세,"14,551",529,256,227,171,168,294,242,290,147,136,170,77,64,112,46,632,814,319,"3,740","2,333","1,441","2,343"
2021년04월_계_30~39세,"14,871",539,220,191,149,170,215,176,204,120,120,128,68,52,107,25,540,699,253,"2,867","1,987","1,302","4,739"
2021년04월_계_40~49세,"19,329",814,303,305,203,245,413,279,314,177,189,184,101,107,149,85,821,857,408,"4,097","2,953","1,832","4,493"
2021년04월_계_50~59세,"23,647","1,413",556,591,476,584,744,602,710,379,420,533,268,215,359,213,"1,066","1,320",659,"4,320","3,695","1,922","2,602"
2021년04월_계_60~69세,"22,704","1,485",663,718,615,854,931,787,822,435,538,698,377,328,497,303,"1,549","1,619",873,"2,867","3,112","1,515","1,118"
2021년04월_계_70~79세,"13,332",856,436,474,391,563,643,502,451,284,346,502,299,222,369,155,992,"1,055",665,"1,406","1,596",740,385
2021년04월_계_80~89세,"8,287",541,320,340,253,476,409,282,317,240,280,394,234,190,302,155,469,562,362,821,858,321,161
2021년04월_계_90~99세,"1,274",100,42,66,43,82,71,41,57,37,41,77,34,30,42,19,57,74,47,98,125,56,35
2021년04월_계_100세 이상,30,2,1,2,1,0,1,0,3,0,2,0,2,2,3,0,0,2,1,5,1,1,1
2021년04월_남_총인구수,"70,614","3,545","1,600","1,605","1,252","1,646","2,072","1,618","1,749","1,006","1,104","1,405",782,637,"1,148",504,"3,415","3,730","1,912","12,644","10,213","5,656","11,371"
2021년04월_남_연령구간인구수,"70,614","3,545","1,600","1,605","1,252","1,646","2,072","1,618","1,749","1,006","1,104","1,405",782,637,"1,148",504,"3,415","3,730","1,912","12,644","10,213","5,656","11,371"
2021년04월_남_0~9세,"5,270",177,59,40,38,44,86,47,39,41,27,29,23,17,30,6,112,106,74,"1,037",697,445,"2,096"
2021년04월_남_10~19세,"6,764",207,70,76,51,54,110,86,99,44,48,52,35,20,171,18,174,237,127,"1,698","1,441",606,"1,340"
2021년04월_남_20~29세,"8,155",307,155,147,111,113,186,130,183,80,77,92,50,37,68,29,376,469,165,"2,049","1,366",797,"1,168"
2021년04월_남_30~39세,"7,834",281,127,102,89,97,114,112,116,84,70,77,43,32,62,11,341,424,135,"1,466","1,010",736,"2,305"
2021년04월_남_40~49세,"10,178",465,196,189,129,148,231,173,184,107,112,123,61,69,84,47,497,475,221,"1,975","1,449",944,"2,299"
2021년04월_남_50~59세,"12,362",755,327,333,261,320,411,326,376,210,226,300,159,127,197,126,587,661,353,"2,152","1,769",992,"1,394"
