카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년05월_계_총인구수,"302,681","7,635","6,665","44,959","15,993","19,293","25,782","30,026","2,777","22,286","20,968","3,962","3,649","50,709","47,977"
2021년05월_계_연령구간인구수,"302,681","7,635","6,665","44,959","15,993","19,293","25,782","30,026","2,777","22,286","20,968","3,962","3,649","50,709","47,977"
2021년05월_계_0~9세,"30,485",335,301,"3,719",997,"1,112","2,102","4,404",84,"3,039","2,668",124,164,"4,873","6,563"
2021년05월_계_10~19세,"26,307",404,396,"3,763","1,073","1,131","2,530","2,990",143,"2,055","2,144",197,174,"3,988","5,319"
2021년05월_계_20~29세,"37,535",944,992,"5,103","2,112","2,521","3,168","3,282",343,"2,677","2,315",480,472,"9,102","4,024"
2021년05월_계_30~39세,"50,938","1,022","1,022","6,556","2,278","2,948","3,349","5,348",370,"4,329","3,495",428,472,"11,813","7,508"
2021년05월_계_40~49세,"53,569","1,010",931,"7,092","2,199","2,557","4,433","6,009",379,"3,869","4,160",523,453,"9,368","10,586"
2021년05월_계_50~59세,"43,360","1,455","1,208","7,006","2,836","3,394","4,202","3,872",573,"2,982","3,078",785,732,"5,365","5,872"
2021년05월_계_60~69세,"36,791","1,536","1,060","6,917","2,743","3,431","3,507","2,627",512,"2,079","2,180",782,726,"3,810","4,881"
2021년05월_계_70~79세,"16,635",606,520,"3,418","1,244","1,523","1,738",996,244,858,687,406,301,"1,741","2,353"
2021년05월_계_80~89세,"5,961",255,202,"1,198",450,578,643,386,110,327,202,202,143,538,727
2021년05월_계_90~99세,"1,040",60,31,178,57,94,106,104,18,64,38,32,11,108,139
2021년05월_계_100세 이상,60,8,2,9,4,4,4,8,1,7,1,3,1,3,5
2021년05월_남_총인구수,"151,874","4,222","3,438","22,250","8,101","9,714","12,823","14,925","1,544","11,207","10,260","2,229","2,076","25,445","23,640"
2021년05월_남_연령구간인구수,"151,874","4,222","3,438","22,250","8,101","9,714","12,823","14,925","1,544","11,207","10,260","2,229","2,076","25,445","23,640"
2021년05월_남_0~9세,"15,630",169,151,"1,911",506,567,"1,122","2,216",48,"1,592","1,333",64,81,"2,532","3,338"
2021년05월_남_10~19세,"13,317",214,213,"1,938",576,580,"1,275","1,507",74,"1,041","1,049",108,87,"1,955","2,700"
2021년05월_남_20~29세,"18,992",543,527,"2,629","1,179","1,373","1,688","1,658",207,"1,352","1,144",269,272,"4,112","2,039"
2021년05월_남_30~39세,"25,827",610,600,"3,358","1,221","1,609","1,719","2,520",227,"2,113","1,584",260,297,"6,277","3,432"
2021년05월_남_40~49세,"28,020",618,518,"3,619","1,148","1,336","2,211","3,142",223,"1,994","2,119",314,285,"4,969","5,524"
2021년05월_남_50~59세,"21,650",836,620,"3,342","1,347","1,672","2,062","1,911",315,"1,515","1,458",495,427,"2,734","2,916"
2021년05월_남_60~69세,"17,778",821,507,"3,262","1,308","1,650","1,649","1,279",283,"1,044","1,112",432,410,"1,762","2,259"
2021년05월_남_70~79세,"8,293",296,229,"1,687",620,728,824,535,119,442,378,196,159,900,"1,180"
2021년05월_남_80~89세,"2,123",99,68,457,182,185,249,132,40,97,71,86,54,180,223
2021년05월_남_90~99세,230,13,5,44,12,12,24,23,8,16,12,4,4,24,29
2021년05월_남_100세 이상,14,3,0,3,2,2,0,2,0,1,0,1,0,0,0
2021년05월_여_총인구수,"150,807","3,413","3,227","22,709","7,892","9,579","12,959","15,101","1,233","11,079","10,708","1,733","1,573","25,264","24,337"
2021년05월_여_연령구간인구수,"150,807","3,413","3,227","22,709","7,892","9,579","12,959","15,101","1,233","11,079","10,708","1,733","1,573","25,264","24,337"
2021년05월_여_0~9세,"14,855",166,150,"1,808",491,545,980,"2,188",36,"1,447","1,335",60,83,"2,341","3,225"
2021년05월_여_10~19세,"12,990",190,183,"1,825",497,551,"1,255","1,483",69,"1,014","1,095",89,87,"2,033","2,619"
2021년05월_여_20~29세,"18,543",401,465,"2,474",933,"1,148","1,480","1,624",136,"1,325","1,171",211,200,"4,990","1,985"
2021년05월_여_30~39세,"25,111",412,422,"3,198","1,057","1,339","1,630","2,828",143,"2,216","1,911",168,175,"5,536","4,076"
2021년05월_여_40~49세,"25,549",392,413,"3,473","1,051","1,221","2,222","2,867",156,"1,875","2,041",209,168,"4,399","5,062"
2021년05월_여_50~59세,"21,710",619,588,"3,664","1,489","1,722","2,140","1,961",258,"1,467","1,620",290,305,"2,631","2,956"
2021년05월_여_60~69세,"19,013",715,553,"3,655","1,435","1,781","1,858","1,348",229,"1,035","1,068",350,316,"2,048","2,622"
2021년05월_여_70~79세,"8,342",310,291,"1,731",624,795,914,461,125,416,309,210,142,841,"1,173"
2021년05월_여_80~89세,"3,838",156,134,741,268,393,394,254,70,230,131,116,89,358,504
2021년05월_여_90~99세,810,47,26,134,45,82,82,81,10,48,26,28,7,84,110
2021년05월_여_100세 이상,46,5,2,6,2,2,4,6,1,6,1,2,1,3,5
