,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2021년06월_계_총인구수,"1,184,210","270,373","23,478","42,989","29,338","29,544","42,151","20,082","19,573","28,300","18,845","16,073","365,208","10,284","23,501","18,964","40,464","37,786","24,474","45,617","46,408","24,770","48,874","27,338","16,728","183,123","5,914","10,410","19,400","22,657","26,388","10,961","20,223","17,061","39,443","10,666","365,506","17,889","14,936","36,135","21,768","38,859","35,275","26,358","32,710","31,274","27,961","52,990","29,351"
2021년06월_계_연령구간인구수,"1,184,210","270,373","23,478","42,989","29,338","29,544","42,151","20,082","19,573","28,300","18,845","16,073","365,208","10,284","23,501","18,964","40,464","37,786","24,474","45,617","46,408","24,770","48,874","27,338","16,728","183,123","5,914","10,410","19,400","22,657","26,388","10,961","20,223","17,061","39,443","10,666","365,506","17,889","14,936","36,135","21,768","38,859","35,275","26,358","32,710","31,274","27,961","52,990","29,351"
2021년06월_계_0~9세,"93,800","17,338","1,305","2,982","2,397","1,827","3,442",827,"1,116","1,414","1,365",663,"31,084",854,"1,107",895,"3,017","2,306","1,358","4,762","6,868","1,248","5,417","1,605","1,647","10,373",239,418,"1,617","1,449","1,944",388,852,"1,131","2,062",273,"35,005","1,083",837,"2,737","1,246","4,260","3,432","2,484","2,489","3,387","4,250","5,409","3,391"
2021년06월_계_10~19세,"116,656","27,937","1,811","4,243","3,434","3,078","6,779","1,179","1,705","2,681","2,014","1,013","32,870",600,"1,557","1,490","3,481","3,105","2,009","4,948","4,665","1,666","5,400","2,188","1,761","14,115",317,464,"1,323","2,081","2,883",678,"1,341","1,750","2,831",447,"41,734","1,828","1,476","4,320","2,197","3,635","4,711","2,122","4,271","4,017","3,242","6,829","3,086"
2021년06월_계_20~29세,"185,985","43,510","3,386","10,202","4,044","4,295","6,214","2,672","2,959","4,246","2,847","2,645","53,594","1,540","3,565","2,681","6,195","5,767","3,880","6,109","4,971","5,051","6,504","5,296","2,035","30,465",870,"1,800","2,730","3,154","4,059","1,352","3,219","3,613","8,149","1,519","58,416","3,019","2,482","6,448","3,766","6,493","4,866","5,438","6,545","4,484","3,268","8,437","3,170"
2021년06월_계_30~39세,"177,224","32,002","2,993","5,698","3,378","3,578","4,333","2,425","2,577","3,217","1,997","1,806","56,859","1,691","3,503","2,520","5,687","5,256","3,216","6,512","8,842","4,465","7,738","5,207","2,222","26,773",926,"1,624","3,297","2,601","3,441","1,136","2,864","2,183","7,384","1,317","61,590","2,357","1,911","5,501","3,150","7,186","5,357","6,704","4,373","4,891","5,400","9,417","5,343"
2021년06월_계_40~49세,"200,644","44,077","3,606","6,371","5,264","4,922","8,737","2,863","3,044","4,317","2,846","2,107","60,901","1,447","3,670","2,990","6,009","5,932","3,619","8,121","8,588","3,672","8,906","4,836","3,111","28,091",838,"1,431","2,915","3,670","4,372","1,546","2,908","2,696","6,308","1,407","67,575","2,866","2,358","6,739","3,645","7,298","6,906","4,179","5,973","5,759","5,607","10,607","5,638"
2021년06월_계_50~59세,"196,011","48,542","4,335","6,748","5,299","5,294","7,511","3,880","3,621","5,371","3,770","2,713","61,362","1,838","4,164","3,357","7,416","6,674","4,733","7,632","6,038","4,103","7,865","4,622","2,920","31,203","1,070","1,868","3,146","3,999","5,051","2,027","3,583","2,689","5,748","2,022","54,904","3,245","2,731","5,631","3,756","4,827","5,718","3,211","5,379","5,161","3,686","7,354","4,205"
2021년06월_계_60~69세,"127,318","32,280","3,469","3,987","3,175","3,538","2,996","3,616","2,706","3,936","2,201","2,656","42,164","1,328","3,494","2,899","5,313","5,236","3,476","4,493","4,027","2,922","4,774","2,308","1,894","24,089",919,"1,628","2,483","3,194","2,738","2,068","3,066","1,794","4,210","1,989","28,785","2,176","1,869","2,917","2,435","3,187","2,574","1,295","2,340","2,340","1,667","3,193","2,792"
2021년06월_계_70~79세,"56,507","15,661","1,668","1,714","1,483","1,960","1,322","1,792","1,206","1,964","1,006","1,546","17,406",649,"1,628","1,467","2,170","2,400","1,405","1,944","1,600","1,112","1,512",770,749,"12,053",485,785,"1,336","1,712","1,188","1,178","1,620",786,"1,832","1,131","11,387",905,833,"1,182","1,000","1,314","1,054",574,803,816,551,"1,191","1,164"
2021년06월_계_80~89세,"25,909","7,719",784,897,736,915,709,717,545,982,664,770,"7,754",291,699,578,"1,003",972,677,944,717,461,649,421,342,"5,215",225,333,491,706,621,521,685,359,802,472,"5,221",338,368,579,497,561,568,301,456,357,249,464,483
