,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년04월_계_총인구수,"89,868","30,586","3,894","19,355","5,058","5,126","3,456","3,153","12,789","3,545","2,906"
2021년04월_계_연령구간인구수,"89,868","30,586","3,894","19,355","5,058","5,126","3,456","3,153","12,789","3,545","2,906"
2021년04월_계_0~9세,"6,494","2,709",148,"1,472",181,294,105,96,"1,223",168,98
2021년04월_계_10~19세,"8,637","3,247",228,"2,514",340,440,161,165,"1,170",187,185
2021년04월_계_20~29세,"9,284","3,388",530,"2,228",446,476,254,194,"1,288",269,211
2021년04월_계_30~39세,"8,916","3,590",287,"1,876",353,425,208,172,"1,533",274,198
2021년04월_계_40~49세,"14,396","5,114",514,"3,705",678,728,416,403,"2,074",433,331
2021년04월_계_50~59세,"15,573","5,072",682,"3,505",922,934,567,518,"2,178",622,573
2021년04월_계_60~69세,"14,182","4,575",726,"2,273","1,087",909,799,692,"1,782",720,619
2021년04월_계_70~79세,"7,989","1,933",460,"1,183",715,633,607,571,944,521,422
2021년04월_계_80~89세,"3,863",829,271,529,296,265,299,319,518,306,231
2021년04월_계_90~99세,523,129,47,70,39,20,38,22,78,44,36
2021년04월_계_100세 이상,11,0,1,0,1,2,2,1,1,1,2
2021년04월_남_총인구수,"45,622","15,221","2,115","10,029","2,475","2,596","1,756","1,564","6,572","1,774","1,520"
2021년04월_남_연령구간인구수,"45,622","15,221","2,115","10,029","2,475","2,596","1,756","1,564","6,572","1,774","1,520"
2021년04월_남_0~9세,"3,337","1,398",72,752,99,145,53,55,632,83,48
2021년04월_남_10~19세,"4,509","1,627",129,"1,362",184,230,83,91,606,98,99
2021년04월_남_20~29세,"5,470","1,957",361,"1,329",250,276,157,104,746,156,134
2021년04월_남_30~39세,"4,763","1,878",165,"1,005",180,226,134,100,800,151,124
2021년04월_남_40~49세,"7,494","2,526",305,"1,821",371,421,253,241,"1,106",251,199
2021년04월_남_50~59세,"8,073","2,424",381,"1,886",453,492,311,294,"1,158",332,342
2021년04월_남_60~69세,"6,856","2,190",364,"1,107",515,421,370,319,889,362,319
2021년04월_남_70~79세,"3,627",904,220,552,312,281,285,223,449,231,170
2021년04월_남_80~89세,"1,393",291,107,202,105,98,100,131,177,103,79
2021년04월_남_90~99세,98,26,11,13,6,5,10,6,9,7,5
2021년04월_남_100세 이상,2,0,0,0,0,1,0,0,0,0,1
2021년04월_여_총인구수,"44,246","15,365","1,779","9,326","2,583","2,530","1,700","1,589","6,217","1,771","1,386"
2021년04월_여_연령구간인구수,"44,246","15,365","1,779","9,326","2,583","2,530","1,700","1,589","6,217","1,771","1,386"
2021년04월_여_0~9세,"3,157","1,311",76,720,82,149,52,41,591,85,50
2021년04월_여_10~19세,"4,128","1,620",99,"1,152",156,210,78,74,564,89,86
2021년04월_여_20~29세,"3,814","1,431",169,899,196,200,97,90,542,113,77
2021년04월_여_30~39세,"4,153","1,712",122,871,173,199,74,72,733,123,74
2021년04월_여_40~49세,"6,902","2,588",209,"1,884",307,307,163,162,968,182,132
2021년04월_여_50~59세,"7,500","2,648",301,"1,619",469,442,256,224,"1,020",290,231
2021년04월_여_60~69세,"7,326","2,385",362,"1,166",572,488,429,373,893,358,300
2021년04월_여_70~79세,"4,362","1,029",240,631,403,352,322,348,495,290,252
2021년04월_여_80~89세,"2,470",538,164,327,191,167,199,188,341,203,152
2021년04월_여_90~99세,425,103,36,57,33,15,28,16,69,37,31
2021년04월_여_100세 이상,9,0,1,0,1,1,2,1,1,1,1
