카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년11월_계_총인구수,"397,058","35,964","20,854","23,842","23,533","19,727","29,192","8,954","22,389","26,643","33,803","30,989","20,241","22,605","38,416","23,570","16,336"
2021년11월_계_연령구간인구수,"397,058","35,964","20,854","23,842","23,533","19,727","29,192","8,954","22,389","26,643","33,803","30,989","20,241","22,605","38,416","23,570","16,336"
2021년11월_계_0~9세,"26,062","3,459","1,741",813,"1,204",743,"1,714",238,"1,241","1,615","2,157","1,984","1,049","1,144","2,860","1,389","2,711"
2021년11월_계_10~19세,"29,264","3,562","1,935","1,354","1,353","1,011","1,500",273,"1,838","2,157","2,277","2,234","1,370","1,182","3,996","1,938","1,284"
2021년11월_계_20~29세,"53,866","4,223","2,725","3,162","4,159","2,805","5,031","1,587","3,068","3,440","4,437","3,697","2,538","4,025","4,474","2,965","1,530"
2021년11월_계_30~39세,"61,026","6,072","3,695","2,810","4,855","2,869","5,531","1,263","2,787","3,107","5,034","4,267","2,604","4,427","4,935","3,205","3,565"
2021년11월_계_40~49세,"61,303","6,555","3,587","3,263","3,979","2,700","4,045","1,046","3,318","4,113","4,798","4,679","3,077","3,105","6,464","3,649","2,925"
2021년11월_계_50~59세,"62,345","5,108","2,965","4,578","3,058","3,431","4,478","1,731","3,823","4,699","5,702","4,845","3,406","3,036","5,731","3,948","1,806"
2021년11월_계_60~69세,"57,484","4,149","2,750","4,080","2,643","3,094","3,859","1,593","3,589","4,126","5,283","5,196","3,551","3,030","5,232","3,706","1,603"
2021년11월_계_70~79세,"31,907","1,994","1,002","2,596","1,580","2,094","2,117",817,"1,923","2,314","2,900","2,978","1,812","1,836","3,304","1,991",649
2021년11월_계_80~89세,"12,214",735,387,"1,062",634,889,819,362,706,965,"1,058",983,748,723,"1,239",686,218
2021년11월_계_90~99세,"1,537",103,63,119,67,91,95,40,94,103,153,120,83,93,180,90,43
2021년11월_계_100세 이상,50,4,4,5,1,0,3,4,2,4,4,6,3,4,1,3,2
2021년11월_남_총인구수,"195,741","17,518","10,219","12,047","12,074","9,563","14,185","4,894","11,144","13,204","16,852","15,096","9,862","10,992","18,475","11,602","8,014"
2021년11월_남_연령구간인구수,"195,741","17,518","10,219","12,047","12,074","9,563","14,185","4,894","11,144","13,204","16,852","15,096","9,862","10,992","18,475","11,602","8,014"
2021년11월_남_0~9세,"13,319","1,751",899,425,629,395,890,122,623,824,"1,062","1,018",510,565,"1,475",716,"1,415"
2021년11월_남_10~19세,"15,010","1,820","1,023",705,677,518,756,150,941,"1,094","1,147","1,125",709,601,"2,035","1,062",647
2021년11월_남_20~29세,"26,367","2,018","1,292","1,622","2,064","1,296","2,203",875,"1,607","1,773","2,283","1,830","1,301","1,724","2,220","1,535",724
2021년11월_남_30~39세,"31,095","2,899","1,837","1,574","2,678","1,513","2,781",746,"1,443","1,578","2,616","2,134","1,344","2,276","2,388","1,609","1,679"
