카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년07월_계_총인구수,"176,786","52,714","8,600","81,790","25,746","7,936"
2021년07월_계_연령구간인구수,"176,786","52,714","8,600","81,790","25,746","7,936"
2021년07월_계_0~9세,"18,779","3,067",416,"11,670","3,284",342
2021년07월_계_10~19세,"17,832","4,318",406,"10,819","1,852",437
2021년07월_계_20~29세,"17,178","6,248","1,007","6,675","2,551",697
2021년07월_계_30~39세,"24,528","5,551","1,048","12,714","4,569",646
2021년07월_계_40~49세,"32,800","8,029",960,"18,682","4,142",987
2021년07월_계_50~59세,"24,626","9,371","1,509","8,638","3,752","1,356"
2021년07월_계_60~69세,"22,216","8,453","1,683","7,027","3,227","1,826"
2021년07월_계_70~79세,"12,660","5,032",959,"3,965","1,609","1,095"
2021년07월_계_80~89세,"5,402","2,334",519,"1,411",653,485
2021년07월_계_90~99세,732,298,88,185,101,60
2021년07월_계_100세 이상,33,13,5,4,6,5
2021년07월_남_총인구수,"87,565","25,714","4,622","40,435","12,779","4,015"
2021년07월_남_연령구간인구수,"87,565","25,714","4,622","40,435","12,779","4,015"
2021년07월_남_0~9세,"9,587","1,625",217,"5,949","1,635",161
2021년07월_남_10~19세,"9,252","2,248",228,"5,610",940,226
2021년07월_남_20~29세,"9,112","3,317",603,"3,356","1,408",428
2021년07월_남_30~39세,"12,184","2,919",617,"6,037","2,265",346
2021년07월_남_40~49세,"16,791","4,024",568,"9,541","2,118",540
2021년07월_남_50~59세,"12,538","4,631",860,"4,493","1,854",700
2021년07월_남_60~69세,"10,332","3,959",866,"3,047","1,578",882
2021년07월_남_70~79세,"5,773","2,126",484,"1,859",754,550
2021년07월_남_80~89세,"1,845",808,159,508,203,167
2021년07월_남_90~99세,149,56,19,35,24,15
2021년07월_남_100세 이상,2,1,1,0,0,0
2021년07월_여_총인구수,"89,221","27,000","3,978","41,355","12,967","3,921"
2021년07월_여_연령구간인구수,"89,221","27,000","3,978","41,355","12,967","3,921"
2021년07월_여_0~9세,"9,192","1,442",199,"5,721","1,649",181
2021년07월_여_10~19세,"8,580","2,070",178,"5,209",912,211
2021년07월_여_20~29세,"8,066","2,931",404,"3,319","1,143",269
2021년07월_여_30~39세,"12,344","2,632",431,"6,677","2,304",300
2021년07월_여_40~49세,"16,009","4,005",392,"9,141","2,024",447
2021년07월_여_50~59세,"12,088","4,740",649,"4,145","1,898",656
2021년07월_여_60~69세,"11,884","4,494",817,"3,980","1,649",944
2021년07월_여_70~79세,"6,887","2,906",475,"2,106",855,545
2021년07월_여_80~89세,"3,557","1,526",360,903,450,318
2021년07월_여_90~99세,583,242,69,150,77,45
2021년07월_여_100세 이상,31,12,4,4,6,5
