,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년10월_계_총인구수,"288,922","7,846","6,692","45,702","16,308","19,552","25,720","30,243","2,921","11,043","19,143","4,081","3,736","47,719","48,216"
2020년10월_계_연령구간인구수,"288,922","7,846","6,692","45,702","16,308","19,552","25,720","30,243","2,921","11,043","19,143","4,081","3,736","47,719","48,216"
2020년10월_계_0~9세,"29,965",372,315,"3,889",982,"1,128","2,162","4,633",97,"1,566","2,558",137,168,"5,010","6,948"
2020년10월_계_10~19세,"24,679",431,427,"3,918","1,142","1,246","2,577","2,892",156,783,"1,870",204,187,"3,767","5,079"
2020년10월_계_20~29세,"35,504",989,999,"5,270","2,205","2,571","3,086","3,297",351,"1,223","2,172",491,479,"8,276","4,095"
2020년10월_계_30~39세,"49,467","1,039","1,014","6,753","2,333","2,985","3,436","5,692",400,"2,465","3,285",437,478,"11,077","8,073"
2020년10월_계_40~49세,"50,653","1,069",947,"7,312","2,295","2,620","4,439","5,859",394,"1,800","3,729",565,480,"8,771","10,373"
2020년10월_계_50~59세,"41,517","1,499","1,239","7,160","2,950","3,522","4,152","3,855",592,"1,301","2,860",804,763,"5,020","5,800"
2020년10월_계_60~69세,"34,520","1,504","1,011","6,687","2,661","3,333","3,411","2,521",533,"1,160","1,867",796,738,"3,538","4,760"
2020년10월_계_70~79세,"15,888",613,504,"3,381","1,247","1,495","1,708",964,260,520,597,397,298,"1,635","2,269"
2020년10월_계_80~89세,"5,618",272,202,"1,134",419,541,638,391,113,188,169,209,131,524,687
2020년10월_계_90~99세,988,50,28,182,61,102,101,109,18,31,34,34,12,99,127
2020년10월_계_100세 이상,123,8,6,16,13,9,10,30,7,6,2,7,2,2,5
2020년10월_남_총인구수,"145,167","4,315","3,459","22,616","8,233","9,870","12,820","14,984","1,614","5,574","9,324","2,288","2,143","24,162","23,765"
2020년10월_남_연령구간인구수,"145,167","4,315","3,459","22,616","8,233","9,870","12,820","14,984","1,614","5,574","9,324","2,288","2,143","24,162","23,765"
2020년10월_남_0~9세,"15,307",190,157,"1,955",500,598,"1,152","2,310",51,803,"1,259",71,88,"2,614","3,559"
2020년10월_남_10~19세,"12,584",235,223,"2,043",615,620,"1,326","1,469",82,410,901,112,97,"1,878","2,573"
2020년10월_남_20~29세,"18,097",562,550,"2,732","1,190","1,409","1,661","1,655",202,590,"1,072",273,275,"3,859","2,067"
2020년10월_남_30~39세,"25,057",616,595,"3,459","1,249","1,638","1,759","2,657",251,"1,225","1,467",272,306,"5,886","3,677"
2020년10월_남_40~49세,"26,652",651,515,"3,697","1,189","1,355","2,210","3,093",236,980,"1,910",347,304,"4,719","5,446"
2020년10월_남_50~59세,"20,586",843,643,"3,395","1,395","1,739","2,013","1,882",323,633,"1,366",487,439,"2,578","2,850"
2020년10월_남_60~69세,"16,724",805,481,"3,181","1,284","1,603","1,616","1,235",287,585,961,437,423,"1,596","2,230"
2020년10월_남_70~79세,"7,917",300,219,"1,657",626,719,816,514,129,277,329,191,158,844,"1,138"
2020년10월_남_80~89세,"1,992",98,71,445,168,171,241,138,44,58,50,92,50,167,199
2020년10월_남_90~99세,219,13,3,46,14,15,25,21,7,12,9,4,3,21,26
2020년10월_남_100세 이상,32,2,2,6,3,3,1,10,2,1,0,2,0,0,0
2020년10월_여_총인구수,"143,755","3,531","3,233","23,086","8,075","9,682","12,900","15,259","1,307","5,469","9,819","1,793","1,593","23,557","24,451"
2020년10월_여_연령구간인구수,"143,755","3,531","3,233","23,086","8,075","9,682","12,900","15,259","1,307","5,469","9,819","1,793","1,593","23,557","24,451"
2020년10월_여_0~9세,"14,658",182,158,"1,934",482,530,"1,010","2,323",46,763,"1,299",66,80,"2,396","3,389"
2020년10월_여_10~19세,"12,095",196,204,"1,875",527,626,"1,251","1,423",74,373,969,92,90,"1,889","2,506"
2020년10월_여_20~29세,"17,407",427,449,"2,538","1,015","1,162","1,425","1,642",149,633,"1,100",218,204,"4,417","2,028"
2020년10월_여_30~39세,"24,410",423,419,"3,294","1,084","1,347","1,677","3,035",149,"1,240","1,818",165,172,"5,191","4,396"
2020년10월_여_40~49세,"24,001",418,432,"3,615","1,106","1,265","2,229","2,766",158,820,"1,819",218,176,"4,052","4,927"
2020년10월_여_50~59세,"20,931",656,596,"3,765","1,555","1,783","2,139","1,973",269,668,"1,494",317,324,"2,442","2,950"
2020년10월_여_60~69세,"17,796",699,530,"3,506","1,377","1,730","1,795","1,286",246,575,906,359,315,"1,942","2,530"
2020년10월_여_70~79세,"7,971",313,285,"1,724",621,776,892,450,131,243,268,206,140,791,"1,131"
2020년10월_여_80~89세,"3,626",174,131,689,251,370,397,253,69,130,119,117,81,357,488
2020년10월_여_90~99세,769,37,25,136,47,87,76,88,11,19,25,30,9,78,101
2020년10월_여_100세 이상,91,6,4,10,10,6,9,20,5,5,2,5,2,2,5
