카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년09월_계_총인구수,"306,843","19,626","14,049","12,548","12,330","26,588","21,464","25,370","17,038","15,759","10,827","27,440","38,974","27,446","12,711","18,666","6,007"
2021년09월_계_연령구간인구수,"306,843","19,626","14,049","12,548","12,330","26,588","21,464","25,370","17,038","15,759","10,827","27,440","38,974","27,446","12,711","18,666","6,007"
2021년09월_계_0~9세,"18,649","1,018",814,486,712,"1,554","1,145","1,367","1,061","1,018",888,"1,791","2,818","1,615","1,368",873,121
2021년09월_계_10~19세,"24,673","1,548","1,106",748,934,"2,236","1,637","1,984","1,109","1,301",951,"2,391","3,874","2,333",931,"1,355",235
2021년09월_계_20~29세,"38,656","2,213","1,535","1,420","1,462","3,328","3,506","5,172","1,837","2,062","1,065","3,413","4,406","3,205","1,430","2,087",515
2021년09월_계_30~39세,"35,268","2,155","1,451","1,455","1,292","2,905","2,784","3,169","2,039","2,082","1,397","3,468","4,120","2,571","2,259","1,721",400
2021년09월_계_40~49세,"44,932","2,659","2,136","1,598","1,788","3,777","2,935","3,475","2,486","2,367","1,943","4,381","6,309","3,896","1,988","2,495",699
2021년09월_계_50~59세,"53,367","3,352","2,233","2,096","2,027","4,684","3,590","4,032","3,091","2,881","1,748","4,796","7,019","5,219","1,992","3,480","1,127"
2021년09월_계_60~69세,"53,017","3,563","2,621","2,612","2,328","4,791","3,484","3,666","3,124","2,587","1,610","4,496","6,096","5,083","1,761","3,869","1,326"
2021년09월_계_70~79세,"26,698","2,081","1,538","1,480","1,255","2,344","1,642","1,788","1,612","1,042",904,"2,011","2,956","2,316",730,"1,978","1,021"
2021년09월_계_80~89세,"10,200",906,546,586,473,849,658,640,606,357,296,615,"1,204","1,053",205,711,495
2021년09월_계_90~99세,"1,340",127,66,67,57,118,81,73,70,62,23,75,168,150,45,94,64
2021년09월_계_100세 이상,43,4,3,0,2,2,2,4,3,0,2,3,4,5,2,3,4
2021년09월_남_총인구수,"152,726","9,443","6,873","6,036","5,971","13,034","10,716","12,646","8,791","7,877","5,611","13,953","19,520","13,483","6,492","9,190","3,090"
2021년09월_남_연령구간인구수,"152,726","9,443","6,873","6,036","5,971","13,034","10,716","12,646","8,791","7,877","5,611","13,953","19,520","13,483","6,492","9,190","3,090"
2021년09월_남_0~9세,"9,594",538,418,264,380,797,575,717,555,533,454,940,"1,406",816,723,426,52
2021년09월_남_10~19세,"12,738",816,540,385,454,"1,160",820,966,580,678,503,"1,257","2,071","1,191",506,693,118
2021년09월_남_20~29세,"20,731","1,151",802,733,789,"1,754","1,840","2,830","1,021","1,053",588,"1,818","2,441","1,797",727,"1,082",305
2021년09월_남_30~39세,"18,771","1,136",768,796,661,"1,531","1,556","1,732","1,157","1,115",725,"1,888","2,056","1,309","1,181",920,240
2021년09월_남_40~49세,"23,062","1,302","1,108",858,880,"1,873","1,496","1,777","1,343","1,205","1,083","2,277","3,122","1,893","1,065","1,347",433
2021년09월_남_50~59세,"26,226","1,546","1,107",988,957,"2,144","1,721","1,907","1,649","1,385",970,"2,395","3,537","2,564",999,"1,685",672
2021년09월_남_60~69세,"25,442","1,634","1,204","1,163","1,052","2,289","1,680","1,667","1,543","1,243",783,"2,197","3,098","2,522",858,"1,846",663
2021년09월_남_70~79세,"12,280",979,720,630,597,"1,145",758,785,716,517,406,944,"1,352","1,025",358,918,430
2021년09월_남_80~89세,"3,623",316,197,202,191,312,260,250,208,136,95,226,399,338,72,255,166
2021년09월_남_90~99세,249,25,9,17,10,28,8,13,18,12,3,10,38,27,3,18,10
2021년09월_남_100세 이상,10,0,0,0,0,1,2,2,1,0,1,1,0,1,0,0,1
